Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Group,Size,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Anna Lazarova,Martin Knudsen,2017-08-01 00:00:00,Andulay MPA,1,Shallow,29,12,1,Drupella,0-5,43,0,43,1,676d3e20399de246bcff8e2d
Martin Knudsen,Anna Lazarova,2017-08-01 00:00:00,Andulay MPA,1,Shallow,29,12,1,Drupella,0-5,19,0,19,1,676d3e20399de246bcff8e2f
Anna Lazarova,Ashley Carreiro,2017-08-02 00:00:00,Andulay MPA,1,Shallow,29,12,1,Drupella,0-5,26,0,26,1,676d3e20399de246bcff8e31
Annika Nielsen,Andrea Viken Strand,2017-08-07 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,23,0,23,1,676d3e20399de246bcff8e33
Annika Nielsen,Andrea Viken Strand,2017-08-07 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,35,0,35,1,676d3e20399de246bcff8e33
Annika Nielsen,Andrea Viken Strand,2017-08-08 00:00:00,Lutoban South MPA,1,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8e36
Annika Nielsen,Andrea Viken Strand,2017-08-08 00:00:00,Lutoban South MPA,1,Medium,29,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff8e36
Annika Nielsen,Andrea Viken Strand,2017-08-08 00:00:00,Maluay Malatapay MPA,1,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff9084
Annika Nielsen,Andrea Viken Strand,2017-08-08 00:00:00,Maluay Malatapay MPA,1,Medium,29,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff9084
Emily Jupp,Andrea Viken Strand,2017-08-09 00:00:00,Guinsuan MPA,1,Medium,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e39
Emily Jupp,Andrea Viken Strand,2017-08-09 00:00:00,Guinsuan MPA,1,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8e39
Emily Jupp,Andrea Viken Strand,2017-08-11 00:00:00,Lutoban Pier,2,Medium,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e3c
Emily Jupp,Andrea Viken Strand,2017-08-11 00:00:00,Lutoban Pier,2,Medium,29,12,1,Drupella,0-5,10,0,10,1,676d3e20399de246bcff8e3c
Annika Nielsen,Emily Jupp,2017-08-14 00:00:00,Kookoos,3,Shallow,29,12,1,Drupella,0-5,27,0,27,1,676d3e20399de246bcff8e3f
Annika Nielsen,Emily Jupp,2017-08-14 00:00:00,Kookoos,2,Shallow,29,12,1,Drupella,0-5,54,0,54,1,676d3e20399de246bcff8e41
Annika Nielsen,Emily Jupp,2017-08-14 00:00:00,Kookoos,1,Shallow,29,12,1,Drupella,0-5,36,0,36,1,676d3e20399de246bcff8e43
Laura Schram,Andrea Viken Strand,2017-08-14 00:00:00,Kookoos,3,Shallow,29,12,1,Drupella,0-5,11,0,11,1,676d3e20399de246bcff8e45
Laura Schram,Andrea Viken Strand,2017-08-14 00:00:00,Kookoos,1,Shallow,29,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8e47
Laura Schram,Andrea Viken Strand,2017-08-14 00:00:00,Kookoos,1,Shallow,29,12,1,Drupella,0-5,8,0,8,1,676d3e20399de246bcff8e47
Laura Schram,Andrea Viken Strand,2017-08-14 00:00:00,Kookoos,2,Shallow,29,12,1,Drupella,0-5,22,0,22,1,676d3e20399de246bcff8e4a
Annika Nielsen,Andrea Viken Strand,2017-08-15 00:00:00,Lutoban South MPA,1,Medium,28,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e4c
Annika Nielsen,Andrea Viken Strand,2017-08-15 00:00:00,Lutoban South MPA,2,Medium,28,12,1,Drupella,0-5,17,0,17,1,676d3e20399de246bcff8e4e
Annika Nielsen,Andrea Viken Strand,2017-08-15 00:00:00,Lutoban South MPA,3,Medium,28,12,1,Drupella,0-5,19,0,19,1,676d3e20399de246bcff8e50
Annika Nielsen,Andrea Viken Strand,2017-08-16 00:00:00,Basak Can-Unsang MPA,1,Shallow,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e52
Annika Nielsen,Andrea Viken Strand,2017-08-16 00:00:00,Basak Can-Unsang MPA,1,Medium,28,12,1,Drupella,0-5,12,0,12,1,676d3e20399de246bcff8e54
Annika Nielsen,Andrea Viken Strand,2017-08-16 00:00:00,Basak Can-Unsang MPA,1,Medium,28,12,1,Drupella,0-5,9,0,9,1,676d3e20399de246bcff8e54
Annika Nielsen,Andrea Viken Strand,2017-08-17 00:00:00,Kookoos,3,Medium,29,12,1,Drupella,0-5,12,0,12,1,676d3e20399de246bcff8e57
Annika Nielsen,Andrea Viken Strand,2017-08-17 00:00:00,Kookoos,2,Medium,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e59
Emily Jupp,Andrea Viken Strand,2017-08-21 00:00:00,Guinsuan MPA,1,Medium,28,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff8e5b
Emily Jupp,Andrea Viken Strand,2017-08-21 00:00:00,Guinsuan MPA,1,Medium,28,12,1,Drupella,0-5,10,0,10,1,676d3e20399de246bcff8e5b
Emily Jupp,Andrea Viken Strand,2017-08-21 00:00:00,Guinsuan MPA,1,Medium,28,12,1,Drupella,0-5,21,0,21,1,676d3e20399de246bcff8e5b
Emily Jupp,Andrea Viken Strand,2017-08-22 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8e5f
Emily Jupp,Andrea Viken Strand,2017-08-22 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,28,0,28,1,676d3e20399de246bcff8e5f
Laura Schram,Daniel Løvborg,2017-08-31 00:00:00,Basak Can-Unsang MPA,1,Medium,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8e62
Laura Schram,Carly Stork,2017-08-31 00:00:00,Lutoban South MPA,2,Shallow,28,12,1,Drupella,0-5,28,0,28,1,676d3e20399de246bcff8e64
Laura Schram,Carly Stork,2017-08-31 00:00:00,Maluay Malatapay MPA,2,Shallow,28,12,1,Drupella,0-5,28,0,28,1,676d3e20399de246bcff9087
Emma Cottone,Heidi Jensen,2017-09-01 00:00:00,Guinsuan MPA,2,Medium,29,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8e66
Emma Cottone,Heidi Jensen,2017-09-01 00:00:00,Guinsuan MPA,2,Medium,29,12,1,Drupella,0-5,15,0,15,1,676d3e20399de246bcff8e66
Emma Cottone,Heidi Jensen,2017-09-01 00:00:00,Guinsuan MPA,2,Medium,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e66
Carly Stork,Heidi Jensen,2017-09-04 00:00:00,Andulay MPA,1,Medium,29,12,1,Drupella,0-5,31,0,31,1,676d3e20399de246bcff8e6a
Carly Stork,Heidi Jensen,2017-09-04 00:00:00,Andulay MPA,1,Medium,29,12,1,Drupella,0-5,16,0,16,1,676d3e20399de246bcff8e6a
Carly Stork,Heidi Jensen,2017-09-04 00:00:00,Andulay MPA,2,Medium,29,12,1,Drupella,0-5,29,0,29,1,676d3e20399de246bcff8e6d
Heidi Jensen,Carly Stork,2017-09-05 00:00:00,MASAPLOD NORTE MPA,1,Shallow,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e6f
Heidi Jensen,Carly Stork,2017-09-05 00:00:00,MASAPLOD NORTE MPA,1,Shallow,29,12,1,Drupella,0-5,15,0,15,1,676d3e20399de246bcff8e6f
Heidi Jensen,Carly Stork,2017-09-05 00:00:00,MASAPLOD NORTE MPA,1,Shallow,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8e6f
Heidi Jensen,Carly Stork,2017-09-05 00:00:00,MASAPLOD NORTE MPA,1,Shallow,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8e6f
Carly Stork,Heidi Jensen,2017-09-06 00:00:00,DAUIN POBLACION MPA,1,Shallow,29,12,1,Drupella,0-5,25,0,25,1,676d3e20399de246bcff8e74
Carly Stork,Heidi Jensen,2017-09-06 00:00:00,DAUIN POBLACION MPA,1,Shallow,29,12,1,Drupella,0-5,12,0,12,1,676d3e20399de246bcff8e74
Carly Stork,Heidi Jensen,2017-09-06 00:00:00,DAUIN POBLACION MPA,2,Shallow,29,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8e77
Carly Stork,Heidi Jensen,2017-09-06 00:00:00,DAUIN POBLACION MPA,2,Shallow,29,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8e77
Carly Stork,Heidi Jensen,2017-09-06 00:00:00,DAUIN POBLACION MPA,3,Shallow,29,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8e7a
Carly Stork,Heidi Jensen,2017-09-07 00:00:00,Andulay MPA,1,Shallow,30,12,1,Drupella,0-5,47,0,47,1,676d3e20399de246bcff8e7c
Carly Stork,Heidi Jensen,2017-09-07 00:00:00,Andulay MPA,1,Deep,30,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e7e
Carly Stork,Heidi Jensen,2017-09-07 00:00:00,Andulay MPA,1,Deep,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8e7e
Carly Stork,Heidi Jensen,2017-09-08 00:00:00,TURTLE HEAVEN,1,Medium,29,12,1,Drupella,0-5,9,0,9,1,676d3e20399de246bcff8e81
Carly Stork,Heidi Jensen,2017-09-08 00:00:00,TURTLE HEAVEN,1,Medium,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e81
Carly Stork,Heidi Jensen,2017-09-08 00:00:00,TURTLE HEAVEN,1,Medium,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e81
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Lutoban South MPA,1,Shallow,29,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8e85
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Lutoban South MPA,1,Medium,29,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8e87
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Lutoban South MPA,1,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8e87
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Lutoban South MPA,1,Deep,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e8a
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Lutoban South MPA,1,Deep,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8e8a
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Maluay Malatapay MPA,1,Shallow,29,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff9089
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Maluay Malatapay MPA,1,Medium,29,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff908b
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Maluay Malatapay MPA,1,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff908b
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Maluay Malatapay MPA,1,Deep,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff908e
Emma Cottone,Heidi Jensen,2017-09-11 00:00:00,Maluay Malatapay MPA,1,Deep,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff908e
Emma Cottone,Heidi Jensen,2017-09-12 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,58,0,58,1,676d3e20399de246bcff8e8d
Emma Cottone,Heidi Jensen,2017-09-12 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,15,0,15,1,676d3e20399de246bcff8e8d
Emma Cottone,Heidi Jensen,2017-09-12 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8e8d
Emma Cottone,Heidi Jensen,2017-09-12 00:00:00,Lutoban South MPA,1,Shallow,28,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e8d
Laura Schram,Laura Schram,2017-09-12 00:00:00,Lutoban South MPA,1,Shallow,30,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8e92
Emma Cottone,Heidi Jensen,2017-09-13 00:00:00,Basak Can-Unsang MPA,1,Shallow,29,12,1,Drupella,0-5,18,0,18,1,676d3e20399de246bcff8e94
Emma Cottone,Heidi Jensen,2017-09-13 00:00:00,Basak Can-Unsang MPA,1,Shallow,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8e94
Laura Schram,Laura Schram,2017-09-13 00:00:00,Basak Can-Unsang MPA,2,Shallow,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8e97
Laura Schram,Laura Schram,2017-09-13 00:00:00,Basak Can-Unsang MPA,1,Medium,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8e99
Emma Cottone,Heidi Jensen,2017-09-15 00:00:00,Lutoban Pier,2,Shallow,28,12,1,Drupella,0-5,10,0,10,1,676d3e20399de246bcff8e9b
Jack Hasting,Heidi Jensen,2017-09-18 00:00:00,Andulay MPA,1,Shallow,28,12,1,Drupella,0-5,8,0,8,1,676d3e20399de246bcff8e9d
Laura Schram,Rune Dyrhaug,2017-09-18 00:00:00,Andulay MPA,1,Shallow,30,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8e9f
Laura Schram,Rune Dyrhaug,2017-09-18 00:00:00,Andulay MPA,1,Shallow,30,12,1,Drupella,0-5,40,0,40,1,676d3e20399de246bcff8e9f
Laura Schram,Rune Dyrhaug,2017-09-18 00:00:00,Andulay MPA,1,Shallow,30,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8e9f
Laura Schram,Rune Dyrhaug,2017-09-18 00:00:00,Andulay MPA,1,Shallow,30,12,1,Drupella,0-5,27,0,27,1,676d3e20399de246bcff8e9f
Laura Schram,Rune Dyrhaug,2017-09-18 00:00:00,Andulay MPA,2,Shallow,30,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff8ea4
Jack Hasting,Heidi Jensen,2017-09-18 00:00:00,Andulay MPA,1,Deep,28,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8ea6
