Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Group,Status,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Massive,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Soft Coral Gorgonian,Healthy,78,0,78,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Foliose,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Substrate Rubble,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Macro,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Solitary,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Other Cnidarian Corallimorph,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Laminar,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Substrate Sand,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Encrusting,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Halimeda,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Columnar,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Tabulate,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Other Cnidarian Anemone,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Macro,Healthy,3,0,3,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Hard Coral Branching,Healthy,11,0,11,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Turf,Healthy,7,0,7,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Substrate Giant Clam,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Coralline,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Sessile invertebrates Sponge - Encrusting,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Other Cnidarian Zoanthid,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Algae Seagrass,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Sessile invertebrates Sponge - Irregular,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Substrate Rock,Healthy,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Emma Cottone,2017-09-01 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Substrate Sand,Silt,1,0,1,1,68749cfa147af37d41c778b7
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Algae Coralline,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Sessile invertebrates Ascidian,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Substrate Sand,Silt,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Sessile invertebrates Sponge - Barrel,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Substrate Sand,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Algae Seagrass,Healthy,2,0,2,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Sessile invertebrates Ascidian - Encrusting,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Soft Coral Gorgonian,Healthy,52,0,52,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Algae Turf,Healthy,4,0,4,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Algae Macro,Healthy,3,0,3,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Hard Coral Columnar,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Other Cnidarian Hydroid,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Soft Coral,Healthy,2,0,2,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Soft Coral Organ Pipe,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Hard Coral Foliose,Healthy,1,0,1,1,68749cfa147af37d41c778d1
Katrine Noehr,Jack Hasting,2017-09-01 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Other Cnidarian Zoanthid,Healthy,1,0,1,1,68749cfa147af37d41c778d1
