Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Group,Status,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Hard Coral Encrusting,Healthy,1,0,1,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Hard Coral Submassive,Healthy,3,0,3,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Hard Coral Solitary,Healthy,3,0,3,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Algae Turf,Healthy,7,0,7,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Algae Macro,Healthy,17,0,17,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Algae Coralline,Healthy,8,0,8,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Substrate Sand,Healthy,21,0,21,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Medium,29,20,0,Substrate Rubble,Healthy,60,0,60,1,676d3e8423bfcae5df4d9a7e
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Hard Coral Tabulate,Healthy,2,0,2,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Hard Coral Encrusting,Healthy,14,0,14,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Hard Coral Solitary,Healthy,5,0,5,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Other Cnidarian Zoanthid,Healthy,1,0,1,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Algae Turf,Healthy,18,0,18,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Algae Macro,Healthy,2,0,2,1,676d3e8423bfcae5df4d9a87
Tobes,Tobes,2024-12-03 00:00:00,Maluay Malatapay MPA,2,Shallow,29,20,0,Algae Coralline,Healthy,12,0,12,1,676d3e8423bfcae5df4d9a87
