Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-09-04,Andulay MPA,50.5,49.0,25.5,26.0,36.5,31190.01153213946,58324.2673316769
2017-09-07,Andulay MPA,15.5,19.5,12.5,14.5,15.5,8063.63389214257,15997.0950333711
2017-09-20,Andulay MPA,64.5,35.0,16.0,23.5,38.5,20732.318631101076,33044.09349913083
2017-09-26,Andulay MPA,31.0,62.0,29.0,57.0,160.0,54769.04201704394,85188.40987229825
2017-11-06,Andulay MPA,22.8,21.2,12.4,90.4,53.2,108466.9958788459,121273.52444731387
2017-11-19,Andulay MPA,36.666666666666664,22.0,20.0,28.0,89.66666666666667,14819.750384780215,26692.26265110062
2018-02-07,Andulay MPA,22.333333333333332,22.333333333333332,16.333333333333332,56.333333333333336,69.0,26574.824065693323,32964.01332509968
2018-02-13,Andulay MPA,30.0,7.5,39.5,39.5,29.5,7041.935885638058,9219.04699928542
2018-03-01,Andulay MPA,10.333333333333334,8.333333333333334,13.0,36.666666666666664,55.333333333333336,21299.899438721077,27353.387973541507
2018-05-01,Andulay MPA,28.0,17.666666666666668,14.666666666666666,42.666666666666664,50.666666666666664,19129.713196420667,34470.0942951621
2018-05-21,Andulay MPA,74.0,58.0,35.0,176.5,206.0,48212.91036369338,71899.58193003593
2018-06-08,Andulay MPA,16.0,8.0,11.0,7.5,39.5,5695.051725507041,6792.903303584845
2018-06-26,Andulay MPA,22.0,27.0,6.0,9.0,24.0,2237.7084937689783,2972.5039461428987
2018-08-03,Andulay MPA,30.333333333333332,11.333333333333334,14.333333333333334,37.666666666666664,105.66666666666667,173352.53132700175,184481.46293056066
2018-08-14,Andulay MPA,18.0,18.5,10.0,38.5,74.5,16203.104955139519,32655.144492249503
2018-10-29,Andulay MPA,32.75,17.25,21.75,57.25,53.25,53357.469965203716,68963.28017833474
2018-10-31,Andulay MPA,39.0,29.0,54.666666666666664,31.333333333333332,122.0,8881.178103494805,22067.346479541022
2018-12-03,Andulay MPA,20.0,14.666666666666666,20.333333333333332,76.66666666666667,27.666666666666668,67573.43305857937,74341.29258442363
2019-01-16,Andulay MPA,61.666666666666664,23.666666666666668,49.333333333333336,28.666666666666668,237.33333333333334,33140.71023725944,48924.4716377774
2019-03-13,Andulay MPA,52.0,28.0,41.0,46.0,125.0,9257.483405153982,13381.849037279235
2019-04-01,Andulay MPA,48.0,34.0,30.0,46.0,127.0,5311.900695811044,8161.663816352495
2019-04-16,Andulay MPA,66.0,39.333333333333336,56.666666666666664,68.0,324.6666666666667,61146.03616974958,90928.08117277123
2019-04-24,Andulay MPA,36.0,32.0,44.0,48.0,509.0,32942.70094206265,39815.30093800023
2019-06-13,Andulay MPA,40.5,40.0,83.5,90.5,186.0,33266.618112189826,45474.06140345888
2019-07-19,Andulay MPA,26.25,19.0,28.75,14.0,199.0,32002.48441191385,43054.84396060106
2019-07-26,Andulay MPA,58.666666666666664,33.0,41.666666666666664,38.333333333333336,163.0,17171.195923171843,39720.72430215544
2019-10-16,Andulay MPA,23.75,16.25,18.75,15.75,151.0,7552.291936624939,12212.840912081268
2019-10-28,Andulay MPA,18.5,20.0,11.75,31.75,30.5,9482.989396830053,16911.83672085602
2019-11-15,Andulay MPA,34.0,21.5,22.5,14.0,64.0,2430.6380953288785,6740.219766798307
2019-12-16,Andulay MPA,32.25,22.25,42.25,33.25,219.5,48449.37513140612,73433.2424109896
2019-12-20,Andulay MPA,32.5,19.0,38.0,57.0,188.5,19061.93397276403,39348.562339235476
2020-01-20,Andulay MPA,110.0,25.0,50.0,44.0,292.0,10494.927446957774,18669.158188078745
2022-05-31,Andulay MPA,13.833333333333334,9.5,13.833333333333334,32.0,1235.0,53141.18328462902,111861.45201664974
2022-06-13,Andulay MPA,13.0,8.5,15.5,31.5,860.0,34969.52077704518,48343.40408800862
2022-06-14,Andulay MPA,20.0,7.333333333333333,27.0,48.333333333333336,708.6666666666666,8098.084509618279,29804.289303079873
2022-06-23,Andulay MPA,15.0,7.5,20.0,84.5,752.5,11584.658566846654,25014.36203113003
2022-07-15,Andulay MPA,20.5,10.5,21.0,259.5,451.0,1334.2161970525824,8080.444386280249
2022-07-22,Andulay MPA,21.0,30.5,25.0,409.5,1086.5,17149.398840004582,33625.951122836464
2022-08-12,Andulay MPA,16.75,5.75,8.0,72.0,651.5,23025.32948347371,48395.78808293846
2022-10-05,Andulay MPA,21.333333333333332,19.0,31.333333333333332,181.33333333333334,1640.6666666666667,52211.84676967498,85297.36185707289
2022-10-13,Andulay MPA,55.5,24.0,44.0,177.0,1829.5,14049.144865346556,50233.47601786492
2022-10-18,Andulay MPA,13.5,13.0,32.0,201.0,1131.5,96368.90539161567,217660.37950537272
2022-11-18,Andulay MPA,31.0,32.5,59.5,222.0,1553.0,83490.79125325927,136861.31535084048
2022-12-15,Andulay MPA,10.166666666666666,13.0,21.166666666666668,102.16666666666667,685.8333333333334,10607.860942303258,42706.11390669042
2023-01-06,Andulay MPA,25.333333333333332,20.666666666666668,32.333333333333336,118.0,1621.0,28739.84875458892,92459.3228737093
2023-02-08,Andulay MPA,10.0,8.0,9.5,84.25,458.5,14865.092715006787,41020.83197385921
2023-03-09,Andulay MPA,11.0,6.0,14.0,36.0,282.0,1125.2574168102803,13915.839520675429
2023-03-16,Andulay MPA,17.666666666666668,11.0,19.666666666666668,37.333333333333336,572.0,11086.765656915793,49850.28297213023
2023-03-24,Andulay MPA,20.666666666666668,10.666666666666666,21.666666666666668,82.33333333333333,834.6666666666666,7502.290339541801,49200.710855048885
2023-04-17,Andulay MPA,10.0,11.5,8.0,18.5,625.0,6332.131790047966,22206.78795476588
2023-04-21,Andulay MPA,14.0,15.5,17.0,21.5,390.75,80149.36998815877,109596.65311846143
2023-05-08,Andulay MPA,12.333333333333334,15.0,14.333333333333334,58.0,419.0,13099.772521489776,31547.0211943901
2023-06-21,Andulay MPA,19.666666666666668,22.333333333333332,39.0,173.0,855.3333333333334,24029.821532719543,64191.83108878154
2023-07-25,Andulay MPA,32.0,25.0,20.5,97.5,1540.0,19531.25433474783,52524.08477715908
2023-07-27,Andulay MPA,14.6,10.0,12.4,115.8,659.6,21153.01062554947,52001.26833064824
2023-08-24,Andulay MPA,4.0,15.0,13.0,196.0,291.0,3864.6858999929536,7381.958839142711
2023-10-04,Andulay MPA,16.0,23.333333333333332,16.0,124.0,853.3333333333334,12406.903823661587,39670.33902000343
2023-10-18,Andulay MPA,27.0,16.0,20.0,168.0,696.0,12931.402687968526,24531.645115178733
2023-10-23,Andulay MPA,21.0,21.5,34.5,241.0,818.0,23412.521066224348,43118.47543026191
2023-12-13,Andulay MPA,14.0,15.5,13.0,57.5,558.0,6382.917798092161,21111.665687961442
2023-12-21,Andulay MPA,17.666666666666668,33.666666666666664,19.666666666666668,161.0,894.3333333333334,20523.174908840632,48597.337581583815
2023-12-27,Andulay MPA,10.333333333333334,24.666666666666668,14.0,158.33333333333334,377.3333333333333,8917.780007069803,28717.978794433147
2024-01-17,Andulay MPA,6.0,10.0,26.0,341.0,603.0,6188.918538114762,14206.273865361807
2024-02-14,Andulay MPA,12.0,13.5,9.0,115.75,479.25,16816.43354383077,43197.01351644029
