Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-11-10,Basak Can-Unsang MPA,33.666666666666664,26.166666666666668,12.666666666666666,52.0,133.0,171798.96999787673,242501.04171695813
2018-02-14,Basak Can-Unsang MPA,12.0,7.0,11.0,39.0,64.0,8464.691154591439,11471.3128853818
2018-03-03,Basak Can-Unsang MPA,12.5,7.0,3.0,136.5,199.0,81316.9343402027,108300.22163838967
2018-04-20,Basak Can-Unsang MPA,33.0,29.0,7.0,381.0,393.0,53078.1625060134,56693.803119366465
2018-04-27,Basak Can-Unsang MPA,11.4,32.6,7.0,39.0,72.4,49959.78368860372,55386.89722321717
2018-05-29,Basak Can-Unsang MPA,62.0,72.0,28.0,149.0,534.0,49183.37102590531,63139.97810508518
2018-06-20,Basak Can-Unsang MPA,37.0,60.5,15.0,58.5,128.5,28420.773327877803,39126.82390232404
2018-07-13,Basak Can-Unsang MPA,14.666666666666666,10.333333333333334,5.0,16.666666666666668,46.666666666666664,42129.02966289507,45080.41267815305
2018-08-29,Basak Can-Unsang MPA,27.333333333333332,27.666666666666668,11.666666666666666,36.0,42.333333333333336,37531.052764516135,48975.38995509846
2018-11-16,Basak Can-Unsang MPA,46.0,45.666666666666664,13.333333333333334,234.66666666666666,811.0,298103.9465715313,602506.1233730057
2018-11-23,Basak Can-Unsang MPA,31.0,33.75,14.0,131.0,185.75,111810.19679132554,172259.27181324703
2018-12-28,Basak Can-Unsang MPA,39.666666666666664,31.0,16.0,187.0,494.0,132266.52710315597,342281.2320899568
2019-01-18,Basak Can-Unsang MPA,45.666666666666664,21.0,13.0,143.0,478.3333333333333,140380.8574999061,157491.14700186826
2019-03-27,Basak Can-Unsang MPA,21.5,11.5,8.0,62.0,60.0,18088.84910092651,24173.108256109062
2019-04-08,Basak Can-Unsang MPA,24.166666666666668,23.5,10.833333333333334,61.333333333333336,170.83333333333334,77445.41159968529,127895.3940116847
2019-05-09,Basak Can-Unsang MPA,34.0,40.5,17.5,91.0,585.5,84938.2684092622,96869.15960404147
2019-06-22,Basak Can-Unsang MPA,46.0,54.666666666666664,19.666666666666668,172.33333333333334,1089.6666666666667,243274.08072654763,322085.56029305345
2019-08-06,Basak Can-Unsang MPA,53.333333333333336,33.333333333333336,28.333333333333332,183.33333333333334,663.6666666666666,188348.79133374352,447678.01328274404
2019-11-05,Basak Can-Unsang MPA,37.75,39.0,11.5,42.25,68.0,22120.170413202963,69852.23533002894
2019-11-08,Basak Can-Unsang MPA,16.75,34.0,11.0,14.75,28.5,8567.072686921794,13435.807636621365
2019-11-14,Basak Can-Unsang MPA,19.0,25.0,6.0,16.0,17.0,3775.513512893022,5479.280623604635
2019-12-02,Basak Can-Unsang MPA,27.0,44.0,5.0,33.0,26.5,4203.882570141897,9111.429317342308
2019-12-30,Basak Can-Unsang MPA,26.25,21.75,5.75,61.25,375.5,122070.08693171808,146323.96775724905
2020-01-18,Basak Can-Unsang MPA,24.0,51.0,6.0,29.0,180.0,11456.502302135525,80244.59080544185
2020-01-21,Basak Can-Unsang MPA,56.0,51.0,11.0,59.0,106.0,10815.560498923825,21990.878605319846
2022-05-26,Basak Can-Unsang MPA,25.625,7.875,13.375,82.75,788.5,289142.70138822193,377317.9290670445
2022-05-27,Basak Can-Unsang MPA,12.5,9.75,8.0,47.0,626.0,28798.093905737267,124299.3401107467
2022-06-02,Basak Can-Unsang MPA,21.25,16.75,17.75,150.5,830.25,77544.54061781893,130560.36868591972
2022-06-27,Basak Can-Unsang MPA,66.0,21.5,9.0,81.5,1262.0,48706.8608907277,73767.49775243035
2022-07-12,Basak Can-Unsang MPA,73.5,25.0,21.0,67.5,899.0,54985.481719342955,75347.37092869302
2022-09-15,Basak Can-Unsang MPA,96.0,41.0,35.0,389.0,5767.0,284401.8199227648,311228.61752780183
2022-10-15,Basak Can-Unsang MPA,24.5,26.5,19.5,145.25,1274.25,67149.39370640303,132226.69008488735
2022-10-27,Basak Can-Unsang MPA,35.5,22.0,21.0,182.5,2789.5,96746.26148170636,153314.44403341837
2022-12-30,Basak Can-Unsang MPA,16.833333333333332,12.5,7.833333333333333,75.83333333333333,776.5,142877.44967334167,257982.26909245524
2023-02-16,Basak Can-Unsang MPA,16.5,7.5,28.5,68.0,540.0,23429.289164838883,64160.16340679757
2023-02-22,Basak Can-Unsang MPA,17.666666666666668,4.0,8.0,35.666666666666664,438.3333333333333,12101.624772865704,43408.97143122822
2023-03-06,Basak Can-Unsang MPA,22.0,7.5,18.0,78.0,569.0,12730.842463760695,35198.451061990265
2023-04-19,Basak Can-Unsang MPA,17.0,13.333333333333334,9.666666666666666,41.0,323.0,22504.729970645138,49609.28078982234
2023-04-26,Basak Can-Unsang MPA,17.0,11.666666666666666,10.666666666666666,22.666666666666668,279.3333333333333,8752.361108676227,35120.85244900625
2023-05-01,Basak Can-Unsang MPA,17.0,9.666666666666666,10.333333333333334,48.333333333333336,296.0,17235.035178628954,59292.61295639083
2023-05-09,Basak Can-Unsang MPA,33.666666666666664,35.333333333333336,15.0,91.66666666666667,879.0,45671.929801057275,85187.63712467789
2023-05-23,Basak Can-Unsang MPA,53.0,40.0,15.0,67.0,1229.0,12825.524288189332,24733.97683639018
2023-06-23,Basak Can-Unsang MPA,19.0,8.5,5.0,122.5,1127.0,29832.789820205147,58734.96019738683
2023-07-07,Basak Can-Unsang MPA,15.0,11.0,9.5,55.0,693.0,17212.17543145865,37157.34402144519
2023-07-31,Basak Can-Unsang MPA,14.5,14.5,52.25,51.25,940.0,138885.8626554137,195073.0492941556
2023-08-03,Basak Can-Unsang MPA,9.5,14.0,7.5,56.5,906.0,9044.189593137027,22561.382683782194
2023-08-07,Basak Can-Unsang MPA,20.5,10.5,5.5,68.5,516.0,48648.94330525901,100582.01744753931
2023-08-12,Basak Can-Unsang MPA,17.333333333333332,28.0,11.333333333333334,49.666666666666664,608.0,57614.76565294746,91085.7802819321
2023-08-19,Basak Can-Unsang MPA,14.0,12.0,13.0,89.0,632.0,5348.933311217456,12002.608779686823
2023-10-05,Basak Can-Unsang MPA,19.5,10.5,10.5,150.5,524.5,40347.95007687864,52110.098300197664
2023-10-13,Basak Can-Unsang MPA,40.0,32.5,16.5,119.5,744.5,21503.20169558938,44444.17055131502
2023-11-22,Basak Can-Unsang MPA,16.333333333333332,22.333333333333332,10.666666666666666,76.66666666666667,402.6666666666667,22433.073597705847,40765.56745580603
2023-11-24,Basak Can-Unsang MPA,23.0,38.0,7.0,77.0,425.0,15424.460144232524,21294.832108524286
2023-12-06,Basak Can-Unsang MPA,12.5,19.75,9.75,53.0,353.5,18032.730503851835,38713.59687264912
2023-12-08,Basak Can-Unsang MPA,18.0,13.5,4.0,70.0,474.5,7933.697877192894,29721.20507641374
2023-12-30,Basak Can-Unsang MPA,27.0,31.0,21.0,754.0,1204.0,62718.82165480684,73081.17667170698
2024-01-03,Basak Can-Unsang MPA,67.0,11.0,1.0,68.0,1127.0,50857.80203304402,64488.77204543113
2024-02-02,Basak Can-Unsang MPA,45.0,40.5,17.0,126.5,670.5,65843.1011798483,85400.26488152966
2024-02-07,Basak Can-Unsang MPA,30.5,53.0,15.5,118.5,881.0,76387.89771130568,98378.11695472458
2024-02-27,Basak Can-Unsang MPA,17.5,25.0,13.5,122.0,519.0,12104.953706749191,27523.988636533642
2024-03-20,Basak Can-Unsang MPA,32.666666666666664,37.666666666666664,9.0,158.0,755.0,67457.2048348017,109184.9387655292
2024-04-02,Basak Can-Unsang MPA,25.333333333333332,28.333333333333332,10.0,84.0,634.6666666666666,51837.66086490797,105042.0859056259
2024-04-10,Basak Can-Unsang MPA,21.0,32.0,11.0,80.0,881.5,56298.17738687627,104044.44146188452
2024-04-11,Basak Can-Unsang MPA,11.0,28.5,9.0,29.0,277.5,5453.303042690218,18078.82516948941
2024-05-08,Basak Can-Unsang MPA,28.0,49.0,17.5,200.0,886.5,126113.9240972757,152469.49421516652
2024-06-05,Basak Can-Unsang MPA,13.333333333333334,35.5,7.666666666666667,70.16666666666667,515.8333333333334,226980.8207060745,261529.7421291815
2024-08-10,Basak Can-Unsang MPA,43.0,69.5,24.0,163.5,1017.0,28077.530259163064,44652.04277625856
2024-08-30,Basak Can-Unsang MPA,21.333333333333332,19.0,6.666666666666667,99.66666666666667,353.3333333333333,16530.655554254376,32593.189336378724
2024-09-19,Basak Can-Unsang MPA,22.75,15.0,6.5,55.5,330.75,29012.487540683174,46618.86767167123
2024-10-10,Basak Can-Unsang MPA,16.0,19.0,6.0,52.0,264.0,4069.8683948868365,11608.356160391006
2024-10-24,Basak Can-Unsang MPA,18.0,14.5,1.0,19.0,589.5,69970.8247153363,79370.42157862715
2024-11-13,Basak Can-Unsang MPA,29.0,82.5,27.0,196.5,1024.0,41297.27514786574,60865.06088379624
2024-11-27,Basak Can-Unsang MPA,49.5,6.0,4.5,111.5,593.0,57608.03937276044,78208.67158200333
2024-12-10,Basak Can-Unsang MPA,27.0,15.0,10.5,149.5,863.0,41835.96436431675,52427.42891738395
