Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-09-06,DAUIN POBLACION MPA,14.25,32.0,26.0,18.0,255.5,157018.1570966315,218710.51698337504
2017-09-19,DAUIN POBLACION MPA,14.833333333333334,8.833333333333334,8.833333333333334,9.5,70.0,107341.949717212,143944.62502579036
2017-10-03,DAUIN POBLACION MPA,8.5,12.5,18.0,18.5,206.5,112020.00448705236,139212.3878272361
2017-11-06,DAUIN POBLACION MPA,19.0,9.0,14.333333333333334,25.333333333333332,100.0,46858.79447160905,65302.44897119136
2017-11-14,DAUIN POBLACION MPA,14.6,13.2,18.6,17.8,154.4,98637.7468497827,135983.78910240476
2017-11-18,DAUIN POBLACION MPA,11.0,9.0,9.0,7.0,60.0,5104.295309165801,12025.656087585394
2018-02-05,DAUIN POBLACION MPA,9.75,3.25,6.0,10.0,146.75,27602.352150768333,47220.93937403574
2018-02-06,DAUIN POBLACION MPA,8.0,1.75,7.5,10.75,227.0,43271.853558855306,54302.95163651021
2018-02-13,DAUIN POBLACION MPA,8.5,6.0,10.0,8.5,95.0,12857.227714130151,19218.275275538075
2018-04-06,DAUIN POBLACION MPA,138.0,131.0,65.0,98.0,438.0,38845.42742426537,78689.84774578735
2018-05-18,DAUIN POBLACION MPA,27.5,17.5,27.0,41.0,361.0,60598.52812081436,79745.55594555888
2018-05-25,DAUIN POBLACION MPA,12.0,20.0,19.0,15.0,302.5,55083.139979656284,71695.93894662062
2018-05-28,DAUIN POBLACION MPA,21.5,23.0,10.0,19.0,125.0,24480.484992340316,57565.34780690014
2018-06-04,DAUIN POBLACION MPA,7.0,9.0,10.5,11.0,84.5,14375.665863918217,24834.60831138797
2018-08-17,DAUIN POBLACION MPA,24.666666666666668,28.0,17.333333333333332,17.666666666666668,169.0,57830.760508729116,84338.69024089986
2018-08-31,DAUIN POBLACION MPA,23.0,20.0,29.0,11.5,286.5,40291.623734874775,53450.27395439398
2018-10-26,DAUIN POBLACION MPA,15.0,20.0,26.5,30.0,522.5,78617.10958558413,91335.70143141707
2018-11-21,DAUIN POBLACION MPA,50.333333333333336,47.333333333333336,49.333333333333336,34.333333333333336,190.33333333333334,40778.01980076662,72482.5240975912
2018-12-07,DAUIN POBLACION MPA,24.666666666666668,22.333333333333332,40.0,20.0,581.6666666666666,118206.95267531578,166366.23250473154
2018-12-12,DAUIN POBLACION MPA,7.4,13.4,8.6,10.4,206.0,86429.56252867472,132129.60343833652
2019-03-05,DAUIN POBLACION MPA,25.0,9.0,7.0,14.0,97.0,2747.978284959579,6327.6419697203355
2019-03-26,DAUIN POBLACION MPA,11.0,12.0,18.5,6.0,99.5,13792.432530612627,25985.554281375425
2019-04-03,DAUIN POBLACION MPA,28.0,12.0,21.0,8.0,156.0,5997.025831389366,12863.471162349702
2019-04-15,DAUIN POBLACION MPA,66.66666666666667,46.666666666666664,33.333333333333336,60.666666666666664,344.0,66520.28586452143,123126.41887366225
2019-04-30,DAUIN POBLACION MPA,25.5,11.5,21.0,27.0,95.0,8248.9723032832,17136.356411252826
2019-05-13,DAUIN POBLACION MPA,29.0,39.0,42.0,50.0,833.0,12904.435110736527,24818.245982470147
2019-06-05,DAUIN POBLACION MPA,81.5,59.0,37.0,135.5,429.5,46934.768497723555,87748.10521325022
2019-07-17,DAUIN POBLACION MPA,22.5,30.5,38.5,21.0,417.5,56735.844950494684,87028.36926039812
2019-08-07,DAUIN POBLACION MPA,40.5,22.5,45.0,54.5,673.0,79961.50134235066,138945.9981936099
2019-10-08,DAUIN POBLACION MPA,20.666666666666668,17.666666666666668,19.0,11.333333333333334,60.0,4954.036753416049,15097.467250313224
2019-10-09,DAUIN POBLACION MPA,26.333333333333332,37.333333333333336,20.666666666666668,19.666666666666668,289.3333333333333,17729.32039234329,35438.76639265091
2019-10-11,DAUIN POBLACION MPA,21.333333333333332,19.0,17.0,13.333333333333334,144.66666666666666,17106.658844941172,23898.71373997624
2019-12-03,DAUIN POBLACION MPA,24.75,33.0,18.5,21.5,230.75,44740.80985590319,86754.16259186463
2019-12-10,DAUIN POBLACION MPA,52.0,50.5,28.5,43.0,248.0,24159.931812559043,55241.191824860536
2020-01-15,DAUIN POBLACION MPA,10.0,11.0,8.5,11.5,76.5,20825.653718098067,35282.973950777945
