Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-10-05,Lutoban North MPA,54.0,29.5,15.5,22.5,123.5,73425.45931849453,84025.91779252964
2017-10-16,Lutoban North MPA,12.5,12.5,9.5,6.0,26.5,13136.871723143144,17501.386346078045
2017-10-25,Lutoban North MPA,27.0,12.0,18.0,14.5,37.0,10961.918893154338,20555.02799792699
2017-11-02,Lutoban North MPA,45.5,22.0,24.5,20.5,66.5,41221.9316958122,54482.5249281521
2017-11-08,Lutoban North MPA,47.0,25.25,17.5,14.5,35.5,19992.500520978105,28916.53530401148
2018-02-16,Lutoban North MPA,34.0,13.5,20.5,8.5,27.5,3632.1731039019937,5899.050098617041
2018-03-05,Lutoban North MPA,18.5,14.0,10.0,11.0,38.0,9399.598643528498,12942.643427764257
2018-04-02,Lutoban North MPA,28.666666666666668,22.666666666666668,13.333333333333334,12.666666666666666,98.0,18273.621046333992,24460.7545807849
2018-05-07,Lutoban North MPA,32.0,21.0,14.5,18.5,33.5,5506.623746157857,7773.710811555526
2018-05-11,Lutoban North MPA,20.0,11.333333333333334,8.666666666666666,13.333333333333334,211.0,34398.49888835475,47331.3492620772
2018-07-18,Lutoban North MPA,30.0,28.0,8.0,10.0,51.0,1345.5073679816903,3438.888218834011
2018-08-06,Lutoban North MPA,84.0,62.0,20.0,55.0,85.0,6790.037289260186,15168.586698582516
2018-08-10,Lutoban North MPA,29.5,20.0,17.0,33.0,117.0,16767.61204510999,25259.938321863625
2018-11-19,Lutoban North MPA,32.4,10.4,23.8,19.0,37.0,19293.11601970296,35016.08547409644
2018-11-29,Lutoban North MPA,26.666666666666668,23.0,17.666666666666668,18.666666666666668,112.33333333333333,27107.453722412323,41333.127423958715
2018-12-11,Lutoban North MPA,19.5,14.25,18.75,11.5,71.75,25017.933197875554,38108.80774974557
2019-01-21,Lutoban North MPA,34.666666666666664,25.333333333333332,21.666666666666668,25.666666666666668,43.0,43242.21657990714,52345.78359874869
2019-04-29,Lutoban North MPA,17.5,17.0,7.25,16.5,29.5,9510.20239983521,13960.226487639953
2019-05-01,Lutoban North MPA,19.0,26.666666666666668,11.666666666666666,32.333333333333336,145.66666666666666,28968.42753896668,39195.211821007935
2019-05-20,Lutoban North MPA,39.0,12.5,11.25,29.75,61.0,8700.27630443016,15271.151732905295
2019-06-14,Lutoban North MPA,42.0,27.0,19.0,32.333333333333336,76.0,10137.567203672163,20261.94090092766
2019-07-24,Lutoban North MPA,41.0,23.5,23.0,28.5,394.0,31706.148349145282,43347.43740009135
2019-08-27,Lutoban North MPA,45.0,66.0,15.0,20.0,50.0,10340.875660742617,17615.355465557444
2019-10-30,Lutoban North MPA,19.4,10.2,9.2,11.2,55.4,16000.158927459026,22080.710351748996
2019-11-07,Lutoban North MPA,25.75,25.5,17.5,19.0,91.25,23329.781160447856,31217.438025171323
2019-11-15,Lutoban North MPA,22.0,9.0,8.0,2.0,8.0,219.17257961647118,777.813572920929
2019-11-21,Lutoban North MPA,22.0,41.75,15.5,9.0,84.0,12255.586708617795,15543.93335147407
2019-11-29,Lutoban North MPA,30.5,33.0,20.0,24.0,227.0,5681.9841900607225,15345.162216227007
2019-12-14,Lutoban North MPA,53.0,32.0,41.0,11.0,314.0,2403.9423569337027,9745.042388713748
2019-12-19,Lutoban North MPA,28.333333333333332,18.0,13.0,16.0,188.66666666666666,6915.213062892739,16286.541722828106
2020-01-07,Lutoban North MPA,23.333333333333332,26.666666666666668,19.333333333333332,12.0,681.3333333333334,122506.69567520307,128850.80156999161
2022-05-18,Lutoban North MPA,19.333333333333332,10.0,25.0,30.333333333333332,981.6666666666666,21497.28154062612,47777.46091372081
2022-06-01,Lutoban North MPA,10.5,6.25,6.0,17.25,701.75,17920.941257444952,41508.60302014901
2022-06-15,Lutoban North MPA,49.0,25.0,28.5,80.5,932.0,4154.379161420163,24056.32237902916
2022-06-22,Lutoban North MPA,13.5,8.0,15.5,17.0,711.5,15801.497783375546,30096.532918258792
2022-07-09,Lutoban North MPA,34.0,20.0,45.0,104.0,788.0,3186.458911846774,18471.224207075404
2022-08-15,Lutoban North MPA,33.0,14.5,18.5,94.5,688.5,11504.455809132465,26582.350149759994
2022-08-19,Lutoban North MPA,19.0,4.5,8.0,62.5,537.5,1195.8749976716163,10263.313222926701
2022-11-08,Lutoban North MPA,18.0,5.5,20.0,18.5,529.5,13773.489656095071,29042.67853390341
2022-11-10,Lutoban North MPA,25.5,11.5,25.5,164.0,1125.5,20227.41740655354,70660.73184525644
