Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2019-10-24,Lutoban South MPA,50.25,47.5,38.25,21.25,121.5,28185.134062425124,39146.141870989035
2019-11-14,Lutoban South MPA,37.0,28.0,9.0,10.0,221.0,2623.1805476310096,3312.7889983961027
2020-01-31,Lutoban South MPA,42.333333333333336,33.333333333333336,31.666666666666668,13.666666666666666,114.66666666666667,20596.890127523806,33385.32461215272
2022-05-30,Lutoban South MPA,17.0,16.4,24.2,44.6,1001.0,42436.2714382651,97632.3834485838
2022-06-07,Lutoban South MPA,28.0,9.6,22.8,51.6,706.6,14397.138309669092,53497.764979542415
2022-07-04,Lutoban South MPA,28.666666666666668,8.0,23.333333333333332,63.0,793.3333333333334,2729.8685886312396,26290.076895119786
2022-08-26,Lutoban South MPA,22.5,13.0,23.75,85.5,709.75,38924.676903198684,64741.535930257705
2022-09-14,Lutoban South MPA,26.333333333333332,32.666666666666664,36.333333333333336,185.33333333333334,970.0,30406.50803507306,48948.15522648887
2022-10-14,Lutoban South MPA,21.0,11.0,24.0,76.0,1593.0,25895.96510292108,39563.05909890461
2022-11-09,Lutoban South MPA,16.0,17.5,23.25,35.75,450.0,4305.293717931475,27370.273494381825
2022-12-06,Lutoban South MPA,26.333333333333332,26.333333333333332,50.666666666666664,90.0,1224.0,23309.652464500126,56474.6952741482
2023-01-04,Lutoban South MPA,11.0,8.25,16.75,18.5,447.0,2702.3175783282313,27907.867429950347
2023-01-17,Lutoban South MPA,9.5,10.5,12.0,65.0,572.5,21556.491564284253,36176.68458201347
2023-01-27,Lutoban South MPA,17.0,9.5,11.5,27.0,406.0,4132.298020101208,15234.757795910964
2023-03-03,Lutoban South MPA,11.333333333333334,7.333333333333333,9.0,16.666666666666668,309.3333333333333,3861.0741944773627,20245.711158220358
2023-04-25,Lutoban South MPA,9.666666666666666,16.0,13.0,29.333333333333332,428.6666666666667,6884.753744634306,19865.607415826493
2023-04-27,Lutoban South MPA,4.0,9.5,9.5,71.5,332.0,4138.361661375659,14179.042349803463
2023-04-28,Lutoban South MPA,14.75,8.0,19.5,19.75,353.5,5727.113231729128,24309.580300223744
