Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-10-17,Maluay Malatapay MPA,25.666666666666668,54.333333333333336,35.333333333333336,137.0,161.66666666666666,144846.70416903726,162114.50151847303
2017-11-13,Maluay Malatapay MPA,11.75,16.0,9.25,42.0,132.0,72912.0283889418,97224.20649524931
2017-11-20,Maluay Malatapay MPA,7.8,17.2,11.6,33.6,22.8,37339.99480045517,53716.64852308288
2018-02-14,Maluay Malatapay MPA,5.0,6.0,15.0,175.0,101.0,16546.135202278656,17526.614908819778
2018-02-23,Maluay Malatapay MPA,18.0,27.0,18.0,16.0,67.0,4022.7204546965386,6565.204781762192
2018-03-03,Maluay Malatapay MPA,7.0,14.5,5.0,10.0,39.5,4963.7156023257885,5729.417437858719
2018-03-30,Maluay Malatapay MPA,25.5,29.5,20.5,19.0,119.0,8152.41707104562,20955.201544763164
2018-04-10,Maluay Malatapay MPA,16.0,8.0,11.666666666666666,25.666666666666668,72.66666666666667,18100.515115573748,22386.7033119171
2018-05-02,Maluay Malatapay MPA,10.25,21.25,7.5,48.25,113.5,40970.76474161399,44403.95995254806
2018-05-14,Maluay Malatapay MPA,63.0,44.0,48.0,85.0,340.0,20313.105589318842,24767.524964689826
2018-07-20,Maluay Malatapay MPA,13.0,20.0,14.0,11.0,5.0,1494.2877833176717,4058.3958683917494
2018-08-23,Maluay Malatapay MPA,25.0,31.0,24.666666666666668,54.666666666666664,203.0,58650.877892419965,78627.4005448622
2018-10-30,Maluay Malatapay MPA,40.0,47.333333333333336,58.666666666666664,464.3333333333333,457.6666666666667,152428.9436014503,166043.7687886039
2018-11-23,Maluay Malatapay MPA,20.5,26.5,16.5,12.5,115.0,17744.80859587425,22262.61660530025
2018-12-17,Maluay Malatapay MPA,40.666666666666664,23.333333333333332,8.0,11.333333333333334,177.66666666666666,93524.1982642057,101720.22293048535
2018-12-30,Maluay Malatapay MPA,25.666666666666668,27.666666666666668,27.333333333333332,194.33333333333334,168.33333333333334,81782.69619122108,89037.36807109001
2019-04-02,Maluay Malatapay MPA,17.333333333333332,7.833333333333333,16.166666666666668,178.66666666666666,348.0,80783.78756501988,88711.63838601594
2019-04-10,Maluay Malatapay MPA,13.666666666666666,19.666666666666668,11.0,23.0,221.0,10211.249568705322,16528.977585151682
