Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-09-08,TURTLE HEAVEN,7.5,29.0,13.0,37.0,49.5,22413.40281062609,35171.59409860506
2017-10-23,TURTLE HEAVEN,7.0,22.5,15.5,11.0,43.5,15381.612210818017,23301.877064581084
2017-10-28,TURTLE HEAVEN,4.0,17.666666666666668,12.333333333333334,8.333333333333334,108.66666666666667,139249.794900878,143557.0659887975
2017-11-14,TURTLE HEAVEN,8.0,24.0,27.666666666666668,22.333333333333332,52.333333333333336,76995.27072471831,85160.19761532816
2017-12-06,TURTLE HEAVEN,13.666666666666666,17.666666666666668,28.333333333333332,24.666666666666668,44.666666666666664,34855.47220265767,51328.05133407134
2018-02-27,TURTLE HEAVEN,13.0,35.0,11.0,53.0,18.0,2893.0563833719953,5412.0540319543215
2018-04-09,TURTLE HEAVEN,2.375,4.125,4.0,4.0,6.6875,21529.575020429405,27741.419387097605
2018-04-24,TURTLE HEAVEN,9.5,21.0,21.5,24.0,67.0,10562.754031021937,12520.805693732453
2018-06-13,TURTLE HEAVEN,14.0,39.0,45.0,45.0,108.0,16454.403024735828,19926.773308840733
2018-07-11,TURTLE HEAVEN,4.0,24.0,9.0,21.0,23.0,5437.584168241601,11888.992573468426
2018-07-17,TURTLE HEAVEN,5.75,10.0,9.25,12.0,58.0,20013.300193777228,27143.274478384432
2018-07-25,TURTLE HEAVEN,9.0,20.0,4.0,7.0,3.0,685.0440134134612,1293.5820293538302
2018-08-20,TURTLE HEAVEN,7.0,13.0,17.666666666666668,13.333333333333334,29.666666666666668,10132.770954529497,29791.861665598564
2018-08-31,TURTLE HEAVEN,9.5,18.5,26.5,32.5,33.0,29533.33587963348,44564.37968622417
2018-11-02,TURTLE HEAVEN,26.0,41.0,29.666666666666668,23.333333333333332,121.0,42458.41336028979,55402.805780217444
2018-11-27,TURTLE HEAVEN,13.333333333333334,47.666666666666664,24.333333333333332,13.666666666666666,125.33333333333333,47721.48828554033,66043.85846540362
2018-12-19,TURTLE HEAVEN,10.666666666666666,27.0,26.666666666666668,22.333333333333332,95.66666666666667,53761.36676550538,64042.97718923821
2019-01-07,TURTLE HEAVEN,6.0,13.0,21.666666666666668,16.666666666666668,114.66666666666667,26616.156526338527,41209.02079672168
