Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-10-14,UNITY POINT,14.666666666666666,31.0,33.333333333333336,10.0,31.333333333333332,9141.22404760546,30817.491063823687
2017-10-24,UNITY POINT,4.0,18.5,28.5,4.5,17.0,4964.713500564303,35370.873889522896
2017-10-26,UNITY POINT,5.0,10.5,12.5,4.0,3.5,1419.0322760244667,1595.2404116750376
2018-01-11,UNITY POINT,11.0,5.0,8.0,10.0,37.0,2624.109454791405,3322.618344876786
2018-01-12,UNITY POINT,6.0,8.0,11.0,10.0,27.0,346.90849772739386,7009.912790256017
2018-01-17,UNITY POINT,27.0,32.0,53.0,28.0,90.0,6511.245125633902,14386.288566339868
2018-01-22,UNITY POINT,8.666666666666666,19.666666666666668,20.333333333333332,27.666666666666668,10.333333333333334,4590.47779062847,6837.540965779591
2018-01-23,UNITY POINT,3.5,8.5,19.0,3.5,44.5,5561.8083545687205,6609.000741841938
2018-03-12,UNITY POINT,11.0,6.0,10.0,24.0,15.0,3228.8438960644175,4175.918467442047
2018-04-25,UNITY POINT,10.666666666666666,36.166666666666664,16.5,29.833333333333332,115.0,58186.667920954336,65681.1604191422
2018-04-28,UNITY POINT,5.0,13.0,2.0,4.0,11.0,485.47787672156625,616.895943175978
2018-05-16,UNITY POINT,8.0,38.0,18.5,11.5,290.0,41893.35889356406,46284.538218751215
2018-05-29,UNITY POINT,4.0,11.0,9.0,30.0,455.0,32730.74594139752,33083.208472829174
2018-06-15,UNITY POINT,17.5,25.25,26.25,100.75,71.75,42191.25313889625,59955.93568701926
2018-07-24,UNITY POINT,15.0,20.0,20.0,16.0,5.0,1752.3792999435066,2730.7719564585245
2018-08-21,UNITY POINT,5.2,15.2,19.8,13.6,20.0,11222.459810583412,23785.758034685405
2018-11-01,UNITY POINT,22.666666666666668,29.333333333333332,45.666666666666664,26.666666666666668,59.333333333333336,23452.506257608737,31011.959765329193
2018-11-09,UNITY POINT,23.333333333333332,32.666666666666664,50.666666666666664,23.333333333333332,26.0,16851.06827936833,28328.390623946267
2018-12-18,UNITY POINT,16.333333333333332,21.333333333333332,32.666666666666664,24.0,121.33333333333333,33265.66240164898,54465.79808481254
2019-01-15,UNITY POINT,21.0,14.0,31.0,9.0,6.0,916.8290662417379,4305.531348317525
2019-01-25,UNITY POINT,24.0,21.0,32.0,21.0,7.0,3171.068182814094,5345.009082074774
