Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-11-15,Antulang,48.333333333333336,26.666666666666668,24.666666666666668,34.666666666666664,97.33333333333333,73090.03074613548,89359.89645127211
2018-01-05,Antulang,38.0,27.5,19.0,12.0,22.5,2862.136713152076,6190.46439845462
2018-03-06,Antulang,29.333333333333332,17.666666666666668,9.666666666666666,6.666666666666667,46.333333333333336,30353.3159223619,38641.319543407415
2018-04-03,Antulang,43.0,22.5,20.0,27.5,105.5,10328.63129406439,15611.474171381113
2018-04-12,Antulang,27.0,14.0,12.5,15.5,50.0,6325.142704765675,8495.253096539745
2018-05-01,Antulang,30.0,41.0,8.0,12.0,260.0,15054.856752185315,18392.054468503586
2018-05-08,Antulang,21.5,42.5,13.0,24.5,58.5,8895.61209272107,14329.420558848447
2018-06-25,Antulang,58.5,33.0,40.0,86.5,94.0,22877.288110677444,28391.25559523854
2018-07-27,Antulang,28.0,12.0,20.0,15.0,53.0,1831.7039202569433,5792.791521816596
2018-08-27,Antulang,55.0,25.0,29.333333333333332,28.0,61.333333333333336,22842.968128054083,35384.703419544094
2018-11-22,Antulang,80.25,54.5,59.5,33.5,198.5,61626.40451189008,92184.14474736447
2019-01-22,Antulang,81.0,41.333333333333336,65.66666666666667,44.333333333333336,386.3333333333333,182366.76017422456,202950.6626037299
2019-05-03,Antulang,38.0,28.333333333333332,22.333333333333332,19.0,400.6666666666667,49657.07946206083,58105.184197692295
2019-05-10,Antulang,40.6,26.0,27.4,40.0,254.4,38132.02537371691,57571.644856533814
2019-06-21,Antulang,51.666666666666664,33.333333333333336,34.0,42.0,594.3333333333334,45095.63159860823,66092.9632394625
2019-07-19,Antulang,35.666666666666664,20.666666666666668,29.333333333333332,24.333333333333332,274.6666666666667,35169.79088698019,43501.67196742005
2019-08-22,Antulang,21.0,12.0,26.0,17.0,28.0,1722.5125832266788,3693.185111356474
2019-10-07,Antulang,17.0,30.333333333333332,8.0,11.666666666666666,56.333333333333336,5194.3808856129135,6670.33034557049
2019-10-19,Antulang,35.666666666666664,29.666666666666668,33.333333333333336,46.666666666666664,121.33333333333333,11120.499265733602,19726.49832890739
2019-11-15,Antulang,14.0,12.666666666666666,13.0,8.333333333333334,11.333333333333334,1272.7478480079387,2863.3716393225145
2020-01-14,Antulang,50.666666666666664,33.333333333333336,42.666666666666664,17.0,228.33333333333334,33344.58443830942,51245.54664284599
2020-01-16,Antulang,43.666666666666664,19.333333333333332,35.0,23.0,319.0,51194.458454548156,64877.6548837197
2022-08-30,Antulang,7.0,14.0,17.0,84.5,401.0,7591.419689937239,15906.235914341152
2022-08-31,Antulang,30.25,69.0,45.0,116.25,1342.5,94314.78492065184,132954.14779600102
2022-11-12,Antulang,12.0,12.0,9.0,53.0,663.0,10456.269381211543,19271.325716875064
2022-11-19,Antulang,32.5,32.75,42.75,111.75,1133.75,15823.664173393581,69982.300376096
2022-11-23,Antulang,17.5,26.5,44.5,78.0,792.5,9477.795914323853,26564.979331625327
2023-02-15,Antulang,11.0,18.0,27.0,29.5,775.0,33587.47479275729,55788.50339386178
2023-02-25,Antulang,10.25,7.125,13.75,24.0,463.0,51934.37555910951,107670.30098103647
2023-03-15,Antulang,4.5,2.5,14.0,19.5,434.5,6835.836138059736,24356.950391156344
2023-04-10,Antulang,12.75,5.75,10.0,17.75,371.0,17536.086757784415,40894.07995598644
2023-04-18,Antulang,12.75,9.5,13.0,24.5,622.25,5225.642455769671,36762.30841692433
2023-04-24,Antulang,10.5,19.75,11.75,17.0,351.5,6386.023023042114,24634.88875745878
2023-05-19,Antulang,11.0,11.0,18.0,19.75,631.25,11527.132536936051,35683.35881356176
2023-06-28,Antulang,9.5,10.166666666666666,14.666666666666666,45.0,582.6666666666666,43227.772872440306,76794.61030021499
2023-08-02,Antulang,13.25,17.0,22.75,120.0,802.0,29424.243253803572,72921.2366941585
2023-08-11,Antulang,7.0,4.5,10.5,34.0,581.0,8245.511281414121,21436.703891129015
2023-08-26,Antulang,14.5,19.5,16.25,37.5,531.75,5161.760145295731,34357.95813898163
2023-10-18,Antulang,8.0,31.0,33.0,80.0,814.0,2300.8651450152097,10483.199008871017
