Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2019-05-07,Dalakit MPA,66.0,66.0,63.0,80.0,193.0,24021.72534532632,44589.877228647856
2019-08-26,Dalakit MPA,52.0,75.0,52.0,62.0,198.0,54929.54772520369,117336.44299190918
2019-11-14,Dalakit MPA,15.333333333333334,54.333333333333336,9.333333333333334,11.333333333333334,128.0,8763.298564310959,23214.197463296397
2019-12-03,Dalakit MPA,36.0,62.0,28.0,23.0,146.0,4703.492518341771,8449.53975980732
2020-01-28,Dalakit MPA,30.0,23.0,17.0,18.0,81.0,8330.419733096076,17575.024447961
2022-05-19,Dalakit MPA,43.5,15.5,16.5,162.5,747.5,16874.327561244227,94627.9047980955
2022-06-10,Dalakit MPA,19.0,25.0,7.0,105.0,460.0,12154.043035129618,41644.50811513429
2022-11-21,Dalakit MPA,11.75,12.75,7.0,58.5,215.5,11654.223404257558,41571.098662221164
2023-01-17,Dalakit MPA,21.0,18.0,15.0,81.0,375.0,2240.6761110912107,11472.268060980516
2023-02-18,Dalakit MPA,17.0,19.0,9.0,54.0,274.0,2660.127341224073,12306.882732643635
2023-03-13,Dalakit MPA,40.0,25.0,22.0,106.0,544.0,10872.843454648637,36508.39080807866
2023-05-10,Dalakit MPA,57.0,50.0,26.0,132.0,589.0,28648.811225921916,48664.36753065976
2023-08-03,Dalakit MPA,6.0,7.0,4.666666666666667,55.666666666666664,154.66666666666666,6392.353167027454,20684.488518803715
2023-08-18,Dalakit MPA,12.333333333333334,26.333333333333332,7.0,49.0,221.66666666666666,61142.873879335886,92955.70056051106
2023-11-18,Dalakit MPA,26.0,69.0,14.0,255.0,532.0,47107.869469680525,56315.99861825234
2023-12-01,Dalakit MPA,11.0,63.0,7.0,186.0,418.0,4946.257239306753,10900.192549374198
2024-02-20,Dalakit MPA,10.0,10.0,9.0,59.0,331.0,6608.098269821186,10793.79303087154
2024-03-13,Dalakit MPA,16.0,25.0,6.0,55.0,329.5,19857.944523119775,29704.79253411236
2024-04-11,Dalakit MPA,20.0,18.0,10.0,55.0,164.0,10227.452255759381,12623.575310414082
2024-05-07,Dalakit MPA,9.0,24.0,16.0,364.0,284.0,13708.13708818016,24186.20873356778
2024-06-20,Dalakit MPA,11.0,13.5,4.5,82.0,151.0,3748.3588088707697,7298.273650545499
2024-11-30,Dalakit MPA,2.0,2.0,4.0,20.0,23.0,615.2405728680783,1240.4702790902743
2024-12-11,Dalakit MPA,1.0,28.0,5.0,85.0,419.0,4143.694355477299,7319.629780783762
2025-02-13,Dalakit MPA,8.0,9.0,12.0,68.0,232.0,19136.651568910813,26187.388003578933
2025-02-19,Dalakit MPA,5.5,20.0,5.5,96.5,345.5,20232.026448473807,39910.437679023154
2025-03-11,Dalakit MPA,8.0,15.0,8.5,70.0,204.5,11841.931379263156,22904.843189085695
2025-04-23,Dalakit MPA,12.0,22.0,10.0,64.0,195.0,16044.309892300025,20346.400790072646
