Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-09-01,Guinsuan MPA,33.0,83.0,37.0,39.0,24.0,6099.082808950476,13191.314347091087
2017-10-12,Guinsuan MPA,16.0,17.0,7.0,48.5,48.0,65807.33150355933,72252.17698082034
2017-10-25,Guinsuan MPA,41.0,17.0,24.0,30.0,19.0,5020.238484809146,8947.573506790535
2017-11-22,Guinsuan MPA,17.0,12.2,6.2,20.8,82.4,37773.29422298479,42780.14788846166
2018-01-19,Guinsuan MPA,15.0,5.0,2.0,10.0,112.0,859.0137508155245,1385.1872901456497
2018-01-26,Guinsuan MPA,18.5,16.0,10.5,10.5,10.5,3232.802340022161,10079.5820821128
2018-01-29,Guinsuan MPA,14.0,30.0,2.0,46.0,7.0,3808.189803191312,55319.15534323787
2018-04-17,Guinsuan MPA,34.5,41.5,10.0,32.5,21.0,6691.20031419366,14449.11686140011
2018-04-18,Guinsuan MPA,26.666666666666668,54.333333333333336,11.666666666666666,41.666666666666664,99.33333333333333,19688.388588763926,23653.65087611295
2018-04-23,Guinsuan MPA,5.5,24.5,8.5,23.5,94.0,12766.037447533905,15701.494993789524
2018-04-28,Guinsuan MPA,14.0,34.0,6.0,25.0,4.0,2267.5183697527013,2779.941060515787
2018-06-01,Guinsuan MPA,27.0,70.0,13.0,34.0,136.0,21483.998737429698,27983.9350291063
2018-06-06,Guinsuan MPA,5.5,27.5,3.5,14.5,37.0,5953.370192374158,12341.285963276894
2018-07-16,Guinsuan MPA,46.5,15.0,4.0,13.0,30.0,6698.63806094077,8640.9424675124
2018-07-23,Guinsuan MPA,16.5,15.5,14.0,23.0,68.0,13106.415237977748,16889.499559423144
2018-08-22,Guinsuan MPA,56.0,29.0,21.0,24.333333333333332,76.66666666666667,15211.478194981699,35968.64644346611
2018-11-12,Guinsuan MPA,32.666666666666664,32.333333333333336,13.333333333333334,63.666666666666664,35.333333333333336,9346.02704926464,13109.094968819587
2018-11-30,Guinsuan MPA,70.0,41.666666666666664,29.666666666666668,110.33333333333333,261.6666666666667,84297.32261134055,111448.52527516744
2018-12-20,Guinsuan MPA,42.0,26.333333333333332,19.0,26.0,262.3333333333333,39341.13082451399,66677.78946669778
2019-01-04,Guinsuan MPA,64.0,52.666666666666664,41.333333333333336,84.66666666666667,199.66666666666666,49288.0065038074,60203.77127668811
2019-03-12,Guinsuan MPA,50.5,24.0,30.0,61.5,121.0,20402.66013111579,27049.40748624593
2019-05-06,Guinsuan MPA,45.0,19.6,12.0,23.6,62.0,13246.35418208389,24002.329817983526
2019-05-07,Guinsuan MPA,71.0,75.0,84.0,87.0,1004.0,45425.37064466633,53678.6911692016
2019-07-23,Guinsuan MPA,36.0,28.0,31.0,48.0,73.5,29125.124259838445,40718.15989826321
2019-08-09,Guinsuan MPA,89.5,17.0,27.5,50.0,56.5,12299.215991800957,18387.91912382744
2019-08-13,Guinsuan MPA,19.0,16.0,5.0,33.0,34.5,8819.703969054459,10779.553271408595
2019-08-14,Guinsuan MPA,33.5,45.0,24.0,64.0,34.5,16260.759657748735,23096.98133679653
2019-10-15,Guinsuan MPA,14.0,27.5,5.5,6.5,3.0,1521.1501324710812,2026.4777211291978
2019-11-12,Guinsuan MPA,23.666666666666668,60.333333333333336,15.0,11.666666666666666,23.333333333333332,2081.1628000119945,7865.254312858543
2019-11-13,Guinsuan MPA,14.666666666666666,49.666666666666664,21.0,13.333333333333334,65.33333333333333,3307.8029359465713,9136.445062152352
2019-11-26,Guinsuan MPA,73.5,59.5,30.0,32.0,187.5,14516.470966630557,19389.523508147846
2019-12-18,Guinsuan MPA,20.0,31.333333333333332,19.0,22.666666666666668,60.333333333333336,4354.429110739724,11529.910330645169
2020-01-06,Guinsuan MPA,30.0,60.0,25.5,21.0,256.5,20194.638698391154,24230.591131994843
