Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2017-09-05,MASAPLOD NORTE MPA,38.0,138.0,108.0,113.0,721.0,286003.64704837115,364013.8434756537
2017-09-27,MASAPLOD NORTE MPA,10.5,16.0,9.5,80.5,92.0,103172.66479907645,160635.6546268582
2017-10-26,MASAPLOD NORTE MPA,22.0,35.5,14.0,61.5,185.0,64099.095352340635,139344.47766331368
2018-01-10,MASAPLOD NORTE MPA,4.5,7.0,7.0,15.0,57.5,17588.794020559722,22744.733993698235
2018-01-23,MASAPLOD NORTE MPA,37.0,72.0,26.0,64.0,220.0,34035.87985887273,45979.44758491226
2018-01-24,MASAPLOD NORTE MPA,7.8,17.6,12.0,69.2,283.0,300427.05838119047,411349.3930243372
2018-02-26,MASAPLOD NORTE MPA,10.666666666666666,13.0,6.666666666666667,21.333333333333332,60.0,15321.113940509435,45771.63843524288
2018-04-11,MASAPLOD NORTE MPA,16.333333333333332,34.333333333333336,13.666666666666666,53.666666666666664,173.33333333333334,56386.31940469299,150644.5827715818
2018-04-26,MASAPLOD NORTE MPA,17.0,25.0,2.5,41.5,114.0,26207.269179082843,53671.33630222044
2018-05-28,MASAPLOD NORTE MPA,7.0,21.5,12.0,21.0,127.5,34982.43975929847,174086.80053156835
2018-06-05,MASAPLOD NORTE MPA,7.0,12.25,7.5,14.25,111.25,37535.631446514955,50673.60305290177
2018-06-06,MASAPLOD NORTE MPA,14.5,34.0,12.0,38.0,134.0,99487.44943689865,170186.7062131226
2018-08-07,MASAPLOD NORTE MPA,11.0,11.333333333333334,14.666666666666666,13.666666666666666,116.0,40868.256473503585,78681.90698438996
2018-08-24,MASAPLOD NORTE MPA,7.0,11.5,18.0,18.0,38.0,15852.518908131015,45382.47656603455
2018-11-20,MASAPLOD NORTE MPA,21.666666666666668,43.666666666666664,27.0,122.33333333333333,636.3333333333334,202019.4494243105,306744.5788159071
2018-11-30,MASAPLOD NORTE MPA,15.666666666666666,21.0,16.0,48.0,159.0,57011.204212959135,239305.87286095592
2018-12-17,MASAPLOD NORTE MPA,14.25,19.0,21.0,47.5,393.0,104185.13877487277,185871.06213396238
2018-12-29,MASAPLOD NORTE MPA,21.666666666666668,28.0,23.666666666666668,64.0,351.6666666666667,63440.61346167946,151026.13498406386
2019-03-29,MASAPLOD NORTE MPA,15.333333333333334,10.666666666666666,15.0,46.0,131.66666666666666,43229.18001418843,64921.92882870111
2019-04-12,MASAPLOD NORTE MPA,17.666666666666668,32.666666666666664,11.0,56.333333333333336,621.0,89711.34702052629,121074.52647979197
2019-05-13,MASAPLOD NORTE MPA,12.666666666666666,25.333333333333332,8.0,52.0,183.66666666666666,51152.27104727231,79277.28202891143
2019-06-03,MASAPLOD NORTE MPA,38.0,18.5,21.0,359.0,499.5,103719.52003266785,114387.77886396163
2019-06-07,MASAPLOD NORTE MPA,33.5,81.5,23.5,108.5,327.0,58000.67482971723,93667.9835186961
2019-06-10,MASAPLOD NORTE MPA,26.0,40.5,13.5,45.5,76.5,20065.512315148942,53582.96997147331
2019-06-24,MASAPLOD NORTE MPA,20.333333333333332,28.666666666666668,14.333333333333334,52.0,184.33333333333334,41916.31112753888,98362.94437782369
2019-08-26,MASAPLOD NORTE MPA,8.0,18.0,16.0,30.0,174.0,28988.488849084253,116186.98736737295
2019-10-11,MASAPLOD NORTE MPA,5.0,6.0,7.0,10.0,105.0,5205.846739360087,17190.723347340027
2019-10-14,MASAPLOD NORTE MPA,16.5,27.0,11.0,22.0,188.5,8247.055972795668,15930.905944286906
2019-10-21,MASAPLOD NORTE MPA,24.666666666666668,25.666666666666668,13.0,18.0,123.33333333333333,24746.115532274252,59063.07338839628
2019-11-06,MASAPLOD NORTE MPA,13.5,17.0,5.5,24.0,99.0,30090.934551510163,58606.65047444444
2019-12-11,MASAPLOD NORTE MPA,15.5,15.0,12.0,11.0,211.0,5757.662062668584,16147.67761397643
2020-01-24,MASAPLOD NORTE MPA,24.0,29.5,22.0,24.0,480.5,64592.14069698076,99705.16404200562
2020-01-27,MASAPLOD NORTE MPA,29.0,36.0,8.0,23.0,90.5,33211.800605683886,73312.67712006363
2020-01-28,MASAPLOD NORTE MPA,21.0,27.5,12.0,59.5,289.5,48873.97597331307,54244.82644015669
2022-06-17,MASAPLOD NORTE MPA,9.6,14.6,13.2,60.6,712.4,71065.67636405746,136621.15175318907
2022-07-14,MASAPLOD NORTE MPA,6.0,6.0,5.0,32.0,426.0,60023.79436448329,157800.69581948282
2022-08-23,MASAPLOD NORTE MPA,12.0,20.0,12.2,48.2,742.0,43691.44096584293,142322.39988897723
2022-11-04,MASAPLOD NORTE MPA,7.0,9.0,15.0,25.0,584.0,3115.2042463580406,12665.232788686522
2022-11-15,MASAPLOD NORTE MPA,14.333333333333334,15.333333333333334,27.0,297.5,1218.1666666666667,166788.75887725316,416344.2669111291
2022-11-22,MASAPLOD NORTE MPA,15.75,17.25,13.25,116.0,777.25,30715.111903641755,75111.90118465008
2022-11-28,MASAPLOD NORTE MPA,7.0,17.0,18.0,106.0,474.0,6787.978947609635,24180.537055104192
2023-01-02,MASAPLOD NORTE MPA,6.5,8.5,6.5,11.0,253.5,3118.993052019119,11255.324987961865
2023-01-12,MASAPLOD NORTE MPA,8.0,7.0,6.0,34.0,552.0,6784.269903175817,32197.277887173135
2023-01-24,MASAPLOD NORTE MPA,11.0,8.333333333333334,10.0,25.0,359.6666666666667,10946.565495478584,41779.84876110652
