Date,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
2019-05-27,Salag MPA,34.166666666666664,37.333333333333336,9.0,28.166666666666668,169.83333333333334,39452.26614908139,67636.22407379693
2019-05-31,Salag MPA,17.5,19.5,10.0,16.5,104.0,30627.6744978145,84230.08436105307
2019-08-12,Salag MPA,64.5,36.0,17.5,41.0,385.0,29016.30309649842,65671.96837240389
2019-08-20,Salag MPA,28.75,22.75,10.0,19.5,144.25,38381.89609313907,57892.86471273287
2019-11-19,Salag MPA,8.2,22.2,3.2,7.4,37.6,20607.959195017767,34739.64334017538
2019-11-20,Salag MPA,7.5,24.5,6.0,10.0,65.0,9779.998961308822,16419.819735686728
2020-01-10,Salag MPA,16.0,31.333333333333332,8.666666666666666,10.333333333333334,88.66666666666667,21340.56107631039,32411.142300718788
2020-01-13,Salag MPA,28.666666666666668,30.0,21.0,14.0,105.0,24918.56821260968,43993.62541903453
2022-08-29,Salag MPA,14.4,19.8,4.2,68.0,1215.2,84506.61755064572,129321.08592425905
2022-08-31,Salag MPA,22.0,25.0,5.0,157.33333333333334,836.6666666666666,28202.718388169702,56930.16585537324
2022-11-08,Salag MPA,22.0,12.0,10.0,144.0,1018.6666666666666,15445.527269464203,55234.12336371333
2022-11-11,Salag MPA,7.833333333333333,7.333333333333333,2.5,33.166666666666664,308.5,46890.341975272066,73940.42470193545
2022-12-16,Salag MPA,28.0,26.333333333333332,11.666666666666666,97.33333333333333,1007.3333333333334,15339.639171769311,55633.00071547061
2023-02-28,Salag MPA,5.0,7.25,2.25,31.75,435.5,14962.976395757702,48191.777606413605
2023-03-07,Salag MPA,8.333333333333334,7.166666666666667,2.3333333333333335,16.166666666666668,310.8333333333333,11964.95533330768,44214.71884445476
2023-03-28,Salag MPA,15.0,18.0,3.5,42.5,832.5,13660.184556403156,39727.256787605525
2023-04-20,Salag MPA,13.0,10.5,3.0,23.0,389.75,25568.245438128888,51522.98601591926
2023-05-25,Salag MPA,10.25,8.5,2.5,72.5,386.75,24231.206472815426,48497.41342894659
2023-06-22,Salag MPA,24.0,18.0,5.0,82.0,1551.0,2417.114275397983,19927.600030925914
2023-07-21,Salag MPA,9.166666666666666,11.333333333333334,1.8333333333333333,50.333333333333336,310.0,12882.160133171594,33877.14343424183
2023-08-16,Salag MPA,7.833333333333333,11.833333333333334,1.6666666666666667,32.166666666666664,257.3333333333333,19776.050288967926,72917.36934588943
2023-08-25,Salag MPA,11.0,11.0,4.0,44.25,287.25,31284.92572544645,48478.7572012333
2023-09-13,Salag MPA,8.0,3.0,4.0,13.0,109.0,3321.7357354175747,5944.435654568664
