Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Andulay MPA,32.15,20,25.7,5.75,20.12,44.18,26.4,37.9,26.15,20,21.88,4.89,15.91,36.39,21.26,31.04,19.35,20,11.41,2.55,14.01,24.69,16.8,21.9,61.8,20,54.77,12.25,36.17,87.43,49.55,74.05,57.95,20,52.45,11.73,33.4,82.5,46.22,69.68,197.4,20,114.67,25.64,143.73,251.07,171.76,223.04,19.22,20,22.28,4.98,8.79,29.65,14.24,24.2,104.25,20,83.35,18.64,65.24,143.26,85.61,122.89,13.58,20,16.12,3.6,6.04,21.13,9.98,17.19,45,20,2.25,32.0,6.0,5.33,34.0,8.0,4.25,31.0,6.0,5.17
Autumn/Winter 17/18,Antulang,44.2,5,10.01,4.48,31.77,56.63,39.72,48.68,27.0,5,8.0,3.58,17.07,36.93,23.42,30.58,22.4,5,3.21,1.44,18.42,26.38,20.96,23.84,28.6,5,23.11,10.34,0.0,57.3,18.26,38.94,67.8,5,66.08,29.55,0.0,149.86,38.25,97.35,190.0,5,99.87,44.66,66.0,314.0,145.34,234.66,19.11,5,28.62,12.8,0.0,54.65,6.31,31.91,95.6,5,92.53,41.38,0.0,210.49,54.22,136.98,15.19,5,25.78,11.53,0.0,47.2,3.66,26.72,26,5,5.2,15.0,2.0,7.5,18.0,2.0,9.0,17.0,1.0,17.0
Autumn/Winter 17/18,Basak Can-Unsang MPA,30.57,7,20.7,7.82,11.43,49.71,22.75,38.39,23.43,7,7.89,2.98,16.13,30.73,20.45,26.41,12.43,7,7.46,2.82,5.53,19.33,9.61,15.25,60.71,7,47.46,17.94,16.82,104.61,42.77,78.65,123.57,7,79.05,29.88,50.47,196.68,93.69,153.45,250.71,7,133.59,50.49,127.16,374.27,200.22,301.21,36.58,7,29.16,11.02,9.6,63.55,25.55,47.6,173.57,7,91.4,34.55,89.04,258.1,139.03,208.12,25.75,7,17.22,6.51,9.82,41.68,19.24,32.26,37,7,5.29,24.0,2.0,12.0,28.0,3.0,9.33,28.0,2.0,14.0
Autumn/Winter 17/18,Guinsuan MPA,19.77,13,10.83,3.0,13.22,26.32,16.76,22.77,20.15,13,20.42,5.66,7.81,32.5,14.49,25.82,10.08,13,9.98,2.77,4.05,16.11,7.31,12.84,44.92,13,53.85,14.93,12.38,77.46,29.99,59.86,53.77,13,71.93,19.95,10.3,97.23,33.82,73.72,148.69,13,86.23,23.92,96.58,200.8,124.78,172.61,15.7,13,21.51,5.97,2.7,28.7,9.74,21.67,84.38,13,71.06,19.71,41.45,127.32,64.68,104.09,9.43,13,16.8,4.66,0.0,19.58,4.77,14.09,30,13,2.31,21.0,3.0,7.0,21.0,5.0,4.2,20.0,5.0,4.0
Autumn/Winter 17/18,Kookoos,19.5,10,15.1,4.78,8.7,30.3,14.72,24.28,14.1,10,8.25,2.61,8.2,20.0,11.49,16.71,20.7,10,16.11,5.09,9.17,32.23,15.61,25.79,29.8,10,30.16,9.54,8.23,51.37,20.26,39.34,80.8,10,53.64,16.96,42.43,119.17,63.84,97.76,164.9,10,98.14,31.03,94.7,235.1,133.87,195.93,15.75,10,17.96,5.68,2.9,28.6,10.07,21.43,100.8,10,69.44,21.96,51.13,150.47,78.84,122.76,11.86,10,15.84,5.01,0.53,23.18,6.85,16.86,31,10,3.1,22.0,4.0,5.5,22.0,3.0,7.33,24.0,3.0,8.0
Autumn/Winter 17/18,Lutoban North MPA,38.14,14,24.08,6.43,24.24,52.04,31.71,44.58,20.0,14,11.14,2.98,13.57,26.43,17.02,22.98,17.64,14,9.58,2.56,12.11,23.17,15.08,20.2,17.43,14,10.85,2.9,11.17,23.69,14.53,20.33,50.36,14,50.71,13.55,21.08,79.64,36.8,63.91,143.57,14,89.83,24.01,91.71,195.44,119.56,167.58,15.1,14,19.95,5.33,3.58,26.62,9.77,20.43,71.0,14,61.4,16.41,35.55,106.45,54.59,87.41,11.6,14,18.51,4.95,0.91,22.29,6.65,16.54,36,14,2.57,19.0,5.0,3.8,28.0,5.0,5.6,26.0,4.0,6.5
Autumn/Winter 17/18,Lutoban Pier,19.06,16,11.42,2.85,12.98,25.15,16.21,21.92,21.56,16,18.51,4.63,11.7,31.43,16.93,26.19,18.81,16,9.62,2.41,13.69,23.94,16.41,21.22,48.56,16,70.78,17.69,10.85,86.28,30.87,66.26,153.25,16,159.02,39.75,68.52,237.98,113.5,193.0,261.25,16,229.85,57.46,138.77,383.73,203.79,318.71,19.26,16,23.22,5.81,6.88,31.63,13.45,25.06,162.94,16,171.66,42.91,71.47,254.41,120.02,205.85,12.27,16,13.11,3.28,5.29,19.26,9.0,15.55,33,16,2.06,24.0,5.0,4.8,24.0,6.0,4.0,25.0,5.0,5.0
Autumn/Winter 17/18,Maluay Malatapay MPA,13.29,14,9.53,2.55,7.78,18.79,10.74,15.83,24.71,14,17.53,4.68,14.6,34.83,20.03,29.4,16.71,14,12.76,3.41,9.35,24.08,13.3,20.12,81.14,14,101.07,27.01,22.79,139.5,54.13,108.15,93.07,14,106.92,28.58,31.34,154.81,64.5,121.65,228.93,14,173.69,46.42,128.64,329.22,182.51,275.35,24.08,14,30.24,8.08,6.62,41.54,16.0,32.16,171.21,14,161.35,43.12,78.05,264.38,128.09,214.34,19.69,14,28.78,7.69,3.07,36.31,12.0,27.38,35,14,2.5,24.0,4.0,6.0,31.0,7.0,4.43,22.0,3.0,7.33
Spring/Summer 18,Maluay Malatapay MPA,19.06,16,15.77,3.94,10.66,27.46,15.12,23.0,22.12,16,13.87,3.47,14.74,29.51,18.66,25.59,15.81,16,13.21,3.3,8.77,22.85,12.51,19.11,49.94,16,42.35,10.59,27.37,72.51,39.35,60.53,121.94,16,116.96,29.24,59.62,184.26,92.7,151.18,228.88,16,175.35,43.84,135.44,322.31,185.04,272.71,12.56,16,10.95,2.74,6.73,18.39,9.82,15.29,161.62,16,143.5,35.88,85.16,238.09,125.75,197.5,9.54,16,9.62,2.41,4.41,14.67,7.13,11.95,40,16,2.5,28.0,5.0,5.6,26.0,3.0,8.67,28.0,8.0,3.5
Spring/Summer 18,Lutoban Pier,28.0,15,20.03,5.17,16.91,39.09,22.83,33.17,16.33,15,10.91,2.82,10.29,22.37,13.52,19.15,16.93,15,10.71,2.77,11.0,22.87,14.17,19.7,70.07,15,70.91,18.31,30.8,109.34,51.76,88.38,126.0,15,115.31,29.77,62.14,189.86,96.23,155.77,257.33,15,181.45,46.85,156.85,357.82,210.48,304.18,16.91,15,13.97,3.61,9.18,24.65,13.31,20.52,129.33,15,116.76,30.15,64.67,193.99,99.19,159.48,9.3,15,9.64,2.49,3.96,14.64,6.81,11.79,39,15,2.6,29.0,4.0,7.25,27.0,5.0,5.4,27.0,6.0,4.5
