Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Andulay MPA,32.15,20,25.7,5.75,20.12,44.18,26.4,37.9,26.15,20,21.88,4.89,15.91,36.39,21.26,31.04,19.35,20,11.41,2.55,14.01,24.69,16.8,21.9,61.8,20,54.77,12.25,36.17,87.43,49.55,74.05,57.95,20,52.45,11.73,33.4,82.5,46.22,69.68,197.4,20,114.67,25.64,143.73,251.07,171.76,223.04,19.22,20,22.28,4.98,8.79,29.65,14.24,24.2,104.25,20,83.35,18.64,65.24,143.26,85.61,122.89,13.58,20,16.12,3.6,6.04,21.13,9.98,17.19,45,20,2.25,32.0,6.0,5.33,34.0,8.0,4.25,31.0,6.0,5.17
Spring/Summer 18,Andulay MPA,17.08,26,22.95,4.5,7.81,26.35,12.58,21.58,12.12,26,16.24,3.19,5.56,18.68,8.93,15.3,9.38,26,10.92,2.14,4.97,13.79,7.24,11.53,47.73,26,78.3,15.36,16.1,79.36,32.37,63.09,51.92,26,71.48,14.02,23.05,80.79,37.9,65.94,138.23,26,184.7,36.22,63.63,212.83,102.01,174.45,15.23,26,33.61,6.59,1.65,28.8,8.63,21.82,78.62,26,106.91,20.97,35.43,121.8,57.65,99.58,11.13,26,31.64,6.2,0.0,23.9,4.92,17.33,39,26,1.5,28.0,2.0,14.0,29.0,16.0,1.81,29.0,8.0,3.62
Autumn/Winter 18/19,Andulay MPA,37.92,13,26.06,7.23,22.18,53.67,30.7,45.15,23.31,13,9.99,2.77,17.27,29.35,20.54,26.08,35.77,13,18.01,4.99,24.89,46.65,30.78,40.76,58.69,13,32.44,9.0,39.09,78.3,49.69,67.69,107.15,13,110.4,30.62,40.44,173.87,76.53,137.77,262.85,13,138.09,38.3,179.4,346.29,224.55,301.14,16.53,13,9.51,2.64,10.78,22.27,13.89,19.16,96.38,13,48.12,13.35,67.31,125.46,83.04,109.73,12.53,13,9.97,2.77,6.51,18.56,9.77,15.3,51,13,3.92,40.0,5.0,8.0,33.0,4.0,8.25,37.0,4.0,9.25
Spring/Summer 19,Andulay MPA,46.4,15,30.66,7.92,29.42,63.38,38.48,54.32,31.87,15,17.61,4.55,22.12,41.62,27.32,36.41,46.13,15,24.62,6.36,32.5,59.77,39.78,52.49,66.73,15,44.99,11.62,41.82,91.65,55.12,78.35,228.0,15,179.12,46.25,128.81,327.19,181.75,274.25,419.13,15,242.8,62.69,284.67,553.59,356.44,481.83,18.75,15,14.53,3.75,10.7,26.8,15.0,22.5,185.13,15,168.85,43.6,91.63,278.64,141.54,228.73,12.74,15,11.49,2.97,6.38,19.1,9.77,15.71,52,15,3.47,36.0,4.0,9.0,39.0,6.0,6.5,41.0,5.0,8.2
Autumn/Winter 19/20,Andulay MPA,31.82,17,26.21,6.36,18.35,45.3,25.47,38.18,21.0,17,11.41,2.77,15.13,26.87,18.23,23.77,27.59,17,17.11,4.15,18.79,36.39,23.44,31.74,54.53,17,34.38,8.34,36.85,72.21,46.19,62.87,142.24,17,161.89,39.26,59.0,225.47,102.97,181.5,277.18,17,196.5,47.66,176.15,378.21,229.52,324.83,9.86,17,8.76,2.12,5.35,14.36,7.73,11.98,113.59,17,147.53,35.78,37.74,189.44,77.81,149.37,5.73,17,5.75,1.39,2.78,8.69,4.34,7.13,53,17,3.12,34.0,5.0,6.8,42.0,7.0,6.0,38.0,5.0,7.6
Spring/Summer 22,Andulay MPA,16.62,21,7.78,1.7,13.08,20.16,14.92,18.32,11.29,21,7.96,1.74,7.66,14.91,9.55,13.02,18.62,21,9.66,2.11,14.22,23.02,16.51,20.73,111.48,21,126.7,27.65,53.8,169.15,83.83,139.12,878.57,21,381.66,83.29,704.84,1052.3,795.29,961.86,1036.57,21,401.35,87.58,853.88,1219.26,948.99,1124.15,14.58,21,8.92,1.95,10.52,18.65,12.64,16.53,164.86,21,146.54,31.98,98.15,231.56,132.88,196.84,7.11,21,8.34,1.82,3.32,10.9,5.29,8.93,61,21,2.9,42.0,7.0,6.0,48.0,7.0,6.86,49.0,7.0,7.0
Autumn/Winter 22/23,Andulay MPA,19.5,24,15.45,3.15,12.97,26.03,16.35,22.65,18.42,24,9.83,2.01,14.26,22.57,16.41,20.42,30.46,24,19.83,4.05,22.08,38.83,26.41,34.51,154.42,24,84.96,17.34,118.54,190.29,137.07,171.76,1127.12,24,619.03,126.36,865.73,1388.52,1000.77,1253.48,1349.92,24,704.29,143.76,1052.52,1647.31,1206.15,1493.68,27.84,24,28.34,5.79,15.87,39.81,22.06,33.63,146.83,24,179.93,36.73,70.86,222.81,110.11,183.56,12.52,24,18.93,3.86,4.52,20.51,8.65,16.38,76,24,3.17,54.0,10.0,5.4,56.0,7.0,8.0,50.0,7.0,7.14
Spring/Summer 23,Andulay MPA,16.26,27,8.3,1.6,12.98,19.54,14.66,17.86,15.41,27,8.95,1.72,11.87,18.95,13.68,17.13,19.11,27,12.48,2.4,14.17,24.05,16.71,21.51,90.19,27,68.37,13.16,63.14,117.23,77.03,103.34,659.78,27,376.7,72.5,510.76,808.8,587.28,732.27,800.74,27,407.87,78.49,639.39,962.09,722.25,879.24,16.76,27,14.23,2.74,11.13,22.38,14.02,19.49,63.74,27,49.92,9.61,43.99,83.49,54.13,73.35,6.96,27,13.49,2.6,1.62,12.29,4.36,9.55,66,27,2.44,44.0,8.0,5.5,54.0,8.0,6.75,49.0,11.0,4.45
Autumn/Winter 23/24,Andulay MPA,19.52,23,21.32,4.45,10.3,28.74,15.08,23.97,19.48,23,10.78,2.25,14.82,24.14,17.23,21.73,15.48,23,11.25,2.35,10.61,20.34,13.13,17.82,135.96,23,93.38,19.47,95.58,176.34,116.49,155.43,675.83,23,254.16,53.0,565.92,785.73,622.83,728.82,866.26,23,276.9,57.74,746.52,986.0,808.52,924.0,13.5,23,5.59,1.17,11.08,15.92,12.33,14.67,62.61,23,47.17,9.83,42.21,83.0,52.77,72.44,5.05,23,4.12,0.86,3.26,6.83,4.19,5.91,38,23,1.65,31.0,9.0,3.44,35.0,8.0,4.38,33.0,6.0,5.5
Spring/Summer 24,Andulay MPA,14.85,20,10.49,2.35,9.94,19.76,12.5,17.2,17.25,20,8.16,1.83,13.43,21.07,15.42,19.08,18.0,20,9.21,2.06,13.69,22.31,15.94,20.06,166.85,20,100.82,22.54,119.66,214.04,144.31,189.39,842.3,20,465.02,103.98,624.67,1059.93,738.32,946.28,1059.25,20,515.97,115.37,817.77,1300.73,943.88,1174.62,19.12,20,15.36,3.43,11.93,26.31,15.68,22.55,145.2,20,178.83,39.99,61.5,228.9,105.21,185.19,9.26,20,11.14,2.49,4.05,14.47,6.77,11.75,39,20,1.95,30.0,4.0,7.5,32.0,5.0,6.4,33.0,11.0,3.0
