Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Guinsuan MPA,19.77,13,10.83,3.0,13.22,26.32,16.76,22.77,20.15,13,20.42,5.66,7.81,32.5,14.49,25.82,10.08,13,9.98,2.77,4.05,16.11,7.31,12.84,44.92,13,53.85,14.93,12.38,77.46,29.99,59.86,53.77,13,71.93,19.95,10.3,97.23,33.82,73.72,148.69,13,86.23,23.92,96.58,200.8,124.78,172.61,15.7,13,21.51,5.97,2.7,28.7,9.74,21.67,84.38,13,71.06,19.71,41.45,127.32,64.68,104.09,9.43,13,16.8,4.66,0.0,19.58,4.77,14.09,30,13,2.31,21.0,3.0,7.0,21.0,5.0,4.2,20.0,5.0,4.0
Spring/Summer 18,Guinsuan MPA,28.05,19,25.01,5.74,16.0,40.11,22.31,33.79,35.37,19,22.89,5.25,24.34,46.4,30.12,40.62,11.05,19,7.39,1.7,7.49,14.61,9.36,12.75,35.74,19,22.94,5.26,24.68,46.8,30.47,41.0,68.63,19,57.95,13.29,40.7,96.56,55.34,81.93,178.84,19,88.36,20.27,136.25,221.43,158.57,199.11,8.34,19,4.43,1.02,6.2,10.47,7.32,9.35,114.95,19,76.75,17.61,77.96,151.94,97.34,132.55,5.47,19,3.44,0.79,3.81,7.13,4.68,6.26,30,19,1.58,24.0,5.0,4.8,27.0,7.0,3.86,20.0,7.0,2.86
Autumn/Winter 18/19,Guinsuan MPA,52.17,12,29.65,8.56,33.33,71.0,43.61,60.73,55.75,12,23.27,6.72,40.97,70.53,49.03,62.47,25.83,12,16.62,4.8,15.27,36.39,21.04,30.63,95.83,12,58.45,16.87,58.69,132.97,78.96,112.71,194.17,12,191.98,55.42,72.19,316.15,138.75,249.59,423.75,12,237.58,68.58,272.8,574.7,355.17,492.33,21.85,12,15.82,4.57,11.8,31.9,17.28,26.42,277.58,12,195.39,56.4,153.44,401.73,221.18,333.99,15.19,12,11.63,3.36,7.8,22.58,11.83,18.55,41,12,3.42,36.0,4.0,9.0,29.0,4.0,7.25,23.0,4.0,5.75
Spring/Summer 19,Guinsuan MPA,47.06,16,30.4,7.6,30.86,63.26,39.46,54.66,42.19,16,31.57,7.89,25.37,59.01,34.3,50.08,23.88,16,20.84,5.21,12.77,34.98,18.66,29.09,55.19,16,35.64,8.91,36.19,74.18,46.28,64.1,122.56,16,242.47,60.62,0.0,251.77,61.94,183.18,290.88,16,307.42,76.85,127.06,454.69,214.02,367.73,12.4,16,13.65,3.41,5.12,19.67,8.98,15.81,169.25,16,262.63,65.66,29.3,309.2,103.59,234.91,9.1,16,11.79,2.95,2.82,15.38,6.15,12.05,49,16,3.06,25.0,3.0,8.33,43.0,7.0,6.14,32.0,6.0,5.33
Autumn/Winter 19/20,Guinsuan MPA,26.65,17,25.98,6.3,13.29,40.01,20.35,32.95,58.24,17,44.34,10.75,35.44,81.03,47.48,68.99,17.88,17,14.53,3.52,10.41,25.36,14.36,21.41,41.88,17,61.04,14.8,10.5,73.27,27.08,56.69,94.41,17,110.97,26.91,37.36,151.47,67.5,121.33,239.06,17,192.26,46.63,140.21,337.91,192.43,285.69,5.62,17,5.44,1.32,2.83,8.42,4.3,6.94,122.71,17,119.71,29.03,61.16,184.26,93.67,151.74,3.45,17,4.76,1.16,1.0,5.89,2.29,4.6,44,17,2.59,35.0,4.0,8.75,34.0,6.0,5.67,36.0,7.0,5.14
Spring/Summer 22,Guinsuan MPA,15.15,13,10.55,2.93,8.78,21.53,12.23,18.08,35.69,13,31.86,8.84,16.44,54.94,26.86,44.53,17.31,13,12.6,3.49,9.69,24.92,13.81,20.8,112.92,13,132.14,36.65,33.07,192.78,76.27,149.57,808.08,13,422.39,117.15,552.83,1063.33,690.93,925.23,989.15,13,540.95,150.03,662.26,1316.05,839.12,1139.19,21.03,13,16.0,4.44,11.36,30.7,16.6,25.47,186.85,13,235.46,65.3,44.56,329.13,121.54,252.15,11.34,13,14.13,3.92,2.8,19.88,7.42,15.26,61,13,4.69,37.0,4.0,9.25,50.0,6.0,8.33,34.0,3.0,11.33
Autumn/Winter 22/23,Guinsuan MPA,18.61,18,12.07,2.85,12.61,24.62,15.77,21.46,21.72,18,20.3,4.78,11.63,31.82,16.94,26.51,14.39,18,12.62,2.97,8.11,20.67,11.41,17.36,82.11,18,81.98,19.32,41.34,122.88,62.79,101.43,591.78,18,367.48,86.62,409.03,774.52,505.16,678.39,728.61,18,463.36,109.22,498.19,959.03,619.4,837.83,18.41,18,13.6,3.2,11.65,25.17,15.21,21.62,90.39,18,104.77,24.69,38.29,142.49,65.69,115.08,3.46,18,4.94,1.16,1.01,5.92,2.3,4.63,55,18,3.06,44.0,5.0,8.8,37.0,6.0,6.17,37.0,7.0,5.29
Spring/Summer 23,Guinsuan MPA,17.07,30,14.95,2.73,11.48,22.65,14.34,19.8,25.87,30,25.16,4.59,16.47,35.26,21.27,30.46,12.5,30,11.05,2.02,8.37,16.63,10.48,14.52,71.83,30,65.25,11.91,47.47,96.2,59.92,83.75,654.7,30,447.59,81.72,487.57,821.83,572.98,736.42,781.97,30,529.07,96.59,584.41,979.52,685.37,878.56,14.65,30,9.84,1.8,10.98,18.33,12.85,16.45,123.77,30,134.52,24.56,73.54,174.0,99.21,148.33,6.28,30,7.59,1.39,3.44,9.11,4.89,7.66,62,30,2.07,45.0,8.0,5.62,49.0,11.0,4.45,42.0,11.0,3.82
Autumn/Winter 23/24,Guinsuan MPA,12.56,16,8.47,2.12,8.05,17.08,10.45,14.68,22.44,16,16.71,4.18,13.54,31.34,18.26,26.61,9.25,16,7.65,1.91,5.18,13.32,7.34,11.16,81.38,16,64.7,16.17,46.9,115.85,65.2,97.55,552.56,16,400.32,100.08,339.25,765.88,452.48,652.64,678.19,16,466.46,116.61,429.63,926.74,561.57,794.8,19.02,16,12.96,3.24,12.12,25.93,15.78,22.26,205.88,16,195.47,48.87,101.72,310.03,157.01,254.74,12.99,16,11.28,2.82,6.98,19.0,10.17,15.81,36,16,2.25,28.0,3.0,9.33,32.0,7.0,4.57,29.0,6.0,4.83
Spring/Summer 24,Guinsuan MPA,10.53,15,5.63,1.45,7.42,13.65,9.08,11.99,27.6,15,17.83,4.6,17.73,37.47,23.0,32.2,7.67,15,7.06,1.82,3.76,11.58,5.84,9.49,96.6,15,46.79,12.08,70.69,122.51,84.52,108.68,532.73,15,254.48,65.71,391.81,673.66,467.03,598.44,675.13,15,283.17,73.12,518.32,831.95,602.02,748.25,8.81,15,4.18,1.08,6.49,11.13,7.73,9.89,87.53,15,70.85,18.29,48.3,126.77,69.24,105.83,3.65,15,2.86,0.74,2.07,5.24,2.91,4.39,35,15,2.33,25.0,6.0,4.17,33.0,6.0,5.5,29.0,3.0,9.67
Autumn/Winter 24/25,Guinsuan MPA,8.76,25,5.23,1.05,6.6,10.92,7.71,9.81,13.84,25,8.08,1.62,10.51,17.17,12.22,15.46,9.16,25,6.71,1.34,6.39,11.93,7.82,10.5,58.52,25,54.66,10.93,35.96,81.08,47.59,69.45,385.6,25,300.8,60.16,261.43,509.77,325.44,445.76,475.88,25,341.09,68.22,335.08,616.68,407.66,544.1,14.64,25,20.32,4.06,6.25,23.03,10.58,18.7,54.84,25,52.17,10.43,33.3,76.38,44.41,65.27,7.47,25,16.66,3.33,0.6,14.35,4.14,10.81,38,25,1.52,24.0,8.0,3.0,31.0,9.0,3.44,31.0,8.0,3.88
Spring/Summer 25,Guinsuan MPA,9.58,26,7.41,1.45,6.58,12.57,8.12,11.03,24.0,26,11.15,2.19,19.5,28.5,21.81,26.19,9.31,26,9.19,1.8,5.6,13.02,7.51,11.11,90.31,26,56.82,11.14,67.36,113.26,79.16,101.45,922.08,26,623.8,122.34,670.12,1174.03,799.74,1044.41,1055.27,26,650.33,127.54,792.6,1317.94,927.73,1182.81,23.15,26,36.2,7.1,8.52,37.77,16.04,30.25,247.08,26,390.43,76.57,89.38,404.77,170.51,323.65,15.93,26,33.37,6.54,2.45,29.41,9.39,22.47,32,26,1.23,28.0,8.0,3.5,29.0,10.0,2.9,26.0,8.0,3.25
