Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Kookoos,19.5,10,15.1,4.78,8.7,30.3,14.72,24.28,14.1,10,8.25,2.61,8.2,20.0,11.49,16.71,20.7,10,16.11,5.09,9.17,32.23,15.61,25.79,29.8,10,30.16,9.54,8.23,51.37,20.26,39.34,80.8,10,53.64,16.96,42.43,119.17,63.84,97.76,164.9,10,98.14,31.03,94.7,235.1,133.87,195.93,15.75,10,17.96,5.68,2.9,28.6,10.07,21.43,100.8,10,69.44,21.96,51.13,150.47,78.84,122.76,11.86,10,15.84,5.01,0.53,23.18,6.85,16.86,31,10,3.1,22.0,4.0,5.5,22.0,3.0,7.33,24.0,3.0,8.0
Spring/Summer 18,Kookoos,14.75,20,11.24,2.51,9.49,20.01,12.24,17.26,16.55,20,9.73,2.18,12.0,21.1,14.37,18.73,12.95,20,9.68,2.16,8.42,17.48,10.79,15.11,27.95,20,25.18,5.63,16.16,39.74,22.32,33.58,76.0,20,88.43,19.77,34.62,117.38,56.23,95.77,148.2,20,107.41,24.02,97.93,198.47,124.18,172.22,9.56,20,8.51,1.9,5.58,13.54,7.66,11.46,94.95,20,93.65,20.94,51.12,138.78,74.01,115.89,6.99,20,7.07,1.58,3.68,10.3,5.41,8.57,39,20,1.95,26.0,8.0,3.25,32.0,6.0,5.33,24.0,6.0,4.0
Autumn/Winter 18/19,Kookoos,29.46,13,13.32,3.69,21.41,37.51,25.77,33.16,34.77,13,22.28,6.18,21.31,48.23,28.59,40.95,22.69,13,10.67,2.96,16.24,29.14,19.73,25.65,31.23,13,39.36,10.92,7.44,55.02,20.31,42.15,154.0,13,230.85,64.03,14.5,293.5,89.97,218.03,272.15,13,283.24,78.56,100.99,443.32,193.6,350.71,13.06,13,16.51,4.58,3.08,23.04,8.48,17.64,159.15,13,247.43,68.62,9.63,308.67,90.53,227.78,8.82,13,15.33,4.25,0.0,18.08,4.57,13.07,44,13,3.38,29.0,4.0,7.25,30.0,4.0,7.5,34.0,5.0,6.8
Spring/Summer 19,Kookoos,32.75,20,15.58,3.48,25.46,40.04,29.27,36.23,21.95,20,14.07,3.15,15.36,28.54,18.8,25.1,21.4,20,15.58,3.48,14.11,28.69,17.92,24.88,40.75,20,35.57,7.95,24.1,57.4,32.8,48.7,180.15,20,298.88,66.83,40.27,320.03,113.32,246.98,297.0,20,345.64,77.29,135.24,458.76,219.71,374.29,12.97,20,19.13,4.28,4.01,21.92,8.69,17.25,173.0,20,314.11,70.24,25.99,320.01,102.76,243.24,8.7,20,17.25,3.86,0.63,16.77,4.84,12.56,52,20,2.6,33.0,7.0,4.71,39.0,6.0,6.5,35.0,7.0,5.0
Autumn/Winter 19/20,Kookoos,14.74,34,13.51,2.32,10.02,19.45,12.42,17.05,12.62,34,11.8,2.02,8.5,16.74,10.59,14.64,9.94,34,9.48,1.63,6.63,13.25,8.32,11.57,18.53,34,31.23,5.36,7.63,29.43,13.17,23.89,57.79,34,72.52,12.44,32.49,83.1,45.36,70.23,113.62,34,108.93,18.68,75.61,151.63,94.94,132.3,3.09,34,3.43,0.59,1.89,4.28,2.5,3.68,41.82,34,53.06,9.1,23.31,60.34,32.72,50.92,1.6,34,2.59,0.44,0.7,2.51,1.16,2.05,41,34,1.21,26.0,19.0,1.37,35.0,8.0,4.38,32.0,7.0,4.57
Spring/Summer 22,Kookoos,15.62,13,6.98,1.94,11.4,19.83,13.68,17.55,11.23,13,7.65,2.12,6.61,15.85,9.11,13.35,9.85,13,5.32,1.48,6.63,13.06,8.37,11.32,111.31,13,106.45,29.52,46.98,175.63,81.78,140.83,538.08,13,375.71,104.2,311.04,765.12,433.87,642.28,686.08,13,406.25,112.67,440.58,931.57,573.4,798.75,16.38,13,19.08,5.29,4.85,27.91,11.09,21.67,141.08,13,246.94,68.49,0.0,290.3,72.59,209.57,8.07,13,15.41,4.27,0.0,17.38,3.79,12.34,58,13,4.46,35.0,4.0,8.75,40.0,5.0,8.0,38.0,4.0,9.5
Autumn/Winter 22/23,Kookoos,15.0,25,9.19,1.84,11.21,18.79,13.16,16.84,11.0,25,6.43,1.29,8.35,13.65,9.71,12.29,12.8,25,8.51,1.7,9.29,16.31,11.1,14.5,70.4,25,49.77,9.95,49.86,90.94,60.45,80.35,668.2,25,374.36,74.87,513.67,822.73,593.33,743.07,777.4,25,404.46,80.89,610.45,944.35,696.51,858.29,16.93,25,14.29,2.86,11.03,22.83,14.07,19.79,91.04,25,136.55,27.31,34.67,147.41,63.73,118.35,5.43,25,8.61,1.72,1.87,8.98,3.7,7.15,58,25,2.32,41.0,7.0,5.86,38.0,10.0,3.8,44.0,8.0,5.5
Spring/Summer 23,Kookoos,12.8,30,7.77,1.42,9.9,15.7,11.38,14.22,8.27,30,6.75,1.23,5.75,10.79,7.03,9.5,9.4,30,5.39,0.98,7.39,11.41,8.42,10.38,70.9,30,52.78,9.64,51.19,90.61,61.26,80.54,510.5,30,301.09,54.97,398.07,622.93,455.53,565.47,611.87,30,344.59,62.91,483.19,740.54,548.95,674.78,12.76,30,13.25,2.42,7.81,17.71,10.34,15.18,42.43,30,56.39,10.29,21.38,63.49,32.14,52.73,3.02,30,4.09,0.75,1.5,4.55,2.28,3.77,51,30,1.7,36.0,9.0,4.0,39.0,11.0,3.55,41.0,10.0,4.1
Autumn/Winter 23/24,Kookoos,10.1,31,4.51,0.81,8.44,11.75,9.29,10.91,12.23,31,6.23,1.12,9.94,14.51,11.11,13.35,8.16,31,5.18,0.93,6.26,10.06,7.23,9.09,54.35,31,45.98,8.26,37.49,71.22,46.1,62.61,477.1,31,222.04,39.88,395.65,558.54,437.22,516.98,561.94,31,218.81,39.3,481.68,642.19,522.64,601.23,11.19,31,20.05,3.6,3.83,18.54,7.59,14.79,62.87,31,75.77,13.61,35.08,90.66,49.26,76.48,6.84,31,20.14,3.62,0.0,14.23,3.23,10.46,37,31,1.19,24.0,10.0,2.4,28.0,11.0,2.55,31.0,10.0,3.1
Spring/Summer 24,Kookoos,11.78,27,5.9,1.14,9.44,14.11,10.64,12.91,10.89,27,5.91,1.14,8.55,13.23,9.75,12.03,6.7,27,3.34,0.64,5.38,8.02,6.06,7.35,120.89,27,89.24,17.17,85.59,156.19,103.72,138.06,525.3,27,370.8,71.36,378.61,671.98,453.94,596.66,675.56,27,388.51,74.77,521.87,829.24,600.79,750.32,14.23,27,15.68,3.02,8.03,20.43,11.21,17.24,82.37,27,105.69,20.34,40.56,124.18,62.03,102.71,6.64,27,10.6,2.04,2.45,10.83,4.6,8.68,40,27,1.48,23.0,8.0,2.88,33.0,9.0,3.67,31.0,10.0,3.1
