Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Lutoban North MPA,38.14,14,24.08,6.43,24.24,52.04,31.71,44.58,20.0,14,11.14,2.98,13.57,26.43,17.02,22.98,17.64,14,9.58,2.56,12.11,23.17,15.08,20.2,17.43,14,10.85,2.9,11.17,23.69,14.53,20.33,50.36,14,50.71,13.55,21.08,79.64,36.8,63.91,143.57,14,89.83,24.01,91.71,195.44,119.56,167.58,15.1,14,19.95,5.33,3.58,26.62,9.77,20.43,71.0,14,61.4,16.41,35.55,106.45,54.59,87.41,11.6,14,18.51,4.95,0.91,22.29,6.65,16.54,36,14,2.57,19.0,5.0,3.8,28.0,5.0,5.6,26.0,4.0,6.5
Spring/Summer 18,Lutoban North MPA,30.0,14,20.61,5.51,18.1,41.9,24.49,35.51,21.57,14,17.23,4.6,11.62,31.52,16.97,26.18,12.64,14,5.56,1.48,9.44,15.85,11.16,14.13,24.57,14,18.85,5.04,13.69,35.46,19.53,29.61,103.07,14,144.96,38.74,19.37,186.77,64.33,141.81,191.86,14,169.83,45.39,93.8,289.91,146.47,237.25,9.74,14,10.15,2.71,3.88,15.6,7.03,12.45,120.57,14,152.42,40.73,32.57,208.57,79.84,161.31,6.61,14,7.89,2.11,2.05,11.16,4.5,8.71,32,14,2.29,26.0,4.0,6.5,22.0,5.0,4.4,23.0,5.0,4.6
Autumn/Winter 18/19,Lutoban North MPA,28.27,15,21.89,5.65,16.14,40.39,22.61,33.92,19.93,15,14.09,3.64,12.13,27.74,16.3,23.57,20.87,15,14.54,3.75,12.82,28.92,17.11,24.62,35.27,15,53.04,13.69,5.9,64.64,21.57,48.96,62.73,15,62.04,16.02,28.38,97.09,46.71,78.75,167.07,15,101.78,26.28,110.7,223.43,140.79,193.35,11.12,15,9.3,2.4,5.97,16.27,8.72,13.52,85.2,15,80.0,20.65,40.9,129.5,64.55,105.85,7.64,15,8.86,2.29,2.74,12.55,5.36,9.93,43,15,2.87,29.0,4.0,7.25,33.0,4.0,8.25,28.0,7.0,4.0
Spring/Summer 19,Lutoban North MPA,32.28,18,16.02,3.78,24.31,40.24,28.5,36.05,30.22,18,17.75,4.18,21.4,39.05,26.04,34.41,13.72,18,6.67,1.57,10.41,17.04,12.15,15.29,31.72,18,15.85,3.74,23.84,39.61,27.99,35.46,106.78,18,122.01,28.76,46.1,167.45,78.02,135.54,214.72,18,136.33,32.13,146.93,282.52,182.59,246.85,8.31,18,7.48,1.76,4.59,12.03,6.55,10.08,114.44,18,124.02,29.23,52.77,176.12,85.21,143.68,5.52,18,5.89,1.39,2.59,8.45,4.13,6.91,47,18,2.61,34.0,7.0,4.86,35.0,6.0,5.83,28.0,5.0,5.6
Autumn/Winter 19/20,Lutoban North MPA,25.17,23,9.87,2.06,20.91,29.44,23.12,27.23,27.39,23,21.92,4.57,17.91,36.87,22.82,31.96,15.87,23,9.72,2.03,11.67,20.07,13.84,17.9,22.48,23,17.11,3.57,15.08,29.88,18.91,26.05,189.78,23,308.77,64.38,56.26,323.31,125.4,254.17,280.7,23,326.8,68.14,139.38,422.01,212.55,348.84,10.43,23,18.51,3.86,2.42,18.43,6.57,14.29,164.48,23,303.39,63.26,33.28,295.68,101.22,227.74,8.23,23,18.21,3.8,0.36,16.11,4.43,12.03,43,23,1.87,33.0,9.0,3.67,34.0,8.0,4.25,29.0,6.0,4.83
Spring/Summer 22,Lutoban North MPA,22.69,16,13.71,3.43,15.38,29.99,19.26,26.11,11.81,16,7.61,1.9,7.76,15.87,9.91,13.71,19.31,16,12.45,3.11,12.68,25.94,16.2,22.42,53.81,16,39.94,9.98,32.53,75.09,43.83,63.8,767.56,16,203.3,50.82,659.23,875.89,716.74,818.39,875.19,16,229.16,57.29,753.08,997.3,817.9,932.48,12.42,16,6.74,1.68,8.83,16.01,10.74,14.11,92.31,16,87.86,21.96,45.5,139.13,70.35,114.28,4.7,16,5.67,1.42,1.68,7.73,3.29,6.12,54,16,3.38,34.0,6.0,5.67,41.0,5.0,8.2,41.0,5.0,8.2
Autumn/Winter 22/23,Lutoban North MPA,24.11,18,12.13,2.86,18.08,30.14,21.25,26.97,19.06,18,13.02,3.07,12.58,25.53,15.99,22.12,30.0,18,18.18,4.28,20.96,39.04,25.72,34.28,139.67,18,103.8,24.47,88.05,191.29,115.2,164.13,1319.5,18,1018.13,239.97,813.2,1825.8,1079.53,1559.47,1532.33,18,1082.09,255.05,994.22,2070.44,1277.28,1787.38,51.39,18,48.51,11.43,27.27,75.52,39.96,62.83,487.22,18,490.16,115.53,243.47,730.97,371.69,602.75,33.51,18,44.91,10.59,11.18,55.85,22.93,44.1,59,18,3.28,43.0,5.0,8.6,42.0,4.0,10.5,43.0,9.0,4.78
Spring/Summer 23,Lutoban North MPA,15.36,28,9.21,1.74,11.79,18.93,13.62,17.1,12.96,28,8.54,1.61,9.65,16.28,11.35,14.58,15.93,28,9.9,1.87,12.09,19.77,14.06,17.8,55.89,28,37.34,7.06,41.41,70.37,48.84,62.95,570.71,28,283.61,53.6,460.74,680.69,517.12,624.31,670.86,28,315.33,59.59,548.58,793.13,611.26,730.45,10.87,28,6.45,1.22,8.37,13.37,9.65,12.09,72.75,28,132.93,25.12,21.21,124.29,47.63,97.87,3.1,28,5.26,0.99,1.06,5.14,2.11,4.09,62,28,2.21,39.0,9.0,4.33,46.0,10.0,4.6,47.0,9.0,5.22
Autumn/Winter 23/24,Lutoban North MPA,13.14,22,8.53,1.82,9.36,16.92,11.32,14.95,15.73,22,11.72,2.5,10.53,20.92,13.23,18.23,11.09,22,5.14,1.1,8.81,13.37,9.99,12.19,60.27,22,35.64,7.6,44.47,76.08,52.67,67.87,608.36,22,406.77,86.72,428.01,788.72,521.64,695.09,708.59,22,435.7,92.89,515.41,901.77,615.7,801.48,13.65,22,10.96,2.34,8.79,18.51,11.31,15.99,178.36,22,322.87,68.84,35.21,321.52,109.53,247.2,7.05,22,9.13,1.95,3.0,11.1,5.1,9.0,37,22,1.68,29.0,5.0,5.8,33.0,8.0,4.12,30.0,9.0,3.33
Spring/Summer 24,Lutoban North MPA,17.5,16,8.0,2.0,13.24,21.76,15.5,19.5,27.12,16,15.09,3.77,19.08,35.17,23.35,30.9,19.38,16,11.89,2.97,13.04,25.71,16.4,22.35,135.44,16,103.26,25.82,80.41,190.46,109.62,161.25,786.31,16,411.63,102.91,566.97,1005.65,683.41,889.22,985.75,16,486.91,121.73,726.3,1245.2,864.02,1107.48,12.57,16,8.32,2.08,8.13,17.0,10.49,14.65,94.81,16,102.74,25.68,40.07,149.56,69.13,120.5,4.67,16,4.69,1.17,2.18,7.17,3.5,5.84,37,16,2.31,34.0,5.0,6.8,31.0,6.0,5.17,27.0,5.0,5.4
