Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Lutoban Pier,19.06,16,11.42,2.85,12.98,25.15,16.21,21.92,21.56,16,18.51,4.63,11.7,31.43,16.93,26.19,18.81,16,9.62,2.41,13.69,23.94,16.41,21.22,48.56,16,70.78,17.69,10.85,86.28,30.87,66.26,153.25,16,159.02,39.75,68.52,237.98,113.5,193.0,261.25,16,229.85,57.46,138.77,383.73,203.79,318.71,19.26,16,23.22,5.81,6.88,31.63,13.45,25.06,162.94,16,171.66,42.91,71.47,254.41,120.02,205.85,12.27,16,13.11,3.28,5.29,19.26,9.0,15.55,33,16,2.06,24.0,5.0,4.8,24.0,6.0,4.0,25.0,5.0,5.0
Spring/Summer 18,Lutoban Pier,28.0,15,20.03,5.17,16.91,39.09,22.83,33.17,16.33,15,10.91,2.82,10.29,22.37,13.52,19.15,16.93,15,10.71,2.77,11.0,22.87,14.17,19.7,70.07,15,70.91,18.31,30.8,109.34,51.76,88.38,126.0,15,115.31,29.77,62.14,189.86,96.23,155.77,257.33,15,181.45,46.85,156.85,357.82,210.48,304.18,16.91,15,13.97,3.61,9.18,24.65,13.31,20.52,129.33,15,116.76,30.15,64.67,193.99,99.19,159.48,9.3,15,9.64,2.49,3.96,14.64,6.81,11.79,39,15,2.6,29.0,4.0,7.25,27.0,5.0,5.4,27.0,6.0,4.5
Autumn/Winter 18/19,Lutoban Pier,26.64,14,19.52,5.22,15.37,37.91,21.43,31.86,15.5,14,6.58,1.76,11.7,19.3,13.74,17.26,18.0,14,10.08,2.7,12.18,23.82,15.3,20.7,91.93,14,113.69,30.39,26.28,157.57,61.54,122.31,129.57,14,128.29,34.29,55.5,203.64,95.28,163.86,281.64,14,215.58,57.62,157.17,406.11,224.03,339.26,14.87,14,16.19,4.33,5.52,24.22,10.54,19.2,124.43,14,136.12,36.38,45.84,203.02,88.05,160.81,5.33,14,6.58,1.76,1.53,9.13,3.57,7.09,38,14,2.71,25.0,5.0,5.0,27.0,5.0,5.4,32.0,4.0,8.0
Spring/Summer 19,Lutoban Pier,20.42,19,16.53,3.79,12.46,28.39,16.63,24.21,13.11,19,17.06,3.91,4.88,21.33,9.19,17.02,15.37,19,12.92,2.96,9.14,21.59,12.41,18.33,71.21,19,65.99,15.14,39.4,103.02,56.07,86.35,202.0,19,309.31,70.96,52.92,351.08,131.04,272.96,322.11,19,346.86,79.57,154.93,489.29,242.53,401.68,15.06,19,13.78,3.16,8.42,21.71,11.9,18.23,217.0,19,309.89,71.09,67.64,366.36,145.91,288.09,10.27,19,12.2,2.8,4.39,16.15,7.47,13.07,43,19,2.26,29.0,6.0,4.83,34.0,8.0,4.25,32.0,5.0,6.4
Autumn/Winter 19/20,Lutoban Pier,28.94,16,15.48,3.87,20.69,37.19,25.07,32.81,25.44,16,10.69,2.67,19.74,31.13,22.77,28.11,20.75,16,11.04,2.76,14.87,26.63,17.99,23.51,63.56,16,65.2,16.3,28.82,98.31,47.26,79.86,146.81,16,168.94,42.24,56.79,236.83,104.58,189.05,285.5,16,176.54,44.14,191.43,379.57,241.36,329.64,11.97,16,14.7,3.67,4.14,19.8,8.29,15.64,143.12,16,175.98,44.0,49.35,236.9,99.13,187.12,6.13,16,9.65,2.41,0.99,11.28,3.72,8.55,45,16,2.81,31.0,5.0,6.2,35.0,6.0,5.83,30.0,5.0,6.0
Spring/Summer 22,Lutoban Pier,17.19,16,8.36,2.09,12.73,21.64,15.1,19.28,7.88,16,5.38,1.34,5.01,10.74,6.53,9.22,12.38,16,9.32,2.33,7.41,17.34,10.04,14.71,132.88,16,157.65,39.41,48.87,216.88,93.46,172.29,801.94,16,597.9,149.48,483.34,1120.54,652.46,951.41,972.25,16,697.73,174.43,600.45,1344.05,797.82,1146.68,28.89,16,43.87,10.97,5.51,52.27,17.92,39.86,186.88,16,331.8,82.95,10.07,363.68,103.93,269.82,12.25,16,37.59,9.4,0.0,32.28,2.85,21.65,51,16,3.19,32.0,7.0,4.57,37.0,5.0,7.4,38.0,4.0,9.5
Autumn/Winter 22/23,Lutoban Pier,20.33,18,16.27,3.84,12.24,28.43,16.5,24.17,10.22,18,7.8,1.84,6.35,14.1,8.38,12.06,16.06,18,9.97,2.35,11.1,21.01,13.71,18.4,113.72,18,83.82,19.76,72.04,155.41,93.97,133.48,1005.11,18,913.77,215.38,550.71,1459.52,789.73,1220.49,1165.44,18,986.81,232.59,674.71,1656.18,932.85,1398.04,19.48,18,20.94,4.94,9.06,29.89,14.54,24.41,160.11,18,267.33,63.01,27.17,293.05,97.1,223.12,9.23,18,18.53,4.37,0.01,18.44,4.86,13.59,53,18,2.94,41.0,6.0,6.83,42.0,6.0,7.0,39.0,6.0,6.5
Spring/Summer 23,Lutoban Pier,16.18,28,11.46,2.17,11.74,20.62,14.01,18.34,7.46,28,6.68,1.26,4.87,10.05,6.2,8.73,10.75,28,6.15,1.16,8.37,13.13,9.59,11.91,85.54,28,59.99,11.34,62.27,108.8,74.2,96.87,639.71,28,359.02,67.85,500.5,778.93,571.87,707.56,759.64,28,401.48,75.87,603.97,915.32,683.77,835.51,14.97,28,13.07,2.47,9.9,20.04,12.5,17.44,78.43,28,154.28,29.16,18.6,138.25,49.27,107.59,4.31,28,9.08,1.72,0.79,7.83,2.6,6.03,54,28,1.93,42.0,10.0,4.2,40.0,9.0,4.44,41.0,9.0,4.56
Autumn/Winter 23/24,Lutoban Pier,15.0,18,9.76,2.3,10.15,19.85,12.7,17.3,15.11,18,8.35,1.97,10.96,19.26,13.14,17.08,13.44,18,10.38,2.45,8.28,18.6,11.0,15.89,129.67,18,101.48,23.92,79.2,180.13,105.75,153.58,836.56,18,601.66,141.81,537.35,1135.76,694.74,978.37,1009.78,18,663.52,156.39,679.82,1339.74,853.39,1166.17,31.18,18,26.77,6.31,17.87,44.49,24.87,37.49,295.11,18,365.25,86.09,113.48,476.75,209.02,381.2,20.64,18,22.61,5.33,9.39,31.88,15.31,25.96,38,18,2.11,32.0,4.0,8.0,32.0,6.0,5.33,30.0,8.0,3.75
Spring/Summer 24,Lutoban Pier,14.75,20,6.81,1.52,11.56,17.94,13.23,16.27,12.7,20,10.61,2.37,7.73,17.67,10.33,15.07,10.05,20,6.57,1.47,6.97,13.13,8.58,11.52,155.6,20,141.73,31.69,89.27,221.93,123.91,187.29,645.1,20,345.75,77.31,483.28,806.92,567.79,722.41,838.2,20,424.16,94.84,639.69,1036.71,743.36,933.04,20.75,20,23.06,5.16,9.96,31.54,15.59,25.91,165.4,20,190.96,42.7,76.03,254.77,122.7,208.1,10.36,20,13.28,2.97,4.14,16.57,7.39,13.33,35,20,1.75,28.0,9.0,3.11,28.0,6.0,4.67,31.0,5.0,6.2
