Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Maluay Malatapay MPA,13.29,14,9.53,2.55,7.78,18.79,10.74,15.83,24.71,14,17.53,4.68,14.6,34.83,20.03,29.4,16.71,14,12.76,3.41,9.35,24.08,13.3,20.12,81.14,14,101.07,27.01,22.79,139.5,54.13,108.15,93.07,14,106.92,28.58,31.34,154.81,64.5,121.65,228.93,14,173.69,46.42,128.64,329.22,182.51,275.35,24.08,14,30.24,8.08,6.62,41.54,16.0,32.16,171.21,14,161.35,43.12,78.05,264.38,128.09,214.34,19.69,14,28.78,7.69,3.07,36.31,12.0,27.38,35,14,2.5,24.0,4.0,6.0,31.0,7.0,4.43,22.0,3.0,7.33
Spring/Summer 18,Maluay Malatapay MPA,19.06,16,15.77,3.94,10.66,27.46,15.12,23.0,22.12,16,13.87,3.47,14.74,29.51,18.66,25.59,15.81,16,13.21,3.3,8.77,22.85,12.51,19.11,49.94,16,42.35,10.59,27.37,72.51,39.35,60.53,121.94,16,116.96,29.24,59.62,184.26,92.7,151.18,228.88,16,175.35,43.84,135.44,322.31,185.04,272.71,12.56,16,10.95,2.74,6.73,18.39,9.82,15.29,161.62,16,143.5,35.88,85.16,238.09,125.75,197.5,9.54,16,9.62,2.41,4.41,14.67,7.13,11.95,40,16,2.5,28.0,5.0,5.6,26.0,3.0,8.67,28.0,8.0,3.5
Autumn/Winter 18/19,Maluay Malatapay MPA,32.73,11,13.98,4.21,23.34,42.12,28.51,36.94,38.18,11,14.8,4.46,28.24,48.13,33.72,42.65,28.73,11,25.57,7.71,11.55,45.9,21.02,36.44,217.91,11,434.19,130.91,0.0,509.6,87.0,348.82,240.45,11,311.0,93.77,31.52,449.39,146.68,334.23,558.0,11,770.01,232.17,40.7,1075.3,325.83,790.17,36.15,11,44.02,13.27,6.57,65.72,22.87,49.42,429.82,11,649.68,195.89,0.0,866.28,233.93,625.7,31.41,11,38.66,11.66,5.44,57.38,19.75,43.06,49,11,4.45,36.0,4.0,9.0,36.0,3.0,12.0,34.0,4.0,8.5
Spring/Summer 19,Maluay Malatapay MPA,20.47,17,15.68,3.8,12.41,28.53,16.67,24.27,24.53,17,16.9,4.1,15.84,33.22,20.43,28.63,25.29,17,17.25,4.18,16.43,34.16,21.11,29.48,88.24,17,180.58,43.8,0.0,181.08,44.44,132.03,314.06,17,345.36,83.76,136.49,491.63,230.3,397.82,472.59,17,473.68,114.89,229.04,716.13,357.7,587.47,13.88,17,15.9,3.86,5.71,22.05,10.02,17.73,367.71,17,487.01,118.12,117.31,618.1,249.59,485.82,11.67,17,16.01,3.88,3.44,19.9,7.79,15.55,57,17,3.35,37.0,6.0,6.17,43.0,6.0,7.17,36.0,5.0,7.2
Autumn/Winter 19/20,Maluay Malatapay MPA,13.34,32,14.31,2.53,8.19,18.5,10.81,15.87,29.41,32,26.36,4.66,19.9,38.91,24.75,34.07,15.78,32,13.7,2.42,10.84,20.72,13.36,18.2,42.25,32,106.61,18.85,3.81,80.69,23.4,61.1,176.91,32,252.42,44.62,85.9,267.91,132.28,221.53,277.69,32,302.82,53.53,168.51,386.87,224.16,331.22,8.54,32,12.16,2.15,4.16,12.92,6.39,10.69,184.5,32,223.78,39.56,103.82,265.18,144.94,224.06,7.08,32,11.81,2.09,2.82,11.34,4.99,9.17,51,32,1.59,43.0,9.0,4.78,38.0,10.0,3.8,30.0,13.0,2.31
Spring/Summer 22,Maluay Malatapay MPA,10.64,25,11.28,2.26,5.98,15.3,8.38,12.9,11.84,25,7.24,1.45,8.85,14.83,10.39,13.29,20.72,25,13.54,2.71,15.13,26.31,18.01,23.43,89.2,25,113.06,22.61,42.53,135.87,66.59,111.81,431.12,25,281.1,56.22,315.09,547.15,374.9,487.34,563.52,25,294.4,58.88,442.0,685.04,504.64,622.4,11.48,25,9.64,1.93,7.5,15.46,9.55,13.41,110.56,25,140.47,28.09,52.58,168.54,82.47,138.65,6.12,25,7.88,1.58,2.86,9.37,4.54,7.69,69,25,2.76,53.0,9.0,5.89,49.0,8.0,6.12,49.0,8.0,6.12
Autumn/Winter 22/23,Maluay Malatapay MPA,8.69,29,6.53,1.21,6.21,11.17,7.48,9.9,15.41,29,12.0,2.23,10.85,19.98,13.19,17.64,21.83,29,15.92,2.96,15.77,27.88,18.87,24.78,114.41,29,102.97,19.12,75.24,153.58,95.29,133.54,452.76,29,291.02,54.04,342.06,563.46,398.72,506.8,613.1,29,359.71,66.8,476.28,749.93,546.31,679.9,10.58,29,11.21,2.08,6.32,14.85,8.5,12.67,102.24,29,174.82,32.46,35.74,168.74,69.78,134.7,5.22,29,10.39,1.93,1.26,9.17,3.29,7.15,68,29,2.34,49.0,10.0,4.9,51.0,10.0,5.1,53.0,9.0,5.89
Spring/Summer 23,Maluay Malatapay MPA,9.35,34,8.01,1.37,6.56,12.15,7.98,10.73,11.53,34,5.8,0.99,9.51,13.55,10.54,12.52,14.41,34,7.25,1.24,11.88,16.94,13.17,15.66,49.44,34,30.93,5.3,38.65,60.23,44.14,54.75,392.68,34,246.24,42.23,306.76,478.6,350.45,434.91,477.41,34,266.94,45.78,384.27,570.55,431.63,523.19,9.09,34,5.83,1.0,7.06,11.12,8.09,10.09,63.38,34,83.32,14.29,34.31,92.46,49.09,77.67,3.2,34,3.83,0.66,1.86,4.54,2.54,3.86,67,34,1.97,51.0,13.0,3.92,48.0,10.0,4.8,43.0,11.0,3.91
Autumn/Winter 23/24,Maluay Malatapay MPA,11.04,27,10.26,1.98,6.98,15.1,9.06,13.01,19.81,27,11.74,2.26,15.17,24.46,17.56,22.07,15.26,27,12.84,2.47,10.18,20.34,12.79,17.73,134.63,27,133.24,25.64,81.92,187.34,108.99,160.27,353.48,27,234.8,45.19,260.6,446.36,308.29,398.67,534.22,27,283.61,54.58,422.03,646.42,479.64,588.8,10.35,27,8.49,1.63,6.99,13.71,8.71,11.98,75.22,27,56.75,10.92,52.77,97.67,64.3,86.14,5.65,27,6.61,1.27,3.03,8.26,4.37,6.92,38,27,1.41,27.0,7.0,3.86,34.0,11.0,3.09,29.0,9.0,3.22
Spring/Summer 24,Maluay Malatapay MPA,10.05,20,7.61,1.7,6.49,13.61,8.35,11.75,14.65,20,7.1,1.59,11.33,17.97,13.06,16.24,14.35,20,7.04,1.57,11.05,17.65,12.78,15.92,107.8,20,107.4,24.02,57.54,158.06,83.78,131.82,403.35,20,292.16,65.33,266.61,540.09,338.02,468.68,550.2,20,336.51,75.25,392.71,707.69,474.95,625.45,13.79,20,14.62,3.27,6.95,20.64,10.52,17.06,94.45,20,157.4,35.2,20.78,168.12,59.25,129.65,6.68,20,13.61,3.04,0.3,13.05,3.63,9.72,39,20,1.95,29.0,4.0,7.25,32.0,9.0,3.56,30.0,7.0,4.29
