Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn 2017,Andulay MPA,34.4,15,29.04,7.5,18.32,50.48,26.9,41.9,29.4,15,24.01,6.2,16.1,42.7,23.2,35.6,17.27,15,10.4,2.68,11.51,23.02,14.58,19.95,62.33,15,61.85,15.97,28.08,96.59,46.36,78.3,59.07,15,57.79,14.92,27.06,91.07,44.15,73.99,202.47,15,131.33,33.91,129.74,275.19,168.56,236.37,22.76,15,24.76,6.39,9.04,36.47,16.36,29.15,101.67,15,92.52,23.89,50.43,152.9,77.78,125.56,15.87,15,18.0,4.65,5.9,25.84,11.22,20.52,40,15,2.67,27.0,4.0,6.75,30.0,6.0,5.0,30.0,5.0,6.0
Autumn 2017,Antulang,48.33,3,8.5,4.91,27.21,69.46,43.42,53.24,26.67,3,4.16,2.4,16.32,37.01,24.26,29.07,24.67,3,0.58,0.33,23.23,26.1,24.33,25.0,38.33,3,26.63,15.38,0.0,104.49,22.96,53.71,98.0,3,72.69,41.97,0.0,278.57,56.03,139.97,236.0,3,109.53,63.24,0.0,508.09,172.76,299.24,29.79,3,34.8,20.09,0.0,116.23,9.7,49.88,129.33,3,113.17,65.34,0.0,410.45,64.0,194.67,24.36,3,31.84,18.38,0.0,103.47,5.98,42.75,23,3,7.67,14.0,1.0,14.0,16.0,1.0,16.0,17.0,1.0,17.0
Autumn 2017,Basak Can-Unsang MPA,33.67,6,20.82,8.5,11.82,55.52,25.17,42.17,26.17,6,3.43,1.4,22.57,29.77,24.77,27.57,12.67,6,8.14,3.32,4.12,21.21,9.34,15.99,63.67,6,51.29,20.94,9.85,117.49,42.73,84.6,133.17,6,82.0,33.48,47.11,219.22,99.69,166.64,269.33,6,136.03,55.53,126.58,412.09,213.8,324.87,40.72,6,29.61,12.09,9.65,71.79,28.63,52.81,185.33,6,94.14,38.43,86.54,284.13,146.9,223.77,28.63,6,16.92,6.91,10.88,46.39,21.73,35.54,36,6,6.0,24.0,2.0,12.0,26.0,2.0,13.0,28.0,2.0,14.0
Autumn 2017,Guinsuan MPA,21.22,9,12.87,4.29,11.33,31.12,16.93,25.51,21.67,9,23.79,7.93,3.38,39.95,13.74,29.6,11.78,9,11.39,3.8,3.02,20.53,7.98,15.57,31.56,9,19.4,6.47,16.65,46.47,25.09,38.02,61.78,9,80.96,26.99,0.0,124.01,34.79,88.77,148.0,9,90.98,30.33,78.06,217.94,117.67,178.33,15.25,9,21.02,7.01,0.0,31.4,8.24,22.25,95.33,9,81.92,27.31,32.36,158.3,68.03,122.64,12.74,9,19.56,6.52,0.0,27.78,6.22,19.26,25,9,2.78,12.0,1.0,12.0,19.0,4.0,4.75,19.0,4.0,4.75
Autumn 2017,Kookoos,39.33,3,10.07,5.81,14.33,64.34,33.52,45.15,20.33,3,12.86,7.42,0.0,52.27,12.91,27.76,40.0,3,16.52,9.54,0.0,81.04,30.46,49.54,56.33,3,46.69,26.96,0.0,172.33,29.37,83.29,104.33,3,16.26,9.39,63.95,144.72,94.95,113.72,260.33,3,89.78,51.83,37.31,483.36,208.5,312.17,22.35,3,13.29,7.67,0.0,55.38,14.68,30.03,134.67,3,51.33,29.63,7.17,262.17,105.03,164.3,12.4,3,5.31,3.07,0.0,25.6,9.34,15.47,26,3,8.67,18.0,1.0,18.0,17.0,1.0,17.0,20.0,1.0,20.0
Autumn 2017,Lutoban North MPA,38.83,12,26.09,7.53,22.26,55.41,31.3,46.36,21.08,12,11.74,3.39,13.63,28.54,17.7,24.47,17.17,12,10.33,2.98,10.6,23.73,14.18,20.15,18.67,12,11.28,3.26,11.5,25.83,15.41,21.92,54.17,12,54.02,15.59,19.84,88.49,38.57,69.76,149.92,12,96.03,27.72,88.91,210.93,122.2,177.64,17.12,12,20.95,6.05,3.81,30.44,11.07,23.17,76.0,12,65.3,18.85,34.51,117.49,57.15,94.85,13.23,12,19.61,5.66,0.77,25.69,7.57,18.89,35,12,2.92,18.0,4.0,4.5,28.0,4.0,7.0,26.0,4.0,6.5
Autumn 2017,Lutoban Pier,19.42,12,12.2,3.52,11.67,27.17,15.9,22.94,19.5,12,15.89,4.59,9.4,29.6,14.91,24.09,18.33,12,10.53,3.04,11.65,25.02,15.29,21.37,54.75,12,80.34,23.19,3.7,105.8,31.56,77.94,164.42,12,176.26,50.88,52.43,276.41,113.54,215.3,276.42,12,255.99,73.9,113.77,439.07,202.52,350.31,23.61,12,25.38,7.33,7.48,39.73,16.28,30.93,175.5,12,191.36,55.24,53.91,297.09,120.26,230.74,14.92,12,14.08,4.06,5.97,23.86,10.85,18.98,30,12,2.5,21.0,4.0,5.25,24.0,4.0,6.0,23.0,4.0,5.75
Autumn 2017,Maluay Malatapay MPA,13.58,12,9.95,2.87,7.26,19.9,10.71,16.46,26.08,12,18.13,5.23,14.57,37.6,20.85,31.32,16.75,12,13.86,4.0,7.95,25.55,12.75,20.75,78.42,12,103.96,30.01,12.36,144.47,48.41,108.43,94.42,12,115.95,33.47,20.74,168.09,60.94,127.89,229.25,12,185.71,53.61,111.25,347.25,175.64,282.86,26.09,12,32.32,9.33,5.55,46.62,16.76,35.42,169.0,12,170.4,49.19,60.73,277.27,119.81,218.19,21.26,12,30.87,8.91,1.65,40.87,12.35,30.17,34,12,2.83,24.0,4.0,6.0,29.0,5.0,5.8,22.0,3.0,7.33
Winter 17/18,Antulang,38.0,2,11.31,8.0,0.0,139.65,30.0,46.0,27.5,2,14.85,10.5,0.0,160.92,17.0,38.0,19.0,2,1.41,1.0,6.29,31.71,18.0,20.0,14.0,2,2.83,2.0,0.0,39.41,12.0,16.0,22.5,2,7.78,5.5,0.0,92.38,17.0,28.0,121.0,2,5.66,4.0,70.18,171.82,117.0,125.0,3.1,2,0.57,0.4,0.0,8.17,2.7,3.49,45.0,2,9.9,7.0,0.0,133.94,38.0,52.0,1.43,2,0.07,0.05,0.82,2.04,1.38,1.48,16,2,8.0,12.0,1.0,12.0,13.0,1.0,13.0,,,
Winter 17/18,Basak Can-Unsang MPA,12.0,1,,,,,,,7.0,1,,,,,,,11.0,1,,,,,,,43.0,1,,,,,,,66.0,1,,,,,,,139.0,1,,,,,,,11.73,1,,,,,,,103.0,1,,,,,,,8.46,1,,,,,,,19,1,19.0,,,,19.0,1.0,19.0,,,
