Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn 2017,Andulay MPA,34.4,15,29.04,7.5,18.32,50.48,26.9,41.9,29.4,15,24.01,6.2,16.1,42.7,23.2,35.6,17.27,15,10.4,2.68,11.51,23.02,14.58,19.95,62.33,15,61.85,15.97,28.08,96.59,46.36,78.3,59.07,15,57.79,14.92,27.06,91.07,44.15,73.99,202.47,15,131.33,33.91,129.74,275.19,168.56,236.37,22.76,15,24.76,6.39,9.04,36.47,16.36,29.15,101.67,15,92.52,23.89,50.43,152.9,77.78,125.56,15.87,15,18.0,4.65,5.9,25.84,11.22,20.52,40,15,2.67,27.0,4.0,6.75,30.0,6.0,5.0,30.0,5.0,6.0
Winter 17/18,Andulay MPA,25.4,5,10.45,4.68,12.42,38.38,20.72,30.08,16.4,5,9.91,4.43,4.09,28.71,11.97,20.83,25.6,5,13.22,5.91,9.18,42.02,19.69,31.51,60.2,5,29.22,13.07,23.92,96.48,47.13,73.27,54.6,5,36.9,16.5,8.78,100.42,38.1,71.1,182.2,5,41.36,18.5,130.84,233.56,163.7,200.7,8.61,5,4.96,2.22,2.44,14.77,6.39,10.83,112.0,5,54.18,24.23,44.72,179.28,87.77,136.23,6.72,5,4.6,2.06,1.02,12.43,4.67,8.78,33,5,6.6,22.0,2.0,11.0,24.0,2.0,12.0,19.0,1.0,19.0
Spring 2018,Andulay MPA,32.88,8,28.89,10.21,8.73,57.02,22.66,43.09,24.25,8,22.51,7.96,5.43,43.07,16.29,32.21,19.12,8,12.97,4.58,8.28,29.97,14.54,23.71,92.5,8,94.1,33.27,13.83,171.17,59.23,125.77,94.12,8,88.9,31.43,19.8,168.45,62.69,125.56,262.88,8,221.85,78.43,77.41,448.34,184.44,341.31,17.17,8,14.6,5.16,4.97,29.37,12.01,22.33,140.88,8,119.92,42.4,40.62,241.13,98.48,183.27,11.08,8,10.49,3.71,2.31,19.85,7.37,14.79,32,8,4.0,24.0,1.0,24.0,26.0,3.0,8.67,25.0,4.0,6.25
Summer 2018,Andulay MPA,10.06,18,16.16,3.81,2.02,18.09,6.25,13.87,6.72,18,8.9,2.1,2.29,11.15,4.62,8.82,5.06,18,6.45,1.52,1.85,8.26,3.54,6.58,27.83,18,63.3,14.92,0.0,59.31,12.91,42.75,33.17,18,55.21,13.01,5.71,60.62,20.15,46.18,82.83,18,139.07,32.78,13.67,151.99,50.05,115.61,14.36,18,39.64,9.34,0.0,34.08,5.02,23.71,50.94,18,90.83,21.41,5.77,96.12,29.53,72.35,11.14,18,37.77,8.9,0.0,29.93,2.24,20.05,31,18,1.72,22.0,1.0,22.0,21.0,13.0,1.62,22.0,4.0,5.5
Autumn 2018,Andulay MPA,35.43,7,19.7,7.44,17.21,53.64,27.98,42.87,25.43,7,10.16,3.84,16.03,34.83,21.59,29.27,36.0,7,19.04,7.19,18.4,53.6,28.81,43.19,56.57,7,27.65,10.45,31.0,82.14,46.12,67.02,83.86,7,78.48,29.66,11.28,156.44,54.19,113.52,237.29,7,86.85,32.83,156.96,317.61,204.46,270.11,13.07,7,6.75,2.55,6.82,19.31,10.52,15.62,75.71,7,34.88,13.18,43.46,107.97,62.53,88.9,8.89,7,7.77,2.94,1.71,16.07,5.96,11.83,45,7,6.43,32.0,3.0,10.67,31.0,2.0,15.5,28.0,2.0,14.0
Winter 18/19,Andulay MPA,40.83,6,33.84,13.81,5.32,76.34,27.02,54.65,20.83,6,10.11,4.13,10.23,31.44,16.71,24.96,35.5,6,18.52,7.56,16.06,54.94,27.94,43.06,61.17,6,39.94,16.3,19.26,103.08,44.86,77.47,134.33,6,142.19,58.05,0.0,283.55,76.29,192.38,292.67,6,186.36,76.08,97.1,488.24,216.59,368.75,20.56,6,11.23,4.58,8.78,32.34,15.98,25.14,120.5,6,52.93,21.61,64.96,176.04,98.89,142.11,16.79,6,11.23,4.58,5.0,28.57,12.2,21.37,44,6,7.33,29.0,2.0,14.5,26.0,2.0,13.0,31.0,2.0,15.5
Spring 2019,Andulay MPA,55.67,6,25.22,10.29,29.2,82.13,45.37,65.96,36.33,6,13.94,5.69,21.71,50.96,30.64,42.02,47.5,6,14.02,5.73,32.78,62.22,41.77,53.23,76.33,6,19.52,7.97,55.85,96.82,68.36,84.3,292.67,6,212.14,86.6,70.04,515.29,206.06,379.27,508.5,6,244.38,99.77,252.04,764.96,408.73,608.27,25.38,6,15.91,6.49,8.69,42.07,18.89,31.87,245.33,6,186.85,76.28,49.25,441.42,169.05,321.61,18.11,6,11.91,4.86,5.61,30.61,13.25,22.97,41,6,6.83,27.0,2.0,13.5,29.0,2.0,14.5,32.0,2.0,16.0
Summer 2019,Andulay MPA,40.22,9,33.77,11.26,14.26,66.18,28.96,51.48,28.89,9,19.9,6.63,13.59,44.19,22.25,35.52,45.22,9,30.58,10.19,21.72,68.73,35.03,55.42,60.33,9,56.47,18.82,16.92,103.74,41.51,79.16,184.89,9,150.97,50.32,68.84,300.94,134.57,235.21,359.56,9,236.35,78.78,177.88,541.23,280.77,438.34,14.33,9,12.51,4.17,4.72,23.94,10.16,18.5,145.0,9,153.43,51.14,27.06,262.94,93.86,196.14,9.16,9,10.3,3.43,1.24,17.08,5.73,12.59,48,9,5.33,34.0,2.0,17.0,35.0,4.0,8.75,31.0,3.0,10.33
Autumn 2019,Andulay MPA,23.7,10,20.09,6.35,9.33,38.07,17.35,30.05,19.7,10,13.7,4.33,9.9,29.5,15.37,24.03,17.0,10,9.9,3.13,9.92,24.08,13.87,20.13,39.8,10,34.55,10.93,15.08,64.52,28.87,50.73,85.6,10,154.71,48.92,0.0,196.27,36.68,134.52,185.8,10,173.34,54.82,61.8,309.8,130.98,240.62,3.59,10,1.71,0.54,2.36,4.81,3.05,4.13,82.8,10,155.8,49.27,0.0,194.25,33.53,132.07,1.95,10,1.34,0.42,0.99,2.9,1.52,2.37,36,10,3.6,26.0,3.0,8.67,24.0,4.0,6.0,27.0,3.0,9.0
Winter 19/20,Andulay MPA,43.43,7,30.97,11.71,14.78,72.07,31.72,55.14,22.86,7,7.67,2.9,15.76,29.95,19.96,25.76,42.71,7,13.43,5.07,30.3,55.13,37.64,47.79,75.57,7,21.99,8.31,55.23,95.91,67.26,83.88,223.14,7,144.93,54.78,89.11,357.18,168.37,277.92,407.71,7,155.22,58.67,264.16,551.27,349.05,466.38,18.81,7,6.41,2.42,12.88,24.74,16.39,21.23,157.57,7,133.38,50.41,34.21,280.93,107.16,207.99,11.14,7,5.23,1.98,6.3,15.98,9.17,13.12,52,7,7.43,33.0,2.0,16.5,42.0,3.0,14.0,35.0,2.0,17.5
