Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn 2017,Basak Can-Unsang MPA,33.67,6,20.82,8.5,11.82,55.52,25.17,42.17,26.17,6,3.43,1.4,22.57,29.77,24.77,27.57,12.67,6,8.14,3.32,4.12,21.21,9.34,15.99,63.67,6,51.29,20.94,9.85,117.49,42.73,84.6,133.17,6,82.0,33.48,47.11,219.22,99.69,166.64,269.33,6,136.03,55.53,126.58,412.09,213.8,324.87,40.72,6,29.61,12.09,9.65,71.79,28.63,52.81,185.33,6,94.14,38.43,86.54,284.13,146.9,223.77,28.63,6,16.92,6.91,10.88,46.39,21.73,35.54,36,6,6.0,24.0,2.0,12.0,26.0,2.0,13.0,28.0,2.0,14.0
Winter 17/18,Basak Can-Unsang MPA,12.0,1,,,,,,,7.0,1,,,,,,,11.0,1,,,,,,,43.0,1,,,,,,,66.0,1,,,,,,,139.0,1,,,,,,,11.73,1,,,,,,,103.0,1,,,,,,,8.46,1,,,,,,,19,1,19.0,,,,19.0,1.0,19.0,,,
Spring 2018,Basak Can-Unsang MPA,18.4,10,17.87,5.65,5.62,31.18,12.75,24.05,27.8,10,21.43,6.78,12.47,43.13,21.02,34.58,7.9,10,8.14,2.58,2.07,13.73,5.32,10.48,116.3,10,121.34,38.37,29.5,203.1,77.93,154.67,170.3,10,183.09,57.9,39.33,301.27,112.4,228.2,340.7,10,313.52,99.14,116.42,564.98,241.56,439.84,29.19,10,28.43,8.99,8.86,49.53,20.21,38.18,275.8,10,254.78,80.57,93.54,458.06,195.23,356.37,23.94,10,21.63,6.84,8.47,39.41,17.1,30.78,41,10,4.1,22.0,4.0,5.5,33.0,3.0,11.0,29.0,3.0,9.67
Summer 2018,Basak Can-Unsang MPA,25.0,8,16.25,5.74,11.42,38.58,19.26,30.74,29.38,8,22.35,7.9,10.69,48.06,21.47,37.28,10.0,8,6.02,2.13,4.96,15.04,7.87,12.13,41.75,8,32.83,11.61,14.31,69.19,30.14,53.36,65.62,8,70.36,24.88,6.8,124.45,40.75,90.5,171.75,8,135.59,47.94,58.4,285.1,123.81,219.69,16.65,8,10.18,3.6,8.13,25.16,13.05,20.25,108.12,8,99.89,35.32,24.61,191.64,72.81,143.44,13.51,8,9.71,3.43,5.39,21.63,10.08,16.94,36,8,4.5,26.0,3.0,8.67,19.0,1.0,19.0,31.0,4.0,7.75
Autumn 2018,Basak Can-Unsang MPA,37.43,7,15.88,6.0,22.74,52.12,31.43,43.43,57.29,7,21.75,8.22,37.17,77.4,49.06,65.51,13.71,7,7.06,2.67,7.18,20.25,11.04,16.38,225.86,7,245.65,92.85,0.0,453.05,133.01,318.71,454.14,7,482.82,182.49,7.61,900.67,271.65,636.63,788.43,7,722.83,273.21,119.92,1456.94,515.22,1061.63,111.12,7,171.39,64.78,0.0,269.63,46.33,175.9,617.0,7,662.25,250.31,4.52,1229.48,366.69,867.31,58.65,7,77.47,29.28,0.0,130.3,29.37,87.93,51,7,7.29,29.0,3.0,9.67,40.0,2.0,20.0,35.0,2.0,17.5
Winter 18/19,Basak Can-Unsang MPA,42.67,6,19.22,7.85,22.49,62.84,34.82,50.51,33.17,6,13.61,5.56,18.88,47.45,27.61,38.72,14.5,6,5.75,2.35,8.46,20.54,12.15,16.85,201.0,6,150.05,61.26,43.53,358.47,139.74,262.26,486.5,6,347.34,141.8,121.99,851.01,344.7,628.3,777.83,6,481.14,196.43,272.9,1282.76,581.41,974.26,83.34,6,85.68,34.98,0.0,173.25,48.36,118.32,651.5,6,442.37,180.59,187.27,1115.73,470.91,832.09,45.44,6,30.79,12.57,13.13,77.75,32.87,58.01,46,6,7.67,28.0,2.0,14.0,37.0,2.0,18.5,32.0,2.0,16.0
Spring 2019,Basak Can-Unsang MPA,25.6,10,12.55,3.97,16.63,34.57,21.63,29.57,35.6,10,36.91,11.67,9.19,62.01,23.93,47.27,11.7,10,10.53,3.33,4.17,19.23,8.37,15.03,81.9,10,42.49,13.44,51.51,112.29,68.46,95.34,231.8,10,336.77,106.49,0.0,472.71,125.31,338.29,386.6,10,337.97,106.88,144.83,628.37,279.72,493.48,24.89,10,18.8,5.95,11.44,38.34,18.95,30.84,303.4,10,349.29,110.45,53.54,553.26,192.95,413.85,18.05,10,20.15,6.37,3.63,32.46,11.67,24.42,51,10,5.1,34.0,3.0,11.33,35.0,3.0,11.67,30.0,4.0,7.5
Summer 2019,Basak Can-Unsang MPA,49.67,6,19.16,7.82,29.56,69.77,41.85,57.49,56.67,6,35.86,14.64,19.03,94.3,42.03,71.31,24.0,6,18.29,7.47,4.81,43.19,16.53,31.47,324.33,6,237.84,97.1,74.73,573.93,227.23,421.43,879.33,6,563.19,229.92,288.3,1470.36,649.41,1109.25,1334.0,6,796.06,324.99,498.58,2169.42,1009.01,1658.99,130.4,6,94.89,38.74,30.81,229.99,91.66,169.14,978.0,6,751.27,306.7,189.59,1766.41,671.3,1284.7,71.99,6,53.19,21.71,16.18,127.81,50.28,93.71,54,6,9.0,31.0,2.0,15.5,45.0,2.0,22.5,36.0,2.0,18.0
Autumn 2019,Basak Can-Unsang MPA,26.33,9,24.78,8.26,7.29,45.38,18.07,34.59,38.78,9,32.01,10.67,14.17,63.38,28.11,49.45,11.0,9,8.87,2.96,4.18,17.82,8.04,13.96,48.44,9,58.91,19.64,3.16,93.73,28.81,68.08,45.11,9,52.48,17.49,4.77,85.45,27.62,62.61,169.67,9,155.71,51.9,49.98,289.36,117.76,221.57,9.89,9,15.37,5.12,0.0,21.71,4.77,15.02,87.0,9,79.06,26.35,26.23,147.77,60.65,113.35,3.86,9,4.05,1.35,0.74,6.98,2.51,5.21,44,9,4.89,28.0,3.0,9.33,30.0,3.0,10.0,37.0,3.0,12.33
Winter 19/20,Basak Can-Unsang MPA,29.88,8,15.02,5.31,17.32,42.43,24.57,35.18,42.12,8,19.35,6.84,25.95,58.3,35.28,48.97,6.25,8,4.23,1.5,2.71,9.79,4.75,7.75,70.0,8,34.71,12.27,40.98,99.02,57.73,82.27,231.88,8,173.44,61.32,86.87,376.88,170.55,293.2,380.12,8,160.83,56.86,245.67,514.58,323.26,436.99,32.21,8,24.16,8.54,12.01,52.41,23.67,40.75,285.25,8,171.04,60.47,142.26,428.24,224.78,345.72,18.57,8,13.56,4.79,7.23,29.91,13.77,23.36,46,8,5.75,36.0,2.0,18.0,35.0,3.0,11.67,22.0,3.0,7.33
