Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2019,Dalakit MPA,66.0,1,,,,,,,94.0,1,,,,,,,63.0,1,,,,,,,175.0,1,,,,,,,205.0,1,,,,,,,603.0,1,,,,,,,44.59,1,,,,,,,199.0,1,,,,,,,24.02,1,,,,,,,33,1,33.0,33.0,1.0,33.0,,,,,,
Summer 2019,Dalakit MPA,52.0,2,0.0,0.0,52.0,52.0,52.0,52.0,83.0,2,0.0,0.0,83.0,83.0,83.0,83.0,52.0,2,0.0,0.0,52.0,52.0,52.0,52.0,225.0,2,0.0,0.0,225.0,225.0,225.0,225.0,205.0,2,0.0,0.0,205.0,205.0,205.0,205.0,617.0,2,0.0,0.0,617.0,617.0,617.0,617.0,58.93,2,0.0,0.0,58.93,58.93,58.93,58.93,147.0,2,0.0,0.0,147.0,147.0,147.0,147.0,27.46,2,0.0,0.0,27.46,27.46,27.46,27.46,29,2,14.5,29.0,2.0,14.5,,,,,,
Autumn 2019,Dalakit MPA,15.33,3,13.87,8.01,0.0,49.78,7.33,23.34,54.67,3,27.02,15.6,0.0,121.8,39.06,70.27,9.33,3,8.33,4.81,0.0,30.02,4.53,14.14,30.33,3,6.11,3.53,15.16,45.51,26.81,33.86,130.33,3,114.86,66.31,0.0,415.66,64.02,196.65,240.0,3,129.94,75.02,0.0,562.78,164.98,315.02,7.74,3,1.35,0.78,4.4,11.08,6.96,8.51,146.33,3,80.53,46.49,0.0,346.37,99.84,192.82,2.92,3,0.05,0.03,2.8,3.04,2.89,2.95,27,3,9.0,27.0,3.0,9.0,,,,,,
Winter 19/20,Dalakit MPA,33.0,2,4.24,3.0,0.0,71.12,30.0,36.0,79.0,2,18.38,13.0,0.0,244.18,66.0,92.0,23.0,2,7.07,5.0,0.0,86.53,18.0,28.0,45.5,2,2.12,1.5,26.44,64.56,44.0,47.0,118.5,2,40.31,28.5,0.0,480.63,90.0,147.0,299.0,2,35.36,25.0,0.0,616.66,274.0,324.0,13.25,2,6.79,4.8,0.0,74.23,8.45,18.05,103.5,2,58.69,41.5,0.0,630.81,62.0,145.0,6.52,2,2.56,1.81,0.0,29.56,4.7,8.33,34,2,17.0,34.0,2.0,17.0,,,,,,
Spring 2022,Dalakit MPA,43.5,2,20.51,14.5,0.0,227.74,29.0,58.0,20.5,2,0.71,0.5,14.15,26.85,20.0,21.0,16.5,2,6.36,4.5,0.0,73.68,12.0,21.0,225.5,2,154.86,109.5,0.0,1616.83,116.0,335.0,751.5,2,279.31,197.5,0.0,3260.98,554.0,949.0,1057.5,2,460.33,325.5,0.0,5193.37,732.0,1383.0,47.83,2,29.69,20.99,0.0,314.59,26.83,68.82,61.5,2,17.68,12.5,0.0,220.33,49.0,74.0,8.44,2,3.88,2.74,0.0,43.29,5.69,11.18,39,2,19.5,39.0,2.0,19.5,,,,,,
Summer 2022,Dalakit MPA,19.0,2,4.24,3.0,0.0,57.12,16.0,22.0,27.0,2,4.24,3.0,0.0,65.12,24.0,30.0,7.0,2,0.0,0.0,7.0,7.0,7.0,7.0,134.0,2,4.24,3.0,95.88,172.12,131.0,137.0,461.5,2,150.61,106.5,0.0,1814.71,355.0,568.0,648.5,2,154.86,109.5,0.0,2039.83,539.0,758.0,20.95,2,0.76,0.54,14.15,27.76,20.42,21.49,49.0,2,1.41,1.0,36.29,61.71,48.0,50.0,6.08,2,1.11,0.79,0.0,16.09,5.29,6.86,37,2,18.5,37.0,2.0,18.5,,,,,,
Autumn 2022,Dalakit MPA,11.75,4,2.06,1.03,8.47,15.03,10.72,12.78,13.5,4,2.08,1.04,10.19,16.81,12.46,14.54,9.0,4,8.12,4.06,0.0,21.93,4.94,13.06,78.5,4,16.22,8.11,52.69,104.31,70.39,86.61,216.5,4,69.65,34.83,105.67,327.33,181.67,251.33,329.25,4,83.42,41.71,196.51,461.99,287.54,370.96,10.41,4,4.4,2.2,3.41,17.41,8.21,12.61,35.0,4,19.88,9.94,3.36,66.64,25.06,44.94,2.91,4,1.86,0.93,0.0,5.87,1.98,3.84,41,4,10.25,41.0,4.0,10.25,,,,,,
Winter 22/23,Dalakit MPA,19.0,2,2.83,2.0,0.0,44.41,17.0,21.0,18.5,2,0.71,0.5,12.15,24.85,18.0,19.0,12.0,2,4.24,3.0,0.0,50.12,9.0,15.0,84.0,2,25.46,18.0,0.0,312.71,66.0,102.0,324.5,2,71.42,50.5,0.0,966.16,274.0,375.0,458.0,2,103.24,73.0,0.0,1385.55,385.0,531.0,11.89,2,0.59,0.42,6.59,17.19,11.47,12.31,28.0,2,2.83,2.0,2.59,53.41,26.0,30.0,2.45,2,0.3,0.21,0.0,5.12,2.24,2.66,26,2,13.0,26.0,2.0,13.0,,,,,,
Spring 2023,Dalakit MPA,48.5,2,12.02,8.5,0.0,156.5,40.0,57.0,42.5,2,20.51,14.5,0.0,226.74,28.0,57.0,26.5,2,4.95,3.5,0.0,70.97,23.0,30.0,238.0,2,132.94,94.0,0.0,1432.38,144.0,332.0,571.0,2,32.53,23.0,278.76,863.24,548.0,594.0,926.5,2,202.94,143.5,0.0,2749.84,783.0,1070.0,42.59,2,8.6,6.08,0.0,119.81,36.51,48.66,124.5,2,75.66,53.5,0.0,804.28,71.0,178.0,19.76,2,12.57,8.89,0.0,132.69,10.87,28.65,48,2,24.0,48.0,2.0,24.0,,,,,,
Summer 2023,Dalakit MPA,9.17,6,5.04,2.06,3.88,14.45,7.11,11.22,16.67,6,11.04,4.51,5.08,28.25,12.16,21.17,7.33,6,4.18,1.71,2.95,11.72,5.63,9.04,60.83,6,22.66,9.25,37.06,84.61,51.58,70.08,189.67,6,66.6,27.19,119.77,259.56,162.48,216.86,283.67,6,90.33,36.88,188.87,378.47,246.79,320.55,18.95,6,14.92,6.09,3.3,34.61,12.87,25.04,40.0,6,25.4,10.37,13.34,66.66,29.63,50.37,11.26,6,13.12,5.35,0.0,25.02,5.9,16.61,36,6,6.0,36.0,6.0,6.0,,,,,,
Autumn 2023,Dalakit MPA,26.0,1,,,,,,,69.0,1,,,,,,,14.0,1,,,,,,,258.0,1,,,,,,,532.0,1,,,,,,,899.0,1,,,,,,,56.32,1,,,,,,,152.0,1,,,,,,,47.11,1,,,,,,,24,1,24.0,24.0,1.0,24.0,,,,,,
Winter 23/24,Dalakit MPA,10.5,2,0.71,0.5,4.15,16.85,10.0,11.0,36.5,2,37.48,26.5,0.0,373.21,10.0,63.0,8.0,2,1.41,1.0,0.0,20.71,7.0,9.0,123.0,2,89.1,63.0,0.0,923.49,60.0,186.0,374.5,2,61.52,43.5,0.0,927.22,331.0,418.0,552.5,2,187.38,132.5,0.0,2236.07,420.0,685.0,10.85,2,0.08,0.05,10.17,11.52,10.79,10.9,59.5,2,24.75,17.5,0.0,281.86,42.0,77.0,5.78,2,1.18,0.83,0.0,16.34,4.95,6.61,18,2,9.0,18.0,2.0,9.0,,,,,,
Spring 2024,Dalakit MPA,15.25,4,4.86,2.43,7.52,22.98,12.82,17.68,23.0,4,6.63,3.32,12.45,33.55,19.68,26.32,9.5,4,5.74,2.87,0.36,18.64,6.63,12.37,140.0,4,160.01,80.01,0.0,394.62,59.99,220.01,276.75,4,105.35,52.67,109.12,444.38,224.08,329.42,464.5,4,193.95,96.97,155.88,773.12,367.53,561.47,16.63,4,5.25,2.62,8.28,24.98,14.0,19.25,74.5,4,18.63,9.31,44.86,104.14,65.19,83.81,10.95,4,2.19,1.09,7.47,14.43,9.85,12.04,29,4,7.25,29.0,4.0,7.25,,,,,,
Summer 2024,Dalakit MPA,11.0,2,4.24,3.0,0.0,49.12,8.0,14.0,13.5,2,4.95,3.5,0.0,57.97,10.0,17.0,4.5,2,0.71,0.5,0.0,10.85,4.0,5.0,86.5,2,34.65,24.5,0.0,397.8,62.0,111.0,151.0,2,89.1,63.0,0.0,951.49,88.0,214.0,266.5,2,133.64,94.5,0.0,1467.24,172.0,361.0,3.65,2,1.8,1.28,0.0,19.85,2.37,4.92,23.0,2,26.87,19.0,0.0,264.42,4.0,42.0,1.87,2,2.09,1.48,0.0,20.64,0.4,3.35,18,2,9.0,18.0,2.0,9.0,,,,,,
Autumn 2024,Dalakit MPA,2.0,1,,,,,,,2.0,1,,,,,,,4.0,1,,,,,,,20.0,1,,,,,,,23.0,1,,,,,,,51.0,1,,,,,,,1.24,1,,,,,,,8.0,1,,,,,,,0.62,1,,,,,,,14,1,14.0,14.0,1.0,14.0,,,,,,
Winter 24/25,Dalakit MPA,5.0,4,2.94,1.47,0.32,9.68,3.53,6.47,19.25,4,7.85,3.92,6.76,31.74,15.33,23.17,7.0,4,3.37,1.68,1.64,12.36,5.32,8.68,86.75,4,27.37,13.68,43.2,130.3,73.07,100.43,335.5,4,79.56,39.78,208.9,462.1,295.72,375.28,453.5,4,88.55,44.28,312.59,594.41,409.22,497.78,18.35,4,8.55,4.27,4.76,31.95,14.08,22.63,80.75,4,52.6,26.3,0.0,164.45,54.45,107.05,10.88,4,7.13,3.57,0.0,22.23,7.31,14.44,28,4,7.0,28.0,4.0,7.0,,,,,,
Spring 2025,Dalakit MPA,9.25,4,3.1,1.55,4.32,14.18,7.7,10.8,15.75,4,7.32,3.66,4.1,27.4,12.09,19.41,9.5,4,3.11,1.55,4.55,14.45,7.95,11.05,67.5,4,13.4,6.7,46.17,88.83,60.8,74.2,193.5,4,63.76,31.88,92.04,294.96,161.62,225.38,295.5,4,87.82,43.91,155.75,435.25,251.59,339.41,14.23,4,5.7,2.85,5.16,23.3,11.38,17.08,57.5,4,27.15,13.57,14.3,100.7,43.93,71.07,9.66,4,5.52,2.76,0.87,18.45,6.89,12.42,26,4,6.5,26.0,4.0,6.5,,,,,,
Summer 2025,Dalakit MPA,9.0,4,8.04,4.02,0.0,21.8,4.98,13.02,14.5,4,5.45,2.72,5.83,23.17,11.78,17.22,9.0,4,2.83,1.41,4.5,13.5,7.59,10.41,59.5,4,21.81,10.9,24.8,94.2,48.6,70.4,255.25,4,173.44,86.72,0.0,531.24,168.53,341.97,347.25,4,166.78,83.39,81.87,612.63,263.86,430.64,6.94,4,4.43,2.22,0.0,13.99,4.72,9.15,33.75,4,12.76,6.38,13.44,54.06,27.37,40.13,3.92,4,4.86,2.43,0.0,11.66,1.49,6.35,24,4,6.0,24.0,4.0,6.0,,,,,,
