Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn 2017,Kookoos,39.33,3,10.07,5.81,14.33,64.34,33.52,45.15,20.33,3,12.86,7.42,0.0,52.27,12.91,27.76,40.0,3,16.52,9.54,0.0,81.04,30.46,49.54,56.33,3,46.69,26.96,0.0,172.33,29.37,83.29,104.33,3,16.26,9.39,63.95,144.72,94.95,113.72,260.33,3,89.78,51.83,37.31,483.36,208.5,312.17,22.35,3,13.29,7.67,0.0,55.38,14.68,30.03,134.67,3,51.33,29.63,7.17,262.17,105.03,164.3,12.4,3,5.31,3.07,0.0,25.6,9.34,15.47,26,3,8.67,18.0,1.0,18.0,17.0,1.0,17.0,20.0,1.0,20.0
Winter 17/18,Kookoos,11.0,7,5.23,1.98,6.16,15.84,9.02,12.98,11.43,7,4.39,1.66,7.37,15.49,9.77,13.09,12.43,7,5.68,2.15,7.17,17.68,10.28,14.58,18.43,7,11.6,4.39,7.7,29.16,14.04,22.81,70.71,7,61.91,23.4,13.46,127.97,47.32,94.11,124.0,7,72.49,27.4,56.96,191.04,96.6,151.4,12.92,7,19.85,7.5,0.0,31.28,5.42,20.42,86.29,7,74.4,28.12,17.48,155.1,58.16,114.41,11.62,7,19.15,7.24,0.0,29.33,4.38,18.86,26,7,3.71,18.0,3.0,6.0,19.0,2.0,9.5,19.0,2.0,9.5
Spring 2018,Kookoos,13.53,17,11.1,2.69,7.82,19.24,10.84,16.22,15.41,17,9.45,2.29,10.55,20.27,13.12,17.7,10.65,17,8.43,2.05,6.31,14.98,8.6,12.69,25.41,17,25.52,6.19,12.29,38.53,19.22,31.6,69.59,17,94.73,22.98,20.88,118.3,46.61,92.56,134.59,17,110.11,26.71,77.97,191.2,107.88,161.29,7.97,17,7.46,1.81,4.14,11.81,6.16,9.78,88.47,17,100.47,24.37,36.81,140.13,64.1,112.84,6.17,17,7.18,1.74,2.48,9.86,4.43,7.91,33,17,1.94,22.0,7.0,3.14,30.0,5.0,6.0,19.0,5.0,3.8
Summer 2018,Kookoos,21.67,3,11.37,6.57,0.0,49.92,15.1,28.23,23.0,3,10.54,6.08,0.0,49.17,16.92,29.08,26.0,3,4.58,2.65,14.62,37.38,23.35,28.65,42.33,3,21.2,12.24,0.0,94.99,30.09,54.57,112.33,3,12.5,7.22,81.27,143.39,105.11,119.55,225.33,3,45.79,26.43,111.6,339.07,198.9,251.77,18.55,3,10.04,5.79,0.0,43.48,12.76,24.34,131.67,3,13.65,7.88,97.76,165.58,123.79,139.55,11.63,3,5.0,2.89,0.0,24.06,8.74,14.52,31,3,10.33,19.0,1.0,19.0,16.0,1.0,16.0,22.0,1.0,22.0
Autumn 2018,Kookoos,30.43,7,15.74,5.95,15.88,44.98,24.48,36.38,36.86,7,25.06,9.47,13.68,60.04,27.38,46.33,25.71,7,13.2,4.99,13.51,37.92,20.73,30.7,42.43,7,52.05,19.67,0.0,90.57,22.75,62.1,228.57,7,302.88,114.48,0.0,508.69,114.09,343.05,364.0,7,369.62,139.7,22.16,705.84,224.3,503.7,17.3,7,22.19,8.39,0.0,37.82,8.92,25.69,244.71,7,321.8,121.63,0.0,542.33,123.09,366.34,13.35,7,20.41,7.71,0.0,32.22,5.63,21.06,40,7,5.71,25.0,2.0,12.5,27.0,2.0,13.5,29.0,3.0,9.67
Winter 18/19,Kookoos,28.33,6,11.22,4.58,16.56,40.11,23.75,32.91,32.33,6,20.59,8.41,10.73,53.94,23.93,40.74,19.17,6,6.05,2.47,12.82,25.51,16.7,21.64,18.17,6,9.3,3.8,8.4,27.93,14.37,21.97,67.0,6,30.85,12.6,34.62,99.38,54.4,79.6,165.0,6,54.88,22.4,107.41,222.59,142.6,187.4,8.11,6,3.03,1.24,4.94,11.29,6.88,9.35,59.33,6,21.43,8.75,36.85,81.82,50.59,68.08,3.54,6,1.4,0.57,2.07,5.01,2.96,4.11,35,6,5.83,21.0,2.0,10.5,20.0,2.0,10.0,24.0,2.0,12.0
Spring 2019,Kookoos,22.83,12,9.54,2.75,16.77,28.9,20.08,25.59,13.83,12,6.91,2.0,9.44,18.23,11.84,15.83,11.5,12,5.05,1.46,8.29,14.71,10.04,12.96,24.08,12,16.66,4.81,13.49,34.67,19.27,28.89,74.5,12,53.43,15.42,40.55,108.45,59.08,89.92,146.75,12,55.33,15.97,111.59,181.91,130.78,162.72,5.22,12,1.98,0.57,3.97,6.48,4.65,5.8,63.33,12,50.44,14.56,31.28,95.38,48.77,77.89,2.67,12,1.45,0.42,1.75,3.59,2.25,3.09,41,12,3.42,27.0,4.0,6.75,27.0,4.0,6.75,26.0,4.0,6.5
Summer 2019,Kookoos,47.62,8,9.72,3.44,39.5,55.75,44.19,51.06,34.12,8,13.42,4.75,22.9,45.35,29.38,38.87,36.25,8,14.1,4.98,24.46,48.04,31.27,41.23,65.75,8,42.52,15.03,30.2,101.3,50.72,80.78,338.62,8,436.06,154.17,0.0,703.18,184.45,492.8,522.38,8,471.92,166.85,127.84,916.91,355.53,689.22,24.58,8,27.02,9.55,1.99,47.17,15.03,34.14,337.5,8,460.72,162.89,0.0,722.67,174.61,500.39,17.75,8,25.46,9.0,0.0,39.03,8.74,26.75,41,8,5.12,24.0,3.0,8.0,33.0,2.0,16.5,30.0,3.0,10.0
Autumn 2019,Kookoos,28.7,10,8.78,2.78,22.42,34.98,25.92,31.48,20.9,10,8.92,2.82,14.52,27.28,18.08,23.72,18.3,10,6.55,2.07,13.61,22.99,16.23,20.37,23.2,10,11.06,3.5,15.29,31.11,19.7,26.7,114.2,10,80.4,25.43,56.68,171.72,88.77,139.63,205.3,10,81.72,25.84,146.84,263.76,179.46,231.14,4.99,10,2.11,0.67,3.47,6.5,4.32,5.65,74.8,10,46.85,14.82,41.29,108.31,59.98,89.62,2.32,10,2.19,0.69,0.75,3.89,1.62,3.01,37,10,3.7,23.0,3.0,7.67,29.0,4.0,7.25,28.0,3.0,9.33
Winter 19/20,Kookoos,8.92,24,10.57,2.16,4.45,13.38,6.76,11.07,9.17,24,11.25,2.3,4.42,13.92,6.87,11.46,6.46,24,8.31,1.7,2.95,9.97,4.76,8.15,16.58,24,36.58,7.47,1.14,32.03,9.12,24.05,34.29,24,55.28,11.28,10.95,57.63,23.01,45.58,75.42,24,96.1,19.62,34.84,116.0,55.8,95.03,2.3,24,3.59,0.73,0.78,3.81,1.56,3.03,28.08,24,50.11,10.23,6.93,49.24,17.86,38.31,1.31,24,2.73,0.56,0.15,2.46,0.75,1.86,35,24,1.46,17.0,16.0,1.06,28.0,4.0,7.0,28.0,4.0,7.0
Summer 2022,Kookoos,15.62,13,6.98,1.94,11.4,19.83,13.68,17.55,11.23,13,7.65,2.12,6.61,15.85,9.11,13.35,9.85,13,5.32,1.48,6.63,13.06,8.37,11.32,111.31,13,106.45,29.52,46.98,175.63,81.78,140.83,538.08,13,375.71,104.2,311.04,765.12,433.87,642.28,686.08,13,406.25,112.67,440.58,931.57,573.4,798.75,16.38,13,19.08,5.29,4.85,27.91,11.09,21.67,141.08,13,246.94,68.49,0.0,290.3,72.59,209.57,8.07,13,15.41,4.27,0.0,17.38,3.79,12.34,58,13,4.46,35.0,4.0,8.75,40.0,5.0,8.0,38.0,4.0,9.5
Autumn 2022,Kookoos,19.1,10,7.34,2.32,13.85,24.35,16.78,21.42,10.4,10,5.64,1.78,6.36,14.44,8.62,12.18,15.5,10,12.09,3.82,6.85,24.15,11.68,19.32,92.7,10,55.6,17.58,52.93,132.47,75.12,110.28,879.3,10,482.27,152.51,534.3,1224.3,726.79,1031.81,1017.0,10,499.0,157.8,660.04,1373.96,859.2,1174.8,22.86,10,12.47,3.94,13.95,31.78,18.92,26.81,99.3,10,107.57,34.02,22.35,176.25,65.28,133.32,6.02,10,6.68,2.11,1.24,10.79,3.91,8.13,49,10,4.9,34.0,3.0,11.33,32.0,4.0,8.0,36.0,3.0,12.0
Winter 22/23,Kookoos,12.27,15,9.49,2.45,7.01,17.52,9.82,14.72,11.4,15,7.07,1.83,7.49,15.31,9.57,13.23,11.0,15,4.64,1.2,8.43,13.57,9.8,12.2,55.53,15,40.83,10.54,32.92,78.14,44.99,66.07,527.47,15,194.1,50.12,419.98,634.95,477.35,577.58,617.67,15,228.1,58.89,491.35,743.98,558.77,676.56,12.97,15,14.44,3.73,4.98,20.97,9.24,16.7,85.53,15,156.35,40.37,0.0,172.12,45.16,125.9,5.03,15,9.9,2.56,0.0,10.51,2.48,7.59,43,15,2.87,29.0,4.0,7.25,30.0,6.0,5.0,36.0,5.0,7.2
Spring 2023,Kookoos,14.53,15,9.37,2.42,9.34,19.72,12.11,16.95,5.4,15,3.78,0.97,3.31,7.49,4.43,6.37,9.13,15,5.13,1.32,6.3,11.97,7.81,10.46,58.87,15,46.59,12.03,33.06,84.67,46.84,70.9,506.67,15,215.12,55.54,387.54,625.8,451.12,562.21,594.6,15,236.74,61.13,463.5,725.7,533.47,655.73,13.23,15,9.04,2.33,8.22,18.24,10.89,15.56,44.33,15,63.38,16.36,9.24,79.43,27.97,60.7,3.15,15,4.77,1.23,0.51,5.79,1.92,4.38,43,15,2.87,30.0,4.0,7.5,34.0,6.0,5.67,36.0,5.0,7.2
Summer 2023,Kookoos,11.07,15,5.55,1.43,7.99,14.14,9.63,12.5,11.13,15,7.91,2.04,6.75,15.51,9.09,13.18,9.67,15,5.81,1.5,6.45,12.89,8.17,11.17,82.93,15,57.35,14.81,51.18,114.69,68.13,97.74,514.33,15,376.13,97.12,306.04,722.63,417.22,611.45,629.13,15,435.07,112.34,388.2,870.07,516.8,741.47,12.29,15,16.77,4.33,3.01,21.58,7.96,16.62,40.53,15,50.62,13.07,12.5,68.56,27.46,53.6,2.89,15,3.44,0.89,0.98,4.79,2.0,3.78,41,15,2.73,26.0,5.0,5.2,31.0,5.0,6.2,32.0,5.0,6.4
Autumn 2023,Kookoos,9.75,12,5.05,1.46,6.54,12.96,8.29,11.21,9.5,12,4.89,1.41,6.39,12.61,8.09,10.91,8.0,12,3.41,0.98,5.83,10.17,7.02,8.98,44.0,12,28.59,8.25,25.83,62.17,35.75,52.25,482.42,12,309.41,89.32,285.83,679.0,393.1,571.73,553.67,12,313.31,90.45,354.6,752.74,463.22,644.11,7.03,12,6.1,1.76,3.16,10.91,5.27,8.79,75.83,12,87.26,25.19,20.39,131.27,50.64,101.02,3.24,12,4.88,1.41,0.14,6.34,1.83,4.64,29,12,2.42,19.0,4.0,4.75,24.0,4.0,6.0,24.0,4.0,6.0
Winter 23/24,Kookoos,10.32,19,4.27,0.98,8.26,12.37,9.34,11.3,13.95,19,6.48,1.49,10.82,17.07,12.46,15.44,8.26,19,6.14,1.41,5.31,11.22,6.86,9.67,60.89,19,53.92,12.37,34.91,86.88,48.53,73.26,473.74,19,153.73,35.27,399.64,547.83,438.47,509.01,567.16,19,140.46,32.22,499.46,634.86,534.93,599.38,13.81,19,25.08,5.75,1.73,25.9,8.06,19.56,54.68,19,68.8,15.78,21.52,87.84,38.9,70.47,9.12,19,25.44,5.84,0.0,21.39,3.29,14.96,34,19,1.79,20.0,6.0,3.33,25.0,7.0,3.57,28.0,6.0,4.67
Spring 2024,Kookoos,11.56,16,5.05,1.26,8.87,14.25,10.3,12.82,9.81,16,4.42,1.1,7.46,12.17,8.71,10.92,5.88,16,2.9,0.72,4.33,7.42,5.15,6.6,114.19,16,88.57,22.14,66.99,161.38,92.04,136.33,589.06,16,368.03,92.01,392.95,785.17,497.05,681.07,730.5,16,376.35,94.09,529.96,931.04,636.41,824.59,18.33,16,19.1,4.78,8.15,28.51,13.56,23.11,90.62,16,125.58,31.39,23.71,157.54,59.23,122.02,8.58,16,12.98,3.25,1.66,15.5,5.33,11.82,35,16,2.19,18.0,4.0,4.5,31.0,6.0,5.17,27.0,6.0,4.5
Summer 2024,Kookoos,12.09,11,7.22,2.18,7.24,16.94,9.91,14.27,12.45,11,7.55,2.28,7.38,17.53,10.18,14.73,7.91,11,3.7,1.12,5.42,10.39,6.79,9.02,130.64,11,93.6,28.22,67.76,193.52,102.42,158.86,432.55,11,371.93,112.14,182.68,682.41,320.4,544.69,595.64,11,410.04,123.63,320.17,871.1,472.01,719.27,8.25,11,5.04,1.52,4.87,11.64,6.74,9.77,70.36,11,71.54,21.57,22.3,118.43,48.79,91.93,3.83,11,4.93,1.49,0.52,7.14,2.34,5.31,32,11,2.91,19.0,4.0,4.75,25.0,3.0,8.33,26.0,4.0,6.5
Autumn 2024,Kookoos,10.85,13,6.18,1.71,7.11,14.58,9.13,12.56,10.08,13,4.7,1.3,7.24,12.92,8.77,11.38,7.85,13,5.0,1.39,4.83,10.87,6.46,9.23,88.62,13,77.24,21.42,41.94,135.29,67.19,110.04,424.92,13,204.19,56.63,301.53,548.32,368.29,481.56,542.31,13,227.99,63.23,404.53,680.08,479.07,605.54,10.55,13,5.69,1.58,7.11,13.99,8.97,12.13,57.85,13,70.58,19.58,15.19,100.5,38.27,77.42,3.92,13,4.72,1.31,1.06,6.77,2.61,5.23,29,13,2.23,22.0,6.0,3.67,27.0,3.0,9.0,21.0,4.0,5.25
Winter 24/25,Kookoos,11.11,18,5.28,1.24,8.49,13.74,9.87,12.36,11.61,18,8.63,2.03,7.32,15.9,9.58,13.65,7.22,18,5.58,1.31,4.45,10.0,5.91,8.54,47.83,18,24.73,5.83,35.54,60.13,42.0,53.66,485.17,18,253.26,59.69,359.22,611.11,425.47,544.86,562.94,18,252.49,59.51,437.39,688.5,503.43,622.46,13.64,18,8.67,2.04,9.33,17.95,11.6,15.68,57.78,18,63.86,15.05,26.02,89.53,42.73,72.83,5.31,18,5.65,1.33,2.5,8.12,3.98,6.64,31,18,1.72,20.0,6.0,3.33,26.0,6.0,4.33,27.0,6.0,4.5
Spring 2025,Kookoos,10.78,18,3.86,0.91,8.86,12.7,9.87,11.69,5.44,18,2.91,0.69,3.99,6.89,4.76,6.13,9.06,18,4.25,1.0,6.94,11.17,8.05,10.06,72.39,18,57.25,13.49,43.92,100.86,58.89,85.88,519.67,18,260.37,61.37,390.19,649.14,458.3,581.04,617.33,18,285.87,67.38,475.17,759.49,549.95,684.71,12.98,18,8.38,1.97,8.82,17.15,11.01,14.96,50.22,18,59.37,13.99,20.7,79.74,36.23,64.21,5.22,18,7.56,1.78,1.46,8.98,3.44,7.0,30,18,1.67,20.0,6.0,3.33,24.0,6.0,4.0,27.0,6.0,4.5
Summer 2025,Kookoos,10.17,18,5.1,1.2,7.63,12.7,8.96,11.37,13.06,18,9.07,2.14,8.54,17.57,10.92,15.19,10.11,18,6.99,1.65,6.64,13.59,8.46,11.76,96.94,18,80.28,18.92,57.02,136.87,78.02,115.87,719.33,18,515.27,121.45,463.1,975.57,597.88,840.78,849.61,18,571.25,134.65,565.53,1133.69,714.97,984.26,30.13,18,45.38,10.7,7.56,52.69,19.43,40.82,268.28,18,434.49,102.41,52.21,484.35,165.87,370.69,24.32,18,44.91,10.59,1.98,46.65,13.73,34.9,32,18,1.78,21.0,6.0,3.5,23.0,6.0,3.83,26.0,6.0,4.33
