Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Spring 2022,Latason MPA,11.75,16.75,21.5,28.75,583.0,661.75,106.12,11.17,3.19
Summer 2022,Latason MPA,23.25,24.75,19.5,107.5,720.25,895.25,63.68,11.43,4.88
Autumn 2022,Latason MPA,13.38,14.25,15.12,70.75,549.5,663.0,108.12,8.97,2.26
Winter 22/23,Latason MPA,17.5,18.75,17.75,49.75,628.5,732.25,440.33,20.28,8.39
Spring 2023,Latason MPA,8.7,11.9,10.9,38.5,370.4,440.4,186.88,9.05,2.6
Summer 2023,Latason MPA,5.27,8.73,7.82,21.27,239.36,282.45,152.64,4.63,2.62
Autumn 2023,Latason MPA,18.0,18.5,11.0,50.67,487.5,585.67,70.36,14.04,6.69
Winter 23/24,Latason MPA,12.5,9.75,11.75,41.88,547.12,623.0,63.26,15.13,8.29
Spring 2024,Latason MPA,18.6,20.6,14.0,80.4,474.2,607.8,41.0,17.77,3.77
Summer 2024,Latason MPA,7.83,13.67,10.17,53.83,565.83,651.33,378.86,18.69,15.01
Autumn 2024,Latason MPA,13.29,17.86,16.43,54.71,512.86,615.14,28.08,11.93,6.16
Winter 24/25,Latason MPA,8.23,7.31,8.0,16.54,319.69,359.77,476.71,5.06,1.3
Spring 2025,Latason MPA,6.29,7.64,9.79,32.93,294.07,350.71,94.69,6.94,3.0
Summer 2025,Latason MPA,8.67,12.33,10.25,56.42,374.0,461.67,172.06,6.36,3.24
