Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2019,Salag MPA,30.0,8,19.93,7.05,13.34,46.66,22.95,37.05,36.5,8,17.53,6.2,21.85,51.15,30.3,42.7,9.25,8,4.56,1.61,5.44,13.06,7.64,10.86,58.0,8,49.14,17.37,16.92,99.08,40.63,75.37,153.88,8,112.23,39.68,60.05,247.7,114.19,193.56,287.62,8,124.65,44.07,183.42,391.83,243.56,331.69,20.58,8,19.27,6.81,4.47,36.7,13.77,27.4,138.88,8,104.19,36.84,51.77,225.98,102.04,175.71,8.84,8,8.81,3.11,1.48,16.21,5.73,11.96,49,8,6.12,32.0,3.0,10.67,41.0,3.0,13.67,23.0,2.0,11.5
Summer 2019,Salag MPA,40.67,6,20.73,8.46,18.91,62.42,32.2,49.13,29.33,6,14.09,5.75,14.54,44.13,23.58,35.09,12.83,6,6.97,2.85,5.52,20.15,9.99,15.68,40.5,6,24.87,10.15,14.4,66.6,30.35,50.65,224.5,6,177.93,72.64,37.78,411.22,151.86,297.14,347.83,6,226.05,92.29,110.6,585.06,255.55,440.12,20.77,6,15.37,6.27,4.64,36.9,14.49,27.04,212.5,6,179.06,73.1,24.59,400.41,139.4,285.6,11.23,6,9.02,3.68,1.77,20.7,7.55,14.91,38,6,6.33,26.0,2.0,13.0,28.0,2.0,14.0,25.0,2.0,12.5
Autumn 2019,Salag MPA,8.08,12,5.78,1.67,4.41,11.75,6.42,9.75,23.92,12,10.0,2.89,17.57,30.27,21.03,26.8,3.67,12,2.02,0.58,2.39,4.95,3.08,4.25,15.25,12,11.69,3.37,7.82,22.68,11.88,18.62,42.67,12,35.07,10.12,20.39,64.95,32.54,52.79,93.58,12,47.3,13.65,63.53,123.64,79.93,107.24,4.26,12,2.98,0.86,2.37,6.16,3.4,5.13,42.67,12,33.7,9.73,21.25,64.08,32.94,52.4,2.53,12,2.03,0.59,1.24,3.82,1.95,3.12,35,12,2.92,21.0,3.0,7.0,30.0,5.0,6.0,25.0,4.0,6.25
Winter 19/20,Salag MPA,22.33,6,9.81,4.01,12.04,32.63,18.33,26.34,31.17,6,7.08,2.89,23.73,38.6,28.28,34.06,14.83,6,9.04,3.69,5.34,24.32,11.14,18.52,25.83,6,13.27,5.42,11.9,39.76,20.41,31.25,97.67,6,53.47,21.83,41.56,153.78,75.84,119.49,191.83,6,62.35,25.45,126.4,257.26,166.38,217.29,12.73,6,6.63,2.71,5.78,19.69,10.03,15.44,97.17,6,66.72,27.24,27.15,167.19,69.93,124.41,7.71,6,6.76,2.76,0.61,14.81,4.95,10.47,32,6,5.33,24.0,2.0,12.0,27.0,2.0,13.5,23.0,2.0,11.5
Summer 2022,Salag MPA,17.25,8,8.81,3.12,9.88,24.62,14.13,20.37,22.25,8,8.0,2.83,15.57,28.93,19.42,25.08,5.12,8,5.41,1.91,0.6,9.65,3.21,7.04,108.88,8,68.34,24.16,51.74,166.01,84.71,133.04,1077.88,8,801.27,283.29,408.0,1747.75,794.58,1361.17,1231.38,8,802.02,283.56,560.87,1901.88,947.82,1514.93,23.35,8,11.67,4.12,13.59,33.1,19.22,27.47,373.25,8,712.77,252.0,0.0,969.14,121.25,625.25,14.09,8,11.05,3.91,4.85,23.33,10.18,18.0,48,8,6.0,25.0,2.0,12.5,37.0,2.0,18.5,37.0,4.0,9.25
Autumn 2022,Salag MPA,12.56,9,9.19,3.06,5.49,19.62,9.49,15.62,10.22,9,4.06,1.35,7.11,13.34,8.87,11.57,5.33,9,4.53,1.51,1.85,8.81,3.82,6.84,77.89,9,67.98,22.66,25.63,130.14,55.23,100.55,545.44,9,374.96,124.99,257.22,833.67,420.46,670.43,651.44,9,445.73,148.58,308.82,994.07,502.87,800.02,14.51,9,9.8,3.27,6.98,22.04,11.24,17.78,89.44,9,91.43,30.48,19.17,159.72,58.97,119.92,6.93,9,8.66,2.89,0.27,13.58,4.04,9.81,44,9,4.89,28.0,3.0,9.33,35.0,3.0,11.67,32.0,3.0,10.67
Winter 22/23,Salag MPA,14.86,7,15.5,5.86,0.53,29.19,9.0,20.71,16.29,7,10.92,4.13,6.19,26.38,12.16,20.41,6.71,7,6.82,2.58,0.4,13.03,4.13,9.29,72.0,7,52.2,19.73,23.72,120.28,52.27,91.73,680.86,7,365.84,138.27,342.51,1019.2,542.58,819.13,790.71,7,422.83,159.81,399.66,1181.77,630.9,950.53,14.83,7,5.33,2.02,9.9,19.76,12.82,16.85,123.71,7,95.29,36.02,35.58,211.85,87.7,159.73,4.33,7,2.78,1.05,1.76,6.9,3.28,5.38,48,7,6.86,30.0,2.0,15.0,41.0,3.0,13.67,31.0,2.0,15.5
Spring 2023,Salag MPA,10.81,16,4.61,1.15,8.36,13.27,9.66,11.96,10.44,16,5.97,1.49,7.26,13.62,8.95,11.93,2.75,16,1.13,0.28,2.15,3.35,2.47,3.03,39.94,16,25.95,6.49,26.11,53.76,33.45,46.42,414.88,16,179.72,44.93,319.11,510.64,369.95,459.8,478.81,16,194.97,48.74,374.92,582.7,430.07,527.56,11.52,16,5.96,1.49,8.34,14.69,10.02,13.01,42.81,16,46.97,11.74,17.79,67.84,31.07,54.55,4.73,16,3.9,0.98,2.65,6.81,3.76,5.71,48,16,3.0,32.0,6.0,5.33,39.0,5.0,7.8,34.0,5.0,6.8
Summer 2023,Salag MPA,10.0,17,6.13,1.49,6.85,13.15,8.51,11.49,12.59,17,4.6,1.11,10.22,14.95,11.47,13.7,2.47,17,2.58,0.62,1.15,3.8,1.85,3.1,47.88,17,22.47,5.45,36.33,59.43,42.43,53.33,359.06,17,331.76,80.46,188.48,529.64,278.59,439.52,432.0,17,354.19,85.9,249.89,614.11,346.1,517.9,10.34,17,8.97,2.18,5.72,14.95,8.16,12.51,34.94,17,30.03,7.28,19.5,50.38,27.66,42.22,3.9,17,4.26,1.03,1.71,6.09,2.87,4.94,45,17,2.65,27.0,6.0,4.5,28.0,6.0,4.67,37.0,5.0,7.4
Autumn 2023,Salag MPA,9.25,12,4.03,1.16,6.69,11.81,8.09,10.41,24.75,12,11.24,3.25,17.61,31.89,21.5,28.0,3.75,12,2.53,0.73,2.14,5.36,3.02,4.48,51.83,12,26.8,7.74,34.81,68.86,44.1,59.57,326.92,12,151.41,43.71,230.71,423.12,283.21,370.63,416.5,12,168.34,48.59,309.54,523.46,367.91,465.09,5.9,12,2.44,0.7,4.35,7.45,5.2,6.61,39.67,12,23.95,6.91,24.45,54.89,32.75,46.58,2.34,12,1.42,0.41,1.44,3.24,1.93,2.75,32,12,2.67,21.0,4.0,5.25,27.0,4.0,6.75,27.0,4.0,6.75
Winter 23/24,Salag MPA,8.93,15,5.34,1.38,5.98,11.89,7.56,10.31,21.07,15,18.61,4.81,10.76,31.37,16.26,25.87,4.87,15,6.42,1.66,1.31,8.42,3.21,6.53,67.0,15,45.45,11.73,41.83,92.17,55.27,78.73,533.47,15,243.77,62.94,398.47,668.46,470.53,596.41,635.33,15,259.18,66.92,491.81,778.86,568.41,702.25,26.84,15,38.42,9.92,5.56,48.12,16.92,36.76,85.27,15,115.75,29.89,21.17,149.36,55.38,115.15,21.04,15,38.19,9.86,0.0,42.18,11.18,30.9,36,15,2.4,27.0,6.0,4.5,27.0,5.0,5.4,29.0,4.0,7.25
Spring 2024,Salag MPA,13.88,16,6.54,1.64,10.39,17.36,12.24,15.51,14.31,16,5.04,1.26,11.63,17.0,13.05,15.57,6.25,16,4.91,1.23,3.64,8.86,5.02,7.48,91.69,16,52.38,13.09,63.78,119.6,78.59,104.78,653.81,16,351.21,87.8,466.66,840.96,566.01,741.62,779.94,16,356.1,89.02,590.19,969.69,690.91,868.96,19.29,16,16.61,4.15,10.44,28.15,15.14,23.45,109.19,16,100.18,25.05,55.8,162.57,84.14,134.23,12.57,16,14.12,3.53,5.05,20.1,9.04,16.1,38,16,2.38,27.0,5.0,5.4,35.0,6.0,5.83,30.0,5.0,6.0
Summer 2024,Salag MPA,11.3,10,4.11,1.3,8.36,14.24,10.0,12.6,11.8,10,4.69,1.48,8.45,15.15,10.32,13.28,3.1,10,2.77,0.87,1.12,5.08,2.23,3.97,53.4,10,25.31,8.0,35.29,71.51,45.4,61.4,345.9,10,153.89,48.66,235.81,455.99,297.24,394.56,425.5,10,169.74,53.68,304.07,546.93,371.82,479.18,16.16,10,24.58,7.77,0.0,33.74,8.38,23.93,76.4,10,63.16,19.97,31.22,121.58,56.43,96.37,12.59,10,24.44,7.73,0.0,30.08,4.86,20.32,36,10,3.6,22.0,2.0,11.0,30.0,4.0,7.5,28.0,4.0,7.0
