Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Autumn/Winter 17/18,Antulang,22,18,1.22,17.0,5.0,3.4,17.0,6.0,2.83,12.0,7.0,1.71
Spring/Summer 18,Antulang,23,37,0.62,19.0,13.0,1.46,19.0,13.0,1.46,17.0,11.0,1.55
Autumn/Winter 18/19,Antulang,30,9,3.33,20.0,2.0,10.0,20.0,3.0,6.67,20.0,4.0,5.0
Spring/Summer 19,Antulang,44,30,1.47,35.0,13.0,2.69,37.0,10.0,3.7,23.0,7.0,3.29
Autumn/Winter 19/20,Antulang,36,24,1.5,26.0,6.0,4.33,25.0,8.0,3.12,25.0,10.0,2.5
Spring/Summer 22,Antulang,24,4,6.0,20.0,2.0,10.0,16.0,2.0,8.0,,,
Autumn/Winter 22/23,Antulang,48,24,2.0,38.0,9.0,4.22,38.0,7.0,5.43,30.0,8.0,3.75
Spring/Summer 23,Antulang,53,37,1.43,40.0,12.0,3.33,38.0,13.0,2.92,35.0,12.0,2.92
Autumn/Winter 23/24,Antulang,45,24,1.88,41.0,7.0,5.86,30.0,9.0,3.33,27.0,8.0,3.38
Spring/Summer 24,Antulang,51,22,2.32,37.0,6.0,6.17,43.0,9.0,4.78,34.0,7.0,4.86
Autumn/Winter 24/25,Antulang,46,29,1.59,36.0,10.0,3.6,32.0,9.0,3.56,39.0,10.0,3.9
Spring/Summer 25,Antulang,50,37,1.35,44.0,13.0,3.38,42.0,12.0,3.5,33.0,12.0,2.75
