Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Basak Can-Unsang MPA,18,3,6.0,7.0,1.0,7.0,16.0,2.0,8.0,,,
Autumn/Winter 17/18,Basak Can-Unsang MPA,20,17,1.18,14.0,4.0,3.5,19.0,7.0,2.71,16.0,6.0,2.67
Spring/Summer 18,Basak Can-Unsang MPA,20,34,0.59,15.0,10.0,1.5,17.0,10.0,1.7,16.0,14.0,1.14
Autumn/Winter 18/19,Basak Can-Unsang MPA,32,24,1.33,18.0,8.0,2.25,23.0,9.0,2.56,15.0,7.0,2.14
Spring/Summer 19,Basak Can-Unsang MPA,32,33,0.97,24.0,11.0,2.18,26.0,14.0,1.86,19.0,8.0,2.38
Autumn/Winter 19/20,Basak Can-Unsang MPA,34,37,0.92,24.0,11.0,2.18,24.0,12.0,2.0,20.0,14.0,1.43
Spring/Summer 22,Basak Can-Unsang MPA,47,30,1.57,39.0,12.0,3.25,30.0,10.0,3.0,20.0,8.0,2.5
Autumn/Winter 22/23,Basak Can-Unsang MPA,40,22,1.82,30.0,6.0,5.0,29.0,8.0,3.62,24.0,8.0,3.0
Spring/Summer 23,Basak Can-Unsang MPA,54,42,1.29,40.0,13.0,3.08,37.0,16.0,2.31,36.0,13.0,2.77
Autumn/Winter 23/24,Basak Can-Unsang MPA,41,19,2.16,33.0,7.0,4.71,29.0,7.0,4.14,23.0,5.0,4.6
Spring/Summer 24,Basak Can-Unsang MPA,41,17,2.41,26.0,5.0,5.2,33.0,8.0,4.12,22.0,4.0,5.5
Autumn/Winter 24/25,Basak Can-Unsang MPA,38,22,1.73,27.0,8.0,3.38,26.0,7.0,3.71,28.0,7.0,4.0
Spring/Summer 25,Basak Can-Unsang MPA,40,26,1.54,30.0,8.0,3.75,33.0,9.0,3.67,24.0,9.0,2.67
