Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Guinsuan MPA,10,2,5.0,,,,10.0,2.0,5.0,,,
Autumn/Winter 17/18,Guinsuan MPA,20,24,0.83,16.0,9.0,1.78,13.0,7.0,1.86,14.0,8.0,1.75
Spring/Summer 18,Guinsuan MPA,18,37,0.49,15.0,12.0,1.25,14.0,11.0,1.27,10.0,14.0,0.71
Autumn/Winter 18/19,Guinsuan MPA,34,35,0.97,20.0,10.0,2.0,24.0,14.0,1.71,19.0,11.0,1.73
Spring/Summer 19,Guinsuan MPA,25,25,1.0,16.0,7.0,2.29,19.0,8.0,2.38,15.0,10.0,1.5
Autumn/Winter 19/20,Guinsuan MPA,30,42,0.71,24.0,12.0,2.0,23.0,14.0,1.64,15.0,16.0,0.94
Spring/Summer 22,Guinsuan MPA,38,22,1.73,32.0,7.0,4.57,30.0,9.0,3.33,18.0,6.0,3.0
Autumn/Winter 22/23,Guinsuan MPA,40,26,1.54,31.0,8.0,3.88,34.0,9.0,3.78,21.0,9.0,2.33
Spring/Summer 23,Guinsuan MPA,49,37,1.32,39.0,13.0,3.0,34.0,12.0,2.83,25.0,12.0,2.08
Autumn/Winter 23/24,Guinsuan MPA,29,14,2.07,18.0,3.0,6.0,23.0,6.0,3.83,20.0,5.0,4.0
Spring/Summer 24,Guinsuan MPA,33,12,2.75,13.0,2.0,6.5,22.0,4.0,5.5,23.0,6.0,3.83
Autumn/Winter 24/25,Guinsuan MPA,40,24,1.67,31.0,8.0,3.88,26.0,8.0,3.25,20.0,8.0,2.5
Spring/Summer 25,Guinsuan MPA,38,26,1.46,29.0,9.0,3.22,25.0,9.0,2.78,24.0,8.0,3.0
