Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Kookoos,17,8,2.12,16.0,6.0,2.67,9.0,2.0,4.5,,,
Autumn/Winter 17/18,Kookoos,22,25,0.88,17.0,10.0,1.7,19.0,10.0,1.9,16.0,5.0,3.2
Spring/Summer 18,Kookoos,22,34,0.65,20.0,12.0,1.67,18.0,12.0,1.5,14.0,10.0,1.4
Autumn/Winter 18/19,Kookoos,37,39,0.95,28.0,15.0,1.87,23.0,11.0,2.09,20.0,13.0,1.54
Spring/Summer 19,Kookoos,37,30,1.23,31.0,11.0,2.82,25.0,9.0,2.78,18.0,10.0,1.8
Autumn/Winter 19/20,Kookoos,31,47,0.66,25.0,15.0,1.67,23.0,12.0,1.92,22.0,20.0,1.1
Spring/Summer 22,Kookoos,40,28,1.43,30.0,9.0,3.33,25.0,11.0,2.27,19.0,8.0,2.38
Autumn/Winter 22/23,Kookoos,33,32,1.03,29.0,8.0,3.62,24.0,7.0,3.43,24.0,17.0,1.41
Spring/Summer 23,Kookoos,46,33,1.39,38.0,11.0,3.45,28.0,11.0,2.55,29.0,11.0,2.64
Autumn/Winter 23/24,Kookoos,35,22,1.59,28.0,8.0,3.5,23.0,8.0,2.88,20.0,6.0,3.33
Spring/Summer 24,Kookoos,38,15,2.53,28.0,5.0,5.6,29.0,5.0,5.8,24.0,5.0,4.8
Autumn/Winter 24/25,Kookoos,39,32,1.22,27.0,10.0,2.7,29.0,11.0,2.64,27.0,11.0,2.45
Spring/Summer 25,Kookoos,47,38,1.24,38.0,13.0,2.92,35.0,12.0,2.92,30.0,13.0,2.31
