Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Lutoban South MPA,18,5,3.6,16.0,2.0,8.0,11.0,3.0,3.67,,,
Autumn/Winter 17/18,Lutoban South MPA,25,29,0.86,24.0,11.0,2.18,20.0,9.0,2.22,23.0,9.0,2.56
Spring/Summer 18,Lutoban South MPA,26,35,0.74,23.0,12.0,1.92,20.0,12.0,1.67,15.0,11.0,1.36
Autumn/Winter 18/19,Lutoban South MPA,40,33,1.21,32.0,10.0,3.2,22.0,12.0,1.83,23.0,11.0,2.09
Spring/Summer 19,Lutoban South MPA,51,50,1.02,46.0,18.0,2.56,31.0,16.0,1.94,26.0,16.0,1.62
Autumn/Winter 19/20,Lutoban South MPA,43,49,0.88,36.0,20.0,1.8,27.0,14.0,1.93,23.0,15.0,1.53
Spring/Summer 22,Lutoban South MPA,48,32,1.5,44.0,15.0,2.93,29.0,10.0,2.9,18.0,7.0,2.57
Autumn/Winter 22/23,Lutoban South MPA,45,27,1.67,40.0,11.0,3.64,28.0,8.0,3.5,29.0,8.0,3.62
Spring/Summer 23,Lutoban South MPA,56,35,1.6,44.0,12.0,3.67,40.0,12.0,3.33,33.0,11.0,3.0
Autumn/Winter 23/24,Lutoban South MPA,44,22,2.0,35.0,8.0,4.38,30.0,8.0,3.75,26.0,6.0,4.33
Spring/Summer 24,Lutoban South MPA,46,25,1.84,35.0,10.0,3.5,35.0,8.0,4.38,35.0,7.0,5.0
Autumn/Winter 24/25,Lutoban South MPA,54,33,1.64,39.0,12.0,3.25,37.0,11.0,3.36,36.0,10.0,3.6
Spring/Summer 25,Lutoban South MPA,48,46,1.04,37.0,14.0,2.64,41.0,16.0,2.56,34.0,16.0,2.12
