Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Maluay Malatapay MPA,14,3,4.67,8.0,2.0,4.0,9.0,1.0,9.0,,,
Autumn/Winter 17/18,Maluay Malatapay MPA,23,26,0.88,21.0,11.0,1.91,15.0,7.0,2.14,15.0,8.0,1.88
Spring/Summer 18,Maluay Malatapay MPA,21,21,1.0,16.0,6.0,2.67,16.0,8.0,2.0,14.0,7.0,2.0
Autumn/Winter 18/19,Maluay Malatapay MPA,37,34,1.09,25.0,11.0,2.27,29.0,13.0,2.23,15.0,10.0,1.5
Spring/Summer 19,Maluay Malatapay MPA,42,42,1.0,37.0,18.0,2.06,26.0,12.0,2.17,22.0,12.0,1.83
Autumn/Winter 19/20,Maluay Malatapay MPA,38,50,0.76,27.0,16.0,1.69,25.0,17.0,1.47,24.0,17.0,1.41
Spring/Summer 22,Maluay Malatapay MPA,66,46,1.43,42.0,14.0,3.0,48.0,19.0,2.53,31.0,13.0,2.38
Autumn/Winter 22/23,Maluay Malatapay MPA,49,25,1.96,39.0,9.0,4.33,30.0,8.0,3.75,32.0,8.0,4.0
Spring/Summer 23,Maluay Malatapay MPA,53,37,1.43,39.0,13.0,3.0,36.0,12.0,3.0,37.0,12.0,3.08
Autumn/Winter 23/24,Maluay Malatapay MPA,42,25,1.68,33.0,8.0,4.12,32.0,8.0,4.0,26.0,9.0,2.89
Spring/Summer 24,Maluay Malatapay MPA,42,19,2.21,31.0,6.0,5.17,32.0,7.0,4.57,29.0,6.0,4.83
Autumn/Winter 24/25,Maluay Malatapay MPA,49,35,1.4,38.0,12.0,3.17,29.0,12.0,2.42,33.0,11.0,3.0
Spring/Summer 25,Maluay Malatapay MPA,47,42,1.12,38.0,13.0,2.92,32.0,15.0,2.13,35.0,14.0,2.5
