Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Summer 2017,Guinsuan MPA,10,2,5.0,,,,10.0,2.0,5.0,,,
Summer 2017,Maluay Malatapay MPA,14,3,4.67,8.0,2.0,4.0,9.0,1.0,9.0,,,
Summer 2017,Lutoban South MPA,18,5,3.6,16.0,2.0,8.0,11.0,3.0,3.67,,,
Summer 2017,Lutoban Pier,5,1,5.0,,,,5.0,1.0,5.0,,,
Summer 2017,Kookoos,17,8,2.12,16.0,6.0,2.67,9.0,2.0,4.5,,,
Summer 2017,Basak Can-Unsang MPA,18,3,6.0,7.0,1.0,7.0,16.0,2.0,8.0,,,
Summer 2017,Andulay MPA,14,4,3.5,14.0,4.0,3.5,,,,,,
Autumn 2017,Andulay MPA,24,15,1.6,19.0,5.0,3.8,19.0,6.0,3.17,14.0,4.0,3.5
Autumn 2017,Antulang,19,4,4.75,14.0,1.0,14.0,16.0,2.0,8.0,10.0,1.0,10.0
Autumn 2017,Guinsuan MPA,19,17,1.12,13.0,6.0,2.17,9.0,4.0,2.25,14.0,7.0,2.0
Autumn 2017,Basak Can-Unsang MPA,20,15,1.33,14.0,4.0,3.5,18.0,5.0,3.6,16.0,6.0,2.67
Autumn 2017,Maluay Malatapay MPA,23,24,0.96,20.0,9.0,2.22,15.0,7.0,2.14,15.0,8.0,1.88
Autumn 2017,Lutoban South MPA,25,18,1.39,23.0,8.0,2.88,18.0,5.0,3.6,20.0,5.0,4.0
Autumn 2017,Kookoos,20,11,1.82,14.0,3.0,4.67,13.0,4.0,3.25,16.0,4.0,4.0
Autumn 2017,Lutoban Pier,20,13,1.54,16.0,5.0,3.2,10.0,3.0,3.33,13.0,5.0,2.6
Winter 17/18,Antulang,19,14,1.36,16.0,4.0,4.0,13.0,4.0,3.25,11.0,6.0,1.83
Winter 17/18,Andulay MPA,19,8,2.38,14.0,4.0,3.5,14.0,3.0,4.67,8.0,1.0,8.0
Winter 17/18,Guinsuan MPA,14,7,2.0,11.0,3.0,3.67,11.0,3.0,3.67,4.0,1.0,4.0
Winter 17/18,Kookoos,20,14,1.43,16.0,7.0,2.29,17.0,6.0,2.83,5.0,1.0,5.0
Winter 17/18,Lutoban Pier,15,11,1.36,15.0,5.0,3.0,9.0,3.0,3.0,5.0,3.0,1.67
Winter 17/18,Lutoban South MPA,20,11,1.82,13.0,3.0,4.33,16.0,4.0,4.0,14.0,4.0,3.5
Winter 17/18,Maluay Malatapay MPA,13,2,6.5,13.0,2.0,6.5,,,,,,
Winter 17/18,Basak Can-Unsang MPA,12,2,6.0,,,,12.0,2.0,6.0,,,
Spring 2018,Basak Can-Unsang MPA,18,21,0.86,14.0,7.0,2.0,11.0,4.0,2.75,14.0,10.0,1.4
Spring 2018,Kookoos,21,13,1.62,19.0,5.0,3.8,13.0,5.0,2.6,11.0,3.0,3.67
Spring 2018,Lutoban North MPA,16,3,5.33,12.0,1.0,12.0,6.0,1.0,6.0,8.0,1.0,8.0
Spring 2018,Lutoban Pier,19,19,1.0,9.0,5.0,1.8,14.0,6.0,2.33,9.0,8.0,1.12
Spring 2018,Lutoban South MPA,25,23,1.09,23.0,8.0,2.88,18.0,7.0,2.57,14.0,8.0,1.75
Spring 2018,Maluay Malatapay MPA,17,9,1.89,10.0,2.0,5.0,12.0,4.0,3.0,13.0,3.0,4.33
Spring 2018,Guinsuan MPA,14,15,0.93,9.0,5.0,1.8,10.0,4.0,2.5,9.0,6.0,1.5
Spring 2018,Andulay MPA,25,25,1.0,17.0,9.0,1.89,18.0,8.0,2.25,19.0,8.0,2.38
Spring 2018,Antulang,21,15,1.4,17.0,6.0,2.83,18.0,5.0,3.6,17.0,4.0,4.25
Summer 2018,Basak Can-Unsang MPA,18,13,1.38,8.0,3.0,2.67,16.0,6.0,2.67,9.0,4.0,2.25
Summer 2018,Guinsuan MPA,17,22,0.77,14.0,7.0,2.0,13.0,7.0,1.86,9.0,8.0,1.12
Summer 2018,Kookoos,19,21,0.9,15.0,7.0,2.14,17.0,7.0,2.43,11.0,7.0,1.57
Summer 2018,Lutoban Pier,20,14,1.43,18.0,4.0,4.5,14.0,6.0,2.33,8.0,4.0,2.0
Summer 2018,Lutoban South MPA,19,12,1.58,14.0,4.0,3.5,15.0,5.0,3.0,8.0,3.0,2.67
Summer 2018,Maluay Malatapay MPA,20,12,1.67,15.0,4.0,3.75,16.0,4.0,4.0,9.0,4.0,2.25
Summer 2018,Andulay MPA,19,13,1.46,15.0,4.0,3.75,11.0,5.0,2.2,14.0,4.0,3.5
Summer 2018,Antulang,19,22,0.86,16.0,7.0,2.29,15.0,8.0,1.88,15.0,7.0,2.14
Autumn 2018,Andulay MPA,30,7,4.29,20.0,2.0,10.0,20.0,2.0,10.0,21.0,3.0,7.0
Autumn 2018,Lutoban South MPA,31,16,1.94,25.0,5.0,5.0,16.0,5.0,3.2,13.0,6.0,2.17
Autumn 2018,Kookoos,32,21,1.52,26.0,10.0,2.6,14.0,4.0,3.5,16.0,7.0,2.29
