Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Andulay MPA,2.25,2,0.35,0.25,0.0,5.43,2.0,2.5,0.5,2,0.71,0.5,0.0,6.85,0.0,1.0,3.75,2,0.35,0.25,0.57,6.93,3.5,4.0,7.25,2,3.18,2.25,0.0,35.84,5.0,9.5,70.0,2,11.31,8.0,0.0,171.65,62.0,78.0,83.75,2,9.55,6.75,0.0,169.52,77.0,90.5
Autumn 2017,Andulay MPA,1.22,6,1.11,0.45,0.06,2.39,0.77,1.67,2.9,6,1.62,0.66,1.2,4.61,2.24,3.57,3.04,6,1.91,0.78,1.04,5.05,2.26,3.82,16.68,6,7.46,3.05,8.85,24.51,13.64,19.73,37.03,6,27.08,11.06,8.61,65.45,25.97,48.08,60.88,6,34.78,14.2,24.37,97.38,46.68,75.07
Winter 17/18,Andulay MPA,0.23,3,0.25,0.15,0.0,0.86,0.09,0.38,0.87,3,0.81,0.47,0.0,2.87,0.4,1.33,2.37,3,1.1,0.63,0.0,5.09,1.73,3.0,14.97,3,7.58,4.38,0.0,33.8,10.59,19.34,39.3,3,9.25,5.34,16.32,62.28,33.96,44.64,57.73,3,16.01,9.24,17.97,97.5,48.49,66.97
Spring 2018,Andulay MPA,1.16,8,0.88,0.31,0.42,1.9,0.85,1.47,1.67,8,1.62,0.57,0.31,3.02,1.09,2.24,3.14,8,3.09,1.09,0.56,5.73,2.05,4.24,11.52,8,5.81,2.05,6.66,16.37,9.46,13.57,38.68,8,22.5,7.95,19.87,57.49,30.73,46.64,56.17,8,24.37,8.61,35.8,76.54,47.55,64.78
Summer 2018,Andulay MPA,0.69,4,1.21,0.61,0.0,2.62,0.08,1.29,2.42,4,1.62,0.81,0.0,5.0,1.6,3.23,1.94,4,1.66,0.83,0.0,4.58,1.11,2.77,9.73,4,2.66,1.33,5.5,13.96,8.4,11.06,22.81,4,12.12,6.06,3.53,42.1,16.75,28.87,37.58,4,13.74,6.87,15.71,59.45,30.71,44.46
Autumn 2018,Andulay MPA,0.62,2,0.88,0.62,0.0,8.57,0.0,1.25,1.71,2,0.06,0.04,1.18,2.24,1.67,1.75,6.79,2,2.18,1.54,0.0,26.38,5.25,8.33,16.46,2,5.36,3.79,0.0,64.64,12.67,20.25,17.0,2,9.9,7.0,0.0,105.94,10.0,24.0,42.58,2,14.02,9.92,0.0,168.59,32.67,52.5
Winter 18/19,Andulay MPA,0.3,5,0.53,0.24,0.0,0.97,0.06,0.54,0.53,5,0.68,0.3,0.0,1.38,0.23,0.84,3.32,5,2.01,0.9,0.83,5.82,2.42,4.22,8.94,5,4.85,2.17,2.91,14.96,6.77,11.11,12.83,5,5.52,2.47,5.97,19.68,10.36,15.3,25.92,5,4.07,1.82,20.86,30.98,24.1,27.75
Spring 2019,Andulay MPA,0.29,9,0.53,0.18,0.0,0.7,0.12,0.47,0.78,9,0.8,0.27,0.16,1.39,0.51,1.04,3.01,9,1.74,0.58,1.68,4.35,2.44,3.59,12.37,9,2.27,0.76,10.62,14.12,11.61,13.13,39.94,9,32.26,10.75,15.15,64.74,29.19,50.7,56.4,9,33.32,11.11,30.78,82.01,45.29,67.5
Summer 2019,Andulay MPA,0.94,8,0.61,0.22,0.43,1.45,0.72,1.15,2.54,8,2.5,0.88,0.46,4.63,1.66,3.42,6.26,8,4.07,1.44,2.85,9.67,4.82,7.7,13.97,8,6.0,2.12,8.95,18.99,11.85,16.09,49.11,8,40.37,14.27,15.37,82.86,34.84,63.39,72.82,8,48.65,17.2,32.15,113.5,55.62,90.02
Autumn 2019,Andulay MPA,0.95,7,0.97,0.36,0.06,1.85,0.59,1.32,1.79,7,1.3,0.49,0.58,2.99,1.29,2.28,5.38,7,3.33,1.26,2.3,8.46,4.12,6.64,13.55,7,4.05,1.53,9.8,17.29,12.02,15.08,31.71,7,25.44,9.61,8.19,55.24,22.1,41.33,53.38,7,28.4,10.74,27.11,79.65,42.65,64.12
