Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Autumn 2017,Antulang,2.25,4.0,8.25,22.5,99.75,22.24
Winter 17/18,Antulang,0.93,0.86,1.93,11.71,35.43,18.38
Spring 2018,Antulang,1.07,2.27,2.67,10.33,31.07,21.0
Summer 2018,Antulang,0.95,2.41,2.23,10.05,17.23,39.67
Autumn 2018,Antulang,1.33,2.44,6.78,14.44,15.78,23.83
Spring 2019,Antulang,1.09,5.43,3.57,13.13,32.61,7.5
Summer 2019,Antulang,1.0,2.57,3.71,11.29,43.14,24.23
Autumn 2019,Antulang,1.12,3.12,2.65,8.94,15.82,20.17
Winter 19/20,Antulang,0.57,2.0,2.57,10.0,7.43,68.0
Summer 2022,Antulang,0.5,3.0,2.5,11.0,40.25,28.33
Autumn 2022,Antulang,1.08,3.23,3.92,15.0,13.15,15.09
Winter 22/23,Antulang,1.45,2.36,5.36,15.82,19.0,82.0
Spring 2023,Antulang,0.58,2.26,4.0,16.89,20.58,26.38
Summer 2023,Antulang,1.33,3.83,4.17,13.0,22.5,53.55
Autumn 2023,Antulang,1.0,5.45,4.09,14.09,18.18,50.65
Winter 23/24,Antulang,1.15,5.15,3.85,12.62,22.54,17.5
Spring 2024,Antulang,1.58,5.92,5.17,15.25,29.67,24.6
Summer 2024,Antulang,1.7,3.5,4.9,14.9,31.1,40.4
Autumn 2024,Antulang,1.09,2.64,4.45,15.36,26.82,39.0
Winter 24/25,Antulang,2.11,3.0,2.89,13.44,22.22,43.46
Spring 2025,Antulang,1.79,4.47,3.79,14.05,30.95,22.58
