Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Summer 2017,Basak Can-Unsang MPA,18,3,6.0,7.0,1.0,7.0,16.0,2.0,8.0,,,
Autumn 2017,Basak Can-Unsang MPA,20,15,1.33,14.0,4.0,3.5,18.0,5.0,3.6,16.0,6.0,2.67
Winter 17/18,Basak Can-Unsang MPA,12,2,6.0,,,,12.0,2.0,6.0,,,
Spring 2018,Basak Can-Unsang MPA,18,21,0.86,14.0,7.0,2.0,11.0,4.0,2.75,14.0,10.0,1.4
Summer 2018,Basak Can-Unsang MPA,18,13,1.38,8.0,3.0,2.67,16.0,6.0,2.67,9.0,4.0,2.25
Autumn 2018,Basak Can-Unsang MPA,23,10,2.3,14.0,3.0,4.67,14.0,3.0,4.67,10.0,4.0,2.5
Winter 18/19,Basak Can-Unsang MPA,26,14,1.86,15.0,5.0,3.0,22.0,6.0,3.67,11.0,3.0,3.67
Spring 2019,Basak Can-Unsang MPA,27,14,1.93,13.0,4.0,3.25,23.0,6.0,3.83,16.0,4.0,4.0
Summer 2019,Basak Can-Unsang MPA,26,19,1.37,20.0,7.0,2.86,19.0,8.0,2.38,16.0,4.0,4.0
Autumn 2019,Basak Can-Unsang MPA,31,16,1.94,20.0,4.0,5.0,22.0,6.0,3.67,14.0,6.0,2.33
Winter 19/20,Basak Can-Unsang MPA,24,21,1.14,15.0,7.0,2.14,17.0,6.0,2.83,14.0,8.0,1.75
Spring 2022,Basak Can-Unsang MPA,30,11,2.73,23.0,4.0,5.75,19.0,5.0,3.8,12.0,2.0,6.0
Summer 2022,Basak Can-Unsang MPA,44,19,2.32,35.0,8.0,4.38,27.0,5.0,5.4,20.0,6.0,3.33
Autumn 2022,Basak Can-Unsang MPA,31,11,2.82,20.0,3.0,6.67,24.0,4.0,6.0,19.0,4.0,4.75
Winter 22/23,Basak Can-Unsang MPA,34,11,3.09,25.0,3.0,8.33,23.0,4.0,5.75,18.0,4.0,4.5
Spring 2023,Basak Can-Unsang MPA,44,24,1.83,33.0,7.0,4.71,30.0,10.0,3.0,26.0,7.0,3.71
Summer 2023,Basak Can-Unsang MPA,41,18,2.28,29.0,6.0,4.83,26.0,6.0,4.33,24.0,6.0,4.0
Autumn 2023,Basak Can-Unsang MPA,33,6,5.5,20.0,2.0,10.0,22.0,3.0,7.33,12.0,1.0,12.0
Winter 23/24,Basak Can-Unsang MPA,34,13,2.62,27.0,5.0,5.4,23.0,4.0,5.75,21.0,4.0,5.25
Spring 2024,Basak Can-Unsang MPA,29,8,3.62,20.0,3.0,6.67,25.0,4.0,6.25,13.0,1.0,13.0
Summer 2024,Basak Can-Unsang MPA,38,9,4.22,22.0,2.0,11.0,28.0,4.0,7.0,17.0,3.0,5.67
Autumn 2024,Basak Can-Unsang MPA,32,10,3.2,23.0,4.0,5.75,20.0,3.0,6.67,19.0,3.0,6.33
Winter 24/25,Basak Can-Unsang MPA,27,12,2.25,17.0,4.0,4.25,19.0,4.0,4.75,22.0,4.0,5.5
Spring 2025,Basak Can-Unsang MPA,33,12,2.75,26.0,4.0,6.5,26.0,4.0,6.5,20.0,4.0,5.0
Summer 2025,Basak Can-Unsang MPA,31,14,2.21,20.0,4.0,5.0,23.0,5.0,4.6,21.0,5.0,4.2
