Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Autumn 2017,DAUIN POBLACION MPA,0.89,2.22,2.26,6.19,24.56,36.11
Winter 17/18,DAUIN POBLACION MPA,0.38,3.06,2.0,6.19,22.56,34.19
Spring 2018,DAUIN POBLACION MPA,0.28,3.12,1.28,2.96,17.52,25.16
Summer 2018,DAUIN POBLACION MPA,0.12,5.0,2.31,8.31,18.88,34.62
Autumn 2018,DAUIN POBLACION MPA,0.17,3.11,3.78,4.61,15.67,27.33
Winter 18/19,DAUIN POBLACION MPA,0.1,2.0,1.9,7.25,13.35,24.6
Spring 2019,DAUIN POBLACION MPA,0.35,3.0,4.53,8.41,12.41,28.71
Summer 2019,DAUIN POBLACION MPA,0.83,2.17,2.33,9.94,23.22,38.5
Autumn 2019,DAUIN POBLACION MPA,0.37,2.79,2.32,7.79,18.05,31.32
Winter 19/20,DAUIN POBLACION MPA,0.24,5.18,1.82,6.29,31.0,44.53
Summer 2022,DAUIN POBLACION MPA,0.67,3.75,3.58,7.75,19.0,34.75
Autumn 2022,DAUIN POBLACION MPA,0.15,2.23,2.38,12.85,21.08,38.69
Winter 22/23,DAUIN POBLACION MPA,0.54,2.15,4.85,11.77,7.38,26.69
