Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2019,Dalakit MPA,25,3,8.33,25.0,3.0,8.33,,,,,,
Summer 2019,Dalakit MPA,16,4,4.0,16.0,4.0,4.0,,,,,,
Autumn 2019,Dalakit MPA,20,4,5.0,20.0,4.0,5.0,,,,,,
Winter 19/20,Dalakit MPA,13,5,2.6,13.0,5.0,2.6,,,,,,
Spring 2022,Dalakit MPA,20,2,10.0,20.0,2.0,10.0,,,,,,
Summer 2022,Dalakit MPA,22,2,11.0,22.0,2.0,11.0,,,,,,
Autumn 2022,Dalakit MPA,22,2,11.0,22.0,2.0,11.0,,,,,,
Winter 22/23,Dalakit MPA,30,5,6.0,30.0,5.0,6.0,,,,,,
Spring 2023,Dalakit MPA,21,4,5.25,21.0,4.0,5.25,,,,,,
Summer 2023,Dalakit MPA,25,5,5.0,25.0,5.0,5.0,,,,,,
Autumn 2023,Dalakit MPA,21,3,7.0,21.0,3.0,7.0,,,,,,
Winter 23/24,Dalakit MPA,21,4,5.25,21.0,4.0,5.25,,,,,,
Spring 2024,Dalakit MPA,18,2,9.0,18.0,2.0,9.0,,,,,,
Summer 2024,Dalakit MPA,26,2,13.0,26.0,2.0,13.0,,,,,,
Autumn 2024,Dalakit MPA,23,4,5.75,23.0,4.0,5.75,,,,,,
Winter 24/25,Dalakit MPA,22,4,5.5,22.0,4.0,5.5,,,,,,
Spring 2025,Dalakit MPA,28,5,5.6,28.0,5.0,5.6,,,,,,
Summer 2025,Dalakit MPA,31,6,5.17,31.0,6.0,5.17,,,,,,
