Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Summer 2017,Guinsuan MPA,10,2,5.0,,,,10.0,2.0,5.0,,,
Autumn 2017,Guinsuan MPA,19,17,1.12,13.0,6.0,2.17,9.0,4.0,2.25,14.0,7.0,2.0
Winter 17/18,Guinsuan MPA,14,7,2.0,11.0,3.0,3.67,11.0,3.0,3.67,4.0,1.0,4.0
Spring 2018,Guinsuan MPA,14,15,0.93,9.0,5.0,1.8,10.0,4.0,2.5,9.0,6.0,1.5
Summer 2018,Guinsuan MPA,17,22,0.77,14.0,7.0,2.0,13.0,7.0,1.86,9.0,8.0,1.12
Autumn 2018,Guinsuan MPA,27,22,1.23,18.0,7.0,2.57,20.0,8.0,2.5,14.0,7.0,2.0
Winter 18/19,Guinsuan MPA,23,13,1.77,14.0,3.0,4.67,16.0,6.0,2.67,13.0,4.0,3.25
Spring 2019,Guinsuan MPA,21,13,1.62,13.0,3.0,4.33,16.0,4.0,4.0,13.0,6.0,2.17
Summer 2019,Guinsuan MPA,17,12,1.42,12.0,4.0,3.0,15.0,4.0,3.75,10.0,4.0,2.5
Autumn 2019,Guinsuan MPA,26,16,1.62,22.0,5.0,4.4,18.0,5.0,3.6,13.0,6.0,2.17
Winter 19/20,Guinsuan MPA,22,26,0.85,17.0,7.0,2.43,17.0,9.0,1.89,11.0,10.0,1.1
Spring 2022,Guinsuan MPA,27,9,3.0,19.0,4.0,4.75,19.0,4.0,4.75,7.0,1.0,7.0
Summer 2022,Guinsuan MPA,33,13,2.54,28.0,3.0,9.33,25.0,5.0,5.0,18.0,5.0,3.6
Autumn 2022,Guinsuan MPA,30,13,2.31,20.0,4.0,5.0,21.0,5.0,4.2,13.0,4.0,3.25
Winter 22/23,Guinsuan MPA,35,13,2.69,25.0,4.0,6.25,26.0,4.0,6.5,17.0,5.0,3.4
Spring 2023,Guinsuan MPA,39,19,2.05,31.0,7.0,4.43,26.0,6.0,4.33,18.0,6.0,3.0
Summer 2023,Guinsuan MPA,42,18,2.33,31.0,6.0,5.17,28.0,6.0,4.67,20.0,6.0,3.33
Autumn 2023,Guinsuan MPA,16,4,4.0,,,,16.0,2.0,8.0,6.0,2.0,3.0
Winter 23/24,Guinsuan MPA,27,10,2.7,18.0,3.0,6.0,18.0,4.0,4.5,19.0,3.0,6.33
Spring 2024,Guinsuan MPA,29,7,4.14,13.0,2.0,6.5,14.0,2.0,7.0,21.0,3.0,7.0
Summer 2024,Guinsuan MPA,23,5,4.6,,,,19.0,2.0,9.5,13.0,3.0,4.33
Autumn 2024,Guinsuan MPA,31,12,2.58,21.0,4.0,5.25,20.0,4.0,5.0,14.0,4.0,3.5
Winter 24/25,Guinsuan MPA,32,12,2.67,26.0,4.0,6.5,15.0,4.0,3.75,16.0,4.0,4.0
Spring 2025,Guinsuan MPA,32,12,2.67,21.0,4.0,5.25,21.0,4.0,5.25,18.0,4.0,4.5
Summer 2025,Guinsuan MPA,28,14,2.0,20.0,5.0,4.0,18.0,5.0,3.6,19.0,4.0,4.75
