Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Summer 2017,Kookoos,17,8,2.12,16.0,6.0,2.67,9.0,2.0,4.5,,,
Autumn 2017,Kookoos,20,11,1.82,14.0,3.0,4.67,13.0,4.0,3.25,16.0,4.0,4.0
Winter 17/18,Kookoos,20,14,1.43,16.0,7.0,2.29,17.0,6.0,2.83,5.0,1.0,5.0
Spring 2018,Kookoos,21,13,1.62,19.0,5.0,3.8,13.0,5.0,2.6,11.0,3.0,3.67
Summer 2018,Kookoos,19,21,0.9,15.0,7.0,2.14,17.0,7.0,2.43,11.0,7.0,1.57
Autumn 2018,Kookoos,32,21,1.52,26.0,10.0,2.6,14.0,4.0,3.5,16.0,7.0,2.29
Winter 18/19,Kookoos,28,18,1.56,16.0,5.0,3.2,20.0,7.0,2.86,11.0,6.0,1.83
Spring 2019,Kookoos,27,15,1.8,23.0,5.0,4.6,20.0,5.0,4.0,11.0,5.0,2.2
Summer 2019,Kookoos,32,15,2.13,25.0,6.0,4.17,17.0,4.0,4.25,15.0,5.0,3.0
Autumn 2019,Kookoos,28,25,1.12,18.0,7.0,2.57,21.0,8.0,2.62,19.0,10.0,1.9
Winter 19/20,Kookoos,25,22,1.14,21.0,8.0,2.62,17.0,4.0,4.25,16.0,10.0,1.6
Spring 2022,Kookoos,34,17,2.0,23.0,6.0,3.83,22.0,7.0,3.14,14.0,4.0,3.5
Summer 2022,Kookoos,29,11,2.64,23.0,3.0,7.67,11.0,4.0,2.75,13.0,4.0,3.25
Autumn 2022,Kookoos,24,12,2.0,20.0,4.0,5.0,18.0,4.0,4.5,18.0,4.0,4.5
Winter 22/23,Kookoos,32,20,1.6,26.0,4.0,6.5,22.0,3.0,7.33,20.0,13.0,1.54
Spring 2023,Kookoos,39,18,2.17,31.0,6.0,5.17,22.0,6.0,3.67,21.0,6.0,3.5
Summer 2023,Kookoos,34,15,2.27,22.0,5.0,4.4,21.0,5.0,4.2,20.0,5.0,4.0
Autumn 2023,Kookoos,28,10,2.8,21.0,4.0,5.25,19.0,4.0,4.75,14.0,2.0,7.0
Winter 23/24,Kookoos,31,12,2.58,26.0,4.0,6.5,14.0,4.0,3.5,15.0,4.0,3.75
Spring 2024,Kookoos,35,9,3.89,25.0,3.0,8.33,24.0,3.0,8.0,18.0,3.0,6.0
Summer 2024,Kookoos,29,6,4.83,19.0,2.0,9.5,19.0,2.0,9.5,18.0,2.0,9.0
Autumn 2024,Kookoos,28,14,2.0,16.0,4.0,4.0,19.0,5.0,3.8,21.0,5.0,4.2
Winter 24/25,Kookoos,36,18,2.0,25.0,6.0,4.17,24.0,6.0,4.0,24.0,6.0,4.0
Spring 2025,Kookoos,39,18,2.17,27.0,6.0,4.5,28.0,6.0,4.67,24.0,6.0,4.0
Summer 2025,Kookoos,41,20,2.05,33.0,7.0,4.71,26.0,6.0,4.33,24.0,7.0,3.43
