Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2022,Latason MPA,22,2,11.0,19.0,1.0,19.0,9.0,1.0,9.0,,,
Summer 2022,Latason MPA,20,5,4.0,17.0,3.0,5.67,13.0,2.0,6.5,,,
Autumn 2022,Latason MPA,36,6,6.0,25.0,2.0,12.5,26.0,4.0,6.5,,,
Winter 22/23,Latason MPA,38,7,5.43,27.0,4.0,6.75,29.0,3.0,9.67,,,
Spring 2023,Latason MPA,39,12,3.25,27.0,6.0,4.5,30.0,6.0,5.0,,,
Summer 2023,Latason MPA,31,12,2.58,24.0,6.0,4.0,24.0,6.0,4.0,,,
Autumn 2023,Latason MPA,27,6,4.5,19.0,3.0,6.33,21.0,3.0,7.0,,,
Winter 23/24,Latason MPA,29,8,3.62,23.0,4.0,5.75,18.0,4.0,4.5,,,
Spring 2024,Latason MPA,26,4,6.5,14.0,2.0,7.0,20.0,2.0,10.0,,,
Summer 2024,Latason MPA,33,8,4.12,29.0,4.0,7.25,26.0,4.0,6.5,,,
Autumn 2024,Latason MPA,28,7,4.0,24.0,4.0,6.0,20.0,3.0,6.67,,,
Winter 24/25,Latason MPA,36,12,3.0,25.0,6.0,4.17,29.0,6.0,4.83,,,
Spring 2025,Latason MPA,34,12,2.83,28.0,6.0,4.67,24.0,6.0,4.0,,,
Summer 2025,Latason MPA,40,22,1.82,34.0,11.0,3.09,35.0,11.0,3.18,,,
