Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Lutoban Pier,0.0,1,,,,,,,1.0,1,,,,,,,2.0,1,,,,,,,10.0,1,,,,,,,14.0,1,,,,,,,27.0,1,,,,,,
Autumn 2017,Lutoban Pier,0.62,4,0.25,0.12,0.23,1.02,0.5,0.75,1.25,4,1.55,0.78,-1.22,3.72,0.47,2.03,2.09,4,2.67,1.33,-2.15,6.34,0.76,3.43,3.81,4,2.64,1.32,-0.39,8.01,2.49,5.13,31.25,4,27.68,13.84,-12.8,75.3,17.41,45.09,39.03,4,28.7,14.35,-6.64,84.7,24.68,53.38
Winter 17/18,Lutoban Pier,0.4,5,0.65,0.29,-0.41,1.21,0.11,0.69,2.07,5,1.71,0.76,-0.06,4.19,1.3,2.83,0.9,5,1.2,0.54,-0.59,2.39,0.36,1.44,2.87,5,2.46,1.1,-0.19,5.93,1.76,3.97,16.73,5,24.55,10.98,-13.74,47.21,5.76,27.71,22.97,5,29.56,13.22,-13.73,59.66,9.75,36.18
Spring 2018,Lutoban Pier,0.71,4,0.39,0.19,0.1,1.33,0.52,0.91,1.4,4,0.42,0.21,0.73,2.08,1.19,1.61,0.49,4,0.41,0.2,-0.16,1.14,0.28,0.69,2.18,4,1.91,0.95,-0.86,5.22,1.23,3.14,4.09,4,4.04,2.02,-2.34,10.52,2.07,6.11,8.87,4,6.13,3.07,-0.89,18.63,5.81,11.94
Summer 2018,Lutoban Pier,0.94,3,0.82,0.47,-1.09,2.97,0.47,1.41,1.79,3,1.19,0.69,-1.18,4.75,1.1,2.47,1.11,3,1.07,0.62,-1.55,3.78,0.49,1.73,3.59,3,2.77,1.6,-3.29,10.47,1.99,5.18,28.44,3,21.24,12.26,-24.33,81.21,16.18,40.71,35.87,3,27.03,15.61,-31.29,103.03,20.26,51.48
Winter 18/19,Lutoban Pier,0.46,4,0.05,0.03,0.38,0.54,0.43,0.48,1.68,4,1.42,0.71,-0.58,3.93,0.97,2.39,0.5,4,0.36,0.18,-0.07,1.07,0.32,0.68,8.02,4,3.18,1.59,2.95,13.09,6.43,9.61,18.18,4,5.59,2.8,9.29,27.08,15.39,20.98,28.83,4,7.67,3.83,16.63,41.03,25.0,32.67
Spring 2019,Lutoban Pier,0.15,3,0.17,0.1,-0.27,0.57,0.06,0.25,1.54,3,0.51,0.29,0.29,2.8,1.25,1.83,1.11,3,0.84,0.48,-0.97,3.19,0.63,1.6,6.5,3,3.04,1.76,-1.06,14.06,4.74,8.26,9.43,3,5.07,2.93,-3.17,22.03,6.5,12.36,18.74,3,6.2,3.58,3.33,34.14,15.16,22.32
Summer 2019,Lutoban Pier,0.75,3,0.66,0.38,-0.89,2.39,0.37,1.13,2.17,3,0.29,0.17,1.45,2.88,2.0,2.33,0.58,3,1.01,0.58,-1.93,3.09,0.0,1.17,4.92,3,0.63,0.36,3.35,6.48,4.55,5.28,14.62,3,23.6,13.63,-44.01,73.26,1.0,28.25,23.04,3,23.5,13.57,-35.34,81.43,9.47,36.61
Autumn 2019,Lutoban Pier,0.3,5,0.31,0.14,-0.09,0.69,0.16,0.44,1.83,5,1.1,0.49,0.47,3.19,1.34,2.32,1.22,5,1.26,0.56,-0.34,2.79,0.66,1.79,8.79,5,4.92,2.2,2.68,14.9,6.59,10.99,15.57,5,15.81,7.07,-4.07,35.2,8.5,22.64,27.71,5,19.71,8.82,3.23,52.18,18.89,36.52
Winter 19/20,Lutoban Pier,0.42,6,0.37,0.15,0.04,0.81,0.27,0.57,1.24,6,1.11,0.45,0.07,2.41,0.78,1.69,0.94,6,0.68,0.28,0.23,1.66,0.67,1.22,3.36,6,2.37,0.97,0.87,5.85,2.39,4.33,9.56,6,9.98,4.07,-0.91,20.04,5.49,13.64,15.53,6,11.72,4.78,3.23,27.83,10.75,20.32
