Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Maluay Malatapay MPA,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,7.07,5.0,0.0,68.53,0.0,10.0,4.25,2,3.89,2.75,0.0,39.19,1.5,7.0,8.0,2,4.24,3.0,0.0,46.12,5.0,11.0,21.0,2,22.63,16.0,0.0,224.3,5.0,37.0,38.25,2,37.83,26.75,0.0,378.14,11.5,65.0
Autumn 2017,Maluay Malatapay MPA,1.21,6,1.02,0.42,0.14,2.28,0.79,1.63,3.1,6,0.97,0.4,2.08,4.12,2.7,3.5,1.41,6,1.03,0.42,0.34,2.49,0.99,1.83,9.68,6,7.57,3.09,1.73,17.63,6.59,12.77,9.21,6,8.7,3.55,0.08,18.34,5.66,12.76,24.61,6,11.68,4.77,12.36,36.86,19.84,29.38
Winter 17/18,Maluay Malatapay MPA,1.5,2,0.71,0.5,0.0,7.85,1.0,2.0,2.5,2,3.54,2.5,0.0,34.27,0.0,5.0,4.5,2,6.36,4.5,0.0,61.68,0.0,9.0,23.0,2,8.49,6.0,0.0,99.24,17.0,29.0,32.0,2,14.14,10.0,0.0,159.06,22.0,42.0,63.5,2,26.16,18.5,0.0,298.56,45.0,82.0
Spring 2018,Maluay Malatapay MPA,0.71,3,1.24,0.71,0.0,3.79,0.0,1.43,3.38,3,1.2,0.69,0.4,6.36,2.69,4.07,1.48,3,1.35,0.78,0.0,4.83,0.7,2.26,7.76,3,4.02,2.32,0.0,17.75,5.44,10.08,6.62,3,5.11,2.95,0.0,19.32,3.67,9.57,19.95,3,11.12,6.42,0.0,47.58,13.53,26.37
Summer 2018,Maluay Malatapay MPA,1.58,3,0.37,0.21,0.67,2.49,1.37,1.79,5.34,3,1.09,0.63,2.64,8.05,4.71,5.97,1.16,3,0.69,0.4,0.0,2.88,0.76,1.56,10.13,3,3.89,2.25,0.46,19.79,7.88,12.37,19.21,3,5.72,3.3,5.0,33.42,15.91,22.51,37.42,3,1.03,0.6,34.85,39.99,36.83,38.02
Autumn 2018,Maluay Malatapay MPA,0.6,5,0.65,0.29,0.0,1.41,0.31,0.89,4.3,5,1.3,0.58,2.68,5.92,3.72,4.88,1.03,5,0.77,0.34,0.08,1.99,0.69,1.38,10.07,5,6.61,2.96,1.86,18.28,7.11,13.02,15.6,5,11.1,4.96,1.82,29.38,10.64,20.56,31.6,5,17.59,7.87,9.76,53.44,23.73,39.47
Winter 18/19,Maluay Malatapay MPA,0.63,5,0.49,0.22,0.02,1.23,0.41,0.84,3.43,5,2.09,0.93,0.84,6.02,2.5,4.37,1.09,5,0.47,0.21,0.51,1.68,0.88,1.3,9.33,5,2.6,1.16,6.1,12.56,8.17,10.5,7.24,5,5.3,2.37,0.66,13.82,4.87,9.61,21.73,5,8.4,3.76,11.29,32.16,17.97,25.48
Spring 2019,Maluay Malatapay MPA,0.52,7,0.47,0.18,0.08,0.95,0.34,0.69,1.59,7,1.75,0.66,0.0,3.21,0.92,2.25,2.55,7,1.57,0.59,1.09,4.01,1.96,3.14,7.83,7,3.54,1.34,4.55,11.1,6.49,9.16,14.1,7,15.76,5.96,0.0,28.68,8.15,20.06,26.58,7,16.66,6.3,11.17,41.99,20.28,32.88
Summer 2019,Maluay Malatapay MPA,1.74,8,1.39,0.49,0.57,2.9,1.24,2.23,1.71,8,1.26,0.44,0.66,2.76,1.26,2.15,3.12,8,4.77,1.69,0.0,7.11,1.43,4.81,11.97,8,5.26,1.86,7.57,16.36,10.11,13.83,20.16,8,13.61,4.81,8.78,31.53,15.34,24.97,38.69,8,21.56,7.62,20.66,56.71,31.06,46.31
Autumn 2019,Maluay Malatapay MPA,1.06,7,1.16,0.44,0.0,2.14,0.63,1.5,1.55,7,1.66,0.63,0.01,3.09,0.92,2.18,3.52,7,2.79,1.05,0.94,6.1,2.47,4.58,9.24,7,4.61,1.74,4.98,13.5,7.49,10.98,13.63,7,7.9,2.99,6.32,20.94,10.64,16.61,29.0,7,13.47,5.09,16.55,41.45,23.91,34.09
Winter 19/20,Maluay Malatapay MPA,0.99,8,1.29,0.46,0.0,2.07,0.53,1.44,1.84,8,1.53,0.54,0.56,3.11,1.3,2.38,0.8,8,0.55,0.19,0.35,1.26,0.61,1.0,9.2,8,4.09,1.45,5.78,12.62,7.75,10.64,11.61,8,9.73,3.44,3.48,19.74,8.17,15.05,24.44,8,11.59,4.1,14.75,34.12,20.34,28.53
Spring 2022,Maluay Malatapay MPA,0.39,7,0.24,0.09,0.17,0.61,0.3,0.48,6.46,7,7.35,2.78,0.0,13.25,3.68,9.24,1.84,7,1.15,0.44,0.77,2.9,1.4,2.27,8.45,7,4.42,1.67,4.37,12.54,6.78,10.12,30.52,7,21.72,8.21,10.44,50.61,22.31,38.73,47.67,7,28.17,10.65,21.62,73.72,37.02,58.31
Summer 2022,Maluay Malatapay MPA,0.36,12,0.54,0.16,0.02,0.7,0.21,0.52,1.29,12,2.05,0.59,0.0,2.59,0.7,1.88,2.57,12,1.84,0.53,1.4,3.74,2.04,3.1,11.65,12,4.18,1.21,9.0,14.31,10.45,12.86,14.39,12,12.98,3.75,6.14,22.64,10.64,18.14,30.26,12,15.77,4.55,20.24,40.28,25.71,34.82
Autumn 2022,Maluay Malatapay MPA,1.46,6,1.65,0.67,0.0,3.19,0.79,2.13,3.33,6,3.14,1.28,0.04,6.63,2.05,4.62,2.25,6,1.04,0.42,1.16,3.34,1.83,2.67,18.42,6,6.14,2.51,11.97,24.86,15.91,20.92,32.88,6,26.4,10.78,5.17,60.58,22.1,43.65,58.33,6,32.69,13.35,24.03,92.64,44.99,71.68
Winter 22/23,Maluay Malatapay MPA,1.17,4,0.88,0.44,0.0,2.57,0.73,1.61,2.12,4,1.03,0.52,0.48,3.77,1.61,2.64,3.71,4,1.67,0.83,1.05,6.36,2.87,4.54,18.0,4,7.61,3.8,5.89,30.11,14.2,21.8,21.38,4,11.79,5.9,2.61,40.14,15.48,27.27,46.38,4,21.75,10.87,11.77,80.98,35.5,57.25
Spring 2023,Maluay Malatapay MPA,0.62,7,0.7,0.26,0.0,1.27,0.35,0.88,1.24,7,1.48,0.56,0.0,2.61,0.68,1.8,4.07,7,2.11,0.8,2.12,6.02,3.27,4.87,17.1,7,3.46,1.31,13.89,20.3,15.79,18.4,20.37,7,7.48,2.83,13.45,27.29,17.54,23.2,43.39,7,10.72,4.05,33.48,53.31,39.34,47.45
Summer 2023,Maluay Malatapay MPA,0.81,9,0.64,0.21,0.32,1.31,0.6,1.03,1.5,9,1.3,0.43,0.5,2.5,1.07,1.93,4.56,9,4.06,1.35,1.44,7.67,3.2,5.91,17.41,9,4.24,1.41,14.15,20.66,16.0,18.82,14.2,9,8.35,2.78,7.78,20.62,11.42,16.99,38.48,9,7.47,2.49,32.74,44.22,35.99,40.97
Autumn 2023,Maluay Malatapay MPA,0.72,6,0.83,0.34,0.0,1.6,0.38,1.06,1.39,6,0.99,0.4,0.35,2.42,0.99,1.79,2.92,6,2.22,0.91,0.58,5.25,2.01,3.82,11.86,6,3.37,1.38,8.33,15.4,10.49,13.24,16.08,6,12.42,5.07,3.05,29.12,11.01,21.16,32.97,6,14.82,6.05,17.42,48.53,26.92,39.02
Winter 23/24,Maluay Malatapay MPA,0.57,5,0.56,0.25,0.0,1.26,0.32,0.82,3.78,5,2.78,1.25,0.33,7.24,2.54,5.03,2.17,5,1.98,0.89,0.0,4.63,1.28,3.05,17.32,5,6.51,2.91,9.24,25.4,14.41,20.23,12.78,5,9.31,4.16,1.22,24.34,8.62,16.95,36.62,5,7.78,3.48,26.96,46.28,33.14,40.1
Spring 2024,Maluay Malatapay MPA,1.0,6,1.14,0.47,0.0,2.2,0.53,1.47,2.17,6,1.75,0.71,0.33,4.0,1.45,2.88,4.92,6,4.81,1.96,0.0,9.97,2.95,6.88,16.83,6,3.2,1.31,13.47,20.2,15.53,18.14,11.83,6,5.2,2.12,6.37,17.29,9.71,13.96,36.75,6,7.51,3.07,28.86,44.64,33.68,39.82
Summer 2024,Maluay Malatapay MPA,0.5,4,0.58,0.29,0.0,1.42,0.21,0.79,1.62,4,0.75,0.38,0.43,2.82,1.25,2.0,5.12,4,1.93,0.97,2.05,8.2,4.16,6.09,17.12,4,2.46,1.23,13.21,21.04,15.89,18.36,11.88,4,5.92,2.96,2.45,21.3,8.91,14.84,36.25,4,4.84,2.42,28.55,43.95,33.83,38.67
Autumn 2024,Maluay Malatapay MPA,0.71,8,0.92,0.32,0.0,1.47,0.38,1.03,1.17,8,1.35,0.48,0.04,2.29,0.69,1.64,3.65,8,2.57,0.91,1.5,5.79,2.74,4.55,11.6,8,3.26,1.15,8.88,14.33,10.45,12.76,12.98,8,6.94,2.45,7.18,18.78,10.53,15.43,30.1,8,10.26,3.63,21.53,38.68,26.48,33.73
Winter 24/25,Maluay Malatapay MPA,0.74,9,0.83,0.28,0.1,1.38,0.46,1.02,2.42,9,2.39,0.8,0.58,4.25,1.62,3.21,3.68,9,2.04,0.68,2.11,5.24,3.0,4.35,10.53,9,5.0,1.67,6.68,14.37,8.86,12.2,10.1,9,7.62,2.54,4.25,15.96,7.56,12.64,27.46,9,10.75,3.58,19.2,35.73,23.88,31.05
Spring 2025,Maluay Malatapay MPA,1.28,10,1.61,0.51,0.13,2.43,0.78,1.79,1.45,10,1.04,0.33,0.71,2.19,1.12,1.78,2.67,10,1.85,0.58,1.35,3.99,2.08,3.25,13.02,10,7.31,2.31,7.79,18.25,10.7,15.33,6.1,10,3.88,1.23,3.33,8.87,4.87,7.33,24.52,10,11.1,3.51,16.58,32.45,21.01,28.03
Summer 2025,Maluay Malatapay MPA,0.92,13,0.86,0.24,0.4,1.44,0.68,1.16,3.35,13,2.29,0.63,1.96,4.73,2.71,3.98,1.65,13,0.85,0.24,1.14,2.17,1.42,1.89,15.0,13,6.78,1.88,10.9,19.1,13.12,16.88,13.69,13,10.52,2.92,7.34,20.05,10.77,16.61,34.62,13,14.3,3.97,25.97,43.26,30.65,38.58
