Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2019,Salag MPA,28,14,2.0,13.0,5.0,2.6,20.0,6.0,3.33,17.0,3.0,5.67
Summer 2019,Salag MPA,17,7,2.43,15.0,4.0,3.75,11.0,3.0,3.67,,,
Autumn 2019,Salag MPA,21,14,1.5,15.0,5.0,3.0,13.0,5.0,2.6,10.0,4.0,2.5
Winter 19/20,Salag MPA,25,22,1.14,18.0,7.0,2.57,11.0,6.0,1.83,11.0,9.0,1.22
Summer 2022,Salag MPA,6,1,6.0,,,,6.0,1.0,6.0,,,
Autumn 2022,Salag MPA,29,11,2.64,16.0,4.0,4.0,16.0,3.0,5.33,19.0,4.0,4.75
Winter 22/23,Salag MPA,32,12,2.67,19.0,4.0,4.75,21.0,4.0,5.25,15.0,4.0,3.75
Spring 2023,Salag MPA,34,17,2.0,18.0,6.0,3.0,27.0,5.0,5.4,19.0,6.0,3.17
Summer 2023,Salag MPA,36,14,2.57,22.0,5.0,4.4,18.0,5.0,3.6,23.0,4.0,5.75
Autumn 2023,Salag MPA,26,9,2.89,12.0,2.0,6.0,17.0,4.0,4.25,13.0,3.0,4.33
Winter 23/24,Salag MPA,27,13,2.08,15.0,4.0,3.75,19.0,5.0,3.8,14.0,4.0,3.5
Spring 2024,Salag MPA,35,10,3.5,21.0,3.0,7.0,20.0,4.0,5.0,17.0,3.0,5.67
Summer 2024,Salag MPA,22,5,4.4,9.0,1.0,9.0,11.0,2.0,5.5,14.0,2.0,7.0
Autumn 2024,Salag MPA,30,13,2.31,20.0,5.0,4.0,20.0,4.0,5.0,17.0,4.0,4.25
Winter 24/25,Salag MPA,33,18,1.83,20.0,6.0,3.33,20.0,6.0,3.33,17.0,6.0,2.83
Spring 2025,Salag MPA,35,18,1.94,20.0,6.0,3.33,24.0,6.0,4.0,23.0,6.0,3.83
Summer 2025,Salag MPA,32,18,1.78,23.0,6.0,3.83,19.0,6.0,3.17,20.0,6.0,3.33
