Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Spring 2025,Andulay MPA,10.789473684210526,9.157894736842104,12.631578947368421,87.78947368421052,588.6315789473684,667.9166666666666,149.33333333333334,36.04536828861257,27.96762749519998
Spring 2025,Antulang,7.45,8.85,16.3,56.05,609.15,617.3333333333334,50.22222222222222,12.98186460869958,5.220685920406567
Spring 2025,Basak Can-Unsang MPA,12.083333333333334,11.166666666666666,9.0,119.75,515.9166666666666,596.1052631578947,63.68421052631579,11.118546604855363,5.227344976550168
Spring 2025,Dalakit MPA,9.25,15.75,9.5,67.5,193.5,515.578947368421,41.36842105263158,9.364034570943188,3.4624018908078713
Spring 2025,Guinsuan MPA,8.166666666666666,25.416666666666668,6.0,68.91666666666667,790.4166666666666,394.6666666666667,35.55555555555556,8.004152065753086,4.168431495834626
Spring 2025,Kookoos,10.777777777777779,5.444444444444445,9.055555555555555,72.38888888888889,519.6666666666666,709.0,77.26315789473684,12.533233372565713,6.248178598487549
Spring 2025,Latason MPA,6.285714285714286,7.642857142857143,9.785714285714286,32.92857142857143,294.07142857142856,533.3684210526316,75.57894736842105,13.061500300394668,8.342054296564326
Spring 2025,Lutoban North MPA,11.0,10.105263157894736,10.210526315789474,52.78947368421053,431.4736842105263,295.5,57.5,14.228906269349702,9.656717640576531
Spring 2025,Lutoban Pier,10.421052631578947,8.210526315789474,10.526315789473685,104.3157894736842,462.63157894736844,350.7142857142857,31.428571428571427,6.9391653619749425,2.9964012996178675
Spring 2025,Lutoban South MPA,8.166666666666666,7.0,8.333333333333334,36.05555555555556,335.1111111111111,898.9166666666666,183.5,13.448570343870896,8.271572163766972
Spring 2025,Maluay Malatapay MPA,7.055555555555555,10.944444444444445,13.944444444444445,103.94444444444444,294.5,697.8,53.35,8.968655968434032,3.2026269674556707
Spring 2025,Mojon MPA,8.25,14.25,21.5,214.5,841.0,1099.5,251.0,29.586262228492213,19.894986372719863
Spring 2025,Salag MPA,10.368421052631579,14.0,4.421052631578948,64.26315789473684,440.3157894736842,430.3888888888889,108.5,13.688406248264387,9.628429417487226
Spring 2025,Santa Catalina Cawitan,5.25,11.75,5.75,21.75,42.0,86.5,16.0,1.8606845184022276,0.7964071140244484
Spring 2025,Santa Catalina Manalongon,0.25,12.5,3.0,47.25,80.75,143.75,16.0,1.5026145589508404,0.7173650429033835
