Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
Autumn 2017,Antulang,48.333333333333336,26.666666666666668,24.666666666666668,34.666666666666664,97.33333333333333,73090.03074613548,89359.89645127211
Winter 17/18,Antulang,38.0,27.5,19.0,12.0,22.5,2862.136713152076,6190.46439845462
Spring 2018,Antulang,30.1,25.2,12.8,16.7,82.7,70957.55876609836,95469.5218386803
Summer 2018,Antulang,51.666666666666664,25.5,31.333333333333332,45.333333333333336,70.83333333333333,47551.96015898847,69568.75053659923
Autumn 2018,Antulang,80.25,54.5,59.5,33.5,198.5,61626.40451189008,92184.14474736447
Winter 18/19,Antulang,81.0,41.333333333333336,65.66666666666667,44.333333333333336,386.3333333333333,182366.76017422456,202950.6626037299
Spring 2019,Antulang,39.625,26.875,25.5,32.125,309.25,87789.10483577775,115676.82905422611
Summer 2019,Antulang,38.0,23.25,30.25,29.125,332.875,81987.9350688151,113287.82031823903
Autumn 2019,Antulang,22.22222222222222,24.22222222222222,18.11111111111111,22.22222222222222,63.0,17587.627999354456,29260.200313800393
Winter 19/20,Antulang,47.166666666666664,26.333333333333332,38.833333333333336,20.0,273.6666666666667,84539.04289285759,116123.20152656568
Summer 2022,Antulang,22.5,50.666666666666664,35.666666666666664,105.66666666666667,1028.6666666666667,101906.20461058908,148860.38371034217
Autumn 2022,Antulang,25.285714285714285,28.0,38.42857142857143,93.71428571428571,969.0,35757.72946892898,115818.60542459639
Winter 22/23,Antulang,10.4,9.3,16.4,25.1,525.4,85521.8503518668,163458.80437489826
Spring 2023,Antulang,10.944444444444445,10.5,13.277777777777779,19.72222222222222,487.3888888888889,47510.72091159198,162331.58633508766
Summer 2023,Antulang,11.375,13.5,16.5625,60.5,624.5625,86059.28755295373,205510.50902448414
Autumn 2023,Antulang,9.75,16.75,16.625,38.5,521.125,17135.213186980392,54406.637079462715
Winter 23/24,Antulang,12.9375,17.9375,17.0625,49.75,578.4375,125521.86844811303,226848.05456242114
Spring 2024,Antulang,11.076923076923077,14.692307692307692,17.0,77.15384615384616,452.38461538461536,19367.61480787144,101057.38417465334
Summer 2024,Antulang,13.636363636363637,13.818181818181818,22.363636363636363,104.0,676.9090909090909,71527.61389303113,132152.15544164673
Autumn 2024,Antulang,16.571428571428573,23.714285714285715,31.285714285714285,85.0,956.2857142857143,32898.32060218721,121683.77676466457
Winter 24/25,Antulang,13.0,10.052631578947368,17.57894736842105,59.31578947368421,537.5263157894736,153486.4195306719,315723.67915170186
Spring 2025,Antulang,7.357142857142857,8.714285714285714,16.5,49.785714285714285,620.1428571428571,49511.519319889034,140053.86077352017
