Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Basak Can-Unsang MPA,33.67,26.17,12.67,63.67,133.17,141.9,92.4,30.93,25.4
Winter 17/18,Basak Can-Unsang MPA,12.0,7.0,11.0,43.0,66.0,791.6,608.4,41.37,34.03
Spring 2018,Basak Can-Unsang MPA,18.4,27.8,7.9,116.3,170.3,169.67,87.0,9.89,3.86
Summer 2018,Basak Can-Unsang MPA,25.0,29.38,10.0,41.75,65.62,1017.0,99.3,22.86,6.02
Autumn 2018,Basak Can-Unsang MPA,37.43,57.29,13.71,225.86,454.14,401.2,138.2,18.57,16.24
Winter 18/19,Basak Can-Unsang MPA,42.67,33.17,14.5,201.0,486.5,638.0,89.82,7.32,2.92
Spring 2019,Basak Can-Unsang MPA,25.6,35.6,11.7,81.9,231.8,707.5,557.0,3.0,1.79
Summer 2019,Basak Can-Unsang MPA,49.67,56.67,24.0,324.33,879.33,445.5,268.38,14.46,10.97
Autumn 2019,Basak Can-Unsang MPA,26.33,38.78,11.0,48.44,45.11,661.75,47.5,11.17,3.19
Winter 19/20,Basak Can-Unsang MPA,29.88,42.12,6.25,70.0,231.88,1396.67,41.67,14.35,2.74
Spring 2022,Basak Can-Unsang MPA,21.25,11.25,13.42,85.0,734.92,607.8,46.0,17.77,3.77
Summer 2022,Basak Can-Unsang MPA,45.5,22.12,19.88,130.0,956.38,279.0,48.5,5.46,2.47
Autumn 2022,Basak Can-Unsang MPA,37.86,34.57,24.43,219.0,2349.57,143.75,16.0,1.5,0.72
Winter 22/23,Basak Can-Unsang MPA,17.0,12.36,12.45,77.09,641.27,532.45,321.18,45.26,22.97
Spring 2023,Basak Can-Unsang MPA,23.4,19.87,13.13,76.47,513.87,1862.36,319.09,36.38,9.22
Summer 2023,Basak Can-Unsang MPA,16.28,14.83,18.39,82.28,762.94,838.2,136.33,13.67,6.93
Autumn 2023,Basak Can-Unsang MPA,23.88,23.88,12.25,106.88,521.38,617.71,66.29,7.63,3.36
Winter 23/24,Basak Can-Unsang MPA,26.14,27.5,11.5,138.71,631.07,139.0,103.0,11.73,8.46
Spring 2024,Basak Can-Unsang MPA,24.5,34.75,11.08,117.25,688.33,363.33,281.0,31.79,29.22
Summer 2024,Basak Can-Unsang MPA,20.91,37.18,10.64,101.27,562.64,310.3,137.2,21.77,11.16
Autumn 2024,Basak Can-Unsang MPA,26.33,25.33,8.75,82.67,522.0,760.18,289.82,33.26,16.22
Winter 24/25,Basak Can-Unsang MPA,16.0,10.25,5.5,83.0,517.92,834.93,267.79,29.81,20.99
Spring 2025,Basak Can-Unsang MPA,12.08,11.17,9.0,119.75,515.92,548.72,62.67,15.06,5.68
