Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Lutoban North MPA,38.83,21.08,17.17,18.67,54.17,149.92,76.0,17.12,13.23
Winter 17/18,Lutoban North MPA,34.0,13.5,20.5,10.0,27.5,199.67,89.17,9.89,6.72
Spring 2018,Lutoban North MPA,24.7,17.2,11.5,17.7,107.0,240.0,146.33,7.74,2.92
Summer 2018,Lutoban North MPA,43.25,32.5,15.5,41.75,93.25,1510.91,493.91,60.35,42.9
Autumn 2018,Lutoban North MPA,30.25,16.88,21.5,23.0,65.5,553.67,75.83,7.03,3.24
Winter 18/19,Lutoban North MPA,26.0,23.43,20.14,49.29,59.57,846.46,77.23,14.81,6.22
Spring 2019,Lutoban North MPA,25.73,23.55,9.91,29.45,73.09,340.7,275.8,29.19,23.94
Summer 2019,Lutoban North MPA,42.57,40.71,19.71,35.29,159.71,36.17,23.11,2.24,1.78
Autumn 2019,Lutoban North MPA,23.19,26.81,14.19,18.38,90.0,865.83,272.42,41.85,26.5
Winter 19/20,Lutoban North MPA,29.71,28.71,19.71,31.86,417.86,440.4,81.8,9.05,2.6
Spring 2022,Lutoban North MPA,19.33,11.0,25.67,34.33,981.67,875.92,241.75,40.73,25.6
Summer 2022,Lutoban North MPA,23.46,12.0,17.85,58.31,718.15,779.94,109.19,19.29,12.57
Autumn 2022,Lutoban North MPA,25.27,19.0,34.27,133.82,1298.55,226.25,105.75,10.97,6.23
Winter 22/23,Lutoban North MPA,22.29,19.14,23.29,148.86,1352.43,465.62,239.38,14.16,10.25
Spring 2023,Lutoban North MPA,14.88,10.88,12.94,32.94,477.82,603.0,71.0,16.89,5.21
Summer 2023,Lutoban North MPA,16.09,16.18,20.55,91.36,714.27,533.0,74.73,8.38,3.54
Autumn 2023,Lutoban North MPA,9.4,14.7,12.2,66.0,463.9,732.64,201.09,30.8,24.69
Winter 23/24,Lutoban North MPA,16.25,16.58,10.17,55.5,728.75,425.5,76.4,16.16,12.59
Spring 2024,Lutoban North MPA,20.25,35.25,21.75,97.5,874.0,460.33,306.83,21.19,14.77
Summer 2024,Lutoban North MPA,14.75,19.0,17.0,173.38,698.62,426.83,214.83,19.35,14.09
Autumn 2024,Lutoban North MPA,9.09,12.45,10.91,114.82,490.73,293.33,188.0,12.1,9.93
Winter 24/25,Lutoban North MPA,10.83,14.0,9.72,85.39,428.78,790.71,123.71,14.83,4.33
Spring 2025,Lutoban North MPA,11.0,10.11,10.21,52.79,431.47,632.67,137.58,36.93,13.68
