Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Total Biomass
Autumn 2017,Lutoban Pier,19.416666666666668,19.5,18.333333333333332,16.416666666666668,164.08333333333334,179013.7290821384,283279.52770064597
Winter 17/18,Lutoban Pier,18.0,27.75,20.25,16.5,119.75,17343.45170931058,24810.526930059754
Spring 2018,Lutoban Pier,17.88888888888889,11.222222222222221,12.444444444444445,10.11111111111111,71.55555555555556,69493.04213491743,141201.26886550573
Summer 2018,Lutoban Pier,43.166666666666664,24.0,23.666666666666668,26.333333333333332,207.5,69963.14101986759,112512.12339376187
Autumn 2018,Lutoban Pier,34.0,12.857142857142858,21.142857142857142,19.571428571428573,166.28571428571428,50056.18562589199,119002.20251780137
Winter 18/19,Lutoban Pier,19.285714285714285,15.714285714285714,14.857142857142858,16.714285714285715,92.57142857142857,24510.065744912543,88576.26081370491
Spring 2019,Lutoban Pier,17.818181818181817,8.454545454545455,13.181818181818182,22.818181818181817,210.27272727272728,96093.84098065514,135323.38078213047
Summer 2019,Lutoban Pier,24.0,18.375,18.375,41.75,190.25,99001.58470535484,150719.03815778962
Autumn 2019,Lutoban Pier,36.0,27.333333333333332,25.833333333333332,17.333333333333332,207.83333333333334,66919.19196739004,131432.51946192278
Winter 19/20,Lutoban Pier,24.7,21.9,17.6,17.2,110.1,31199.705026471387,60039.36945250091
Summer 2022,Lutoban Pier,17.1875,7.875,11.125,48.9375,801.8125,196021.9258786538,462005.7305582702
Autumn 2022,Lutoban Pier,24.625,14.25,16.75,106.625,1458.25,155869.08218296003,243683.5707282503
Winter 22/23,Lutoban Pier,16.9,5.3,13.6,83.2,642.1,10223.74623859594,106870.1665019672
Spring 2023,Lutoban Pier,12.823529411764707,3.764705882352941,6.647058823529412,28.764705882352942,450.29411764705884,19688.679962778915,187591.48950986177
Summer 2023,Lutoban Pier,21.363636363636363,11.727272727272727,15.272727272727273,100.0909090909091,932.2727272727273,101087.653086746,231337.97965944704
Autumn 2023,Lutoban Pier,14.875,14.125,11.5,114.75,954.375,220730.0058674507,288182.9912507635
Winter 23/24,Lutoban Pier,15.1,15.9,14.5,130.6,742.3,150701.61202362468,273102.1894046735
Spring 2024,Lutoban Pier,14.818181818181818,9.0,8.363636363636363,102.72727272727273,627.3636363636364,120749.39825446648,269819.1897148573
Summer 2024,Lutoban Pier,14.666666666666666,17.22222222222222,11.777777777777779,209.66666666666666,666.7777777777778,86399.52789886753,145193.43549050533
Autumn 2024,Lutoban Pier,10.333333333333334,16.77777777777778,14.88888888888889,81.44444444444444,747.3333333333334,98947.64716086074,177958.53759677557
Winter 24/25,Lutoban Pier,8.526315789473685,6.894736842105263,7.157894736842105,75.21052631578948,410.5263157894737,96710.30806253798,238177.53115613115
Spring 2025,Lutoban Pier,9.266666666666667,8.266666666666667,9.866666666666667,110.26666666666667,420.4,89619.38252462217,168710.14222721
