Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Summer 2017,Basak Can-Unsang MPA,1.67,5.67,5.33,9.33,6.33,55.46
Autumn 2017,Basak Can-Unsang MPA,4.2,3.4,3.53,13.07,2.47,16.6
Winter 17/18,Basak Can-Unsang MPA,2.5,1.0,2.0,8.5,1.5,42.88
Spring 2018,Basak Can-Unsang MPA,1.95,1.71,0.38,8.67,4.0,24.38
Summer 2018,Basak Can-Unsang MPA,1.23,3.46,1.38,7.92,3.15,33.5
Autumn 2018,Basak Can-Unsang MPA,1.1,2.2,1.3,11.2,0.8,28.4
Winter 18/19,Basak Can-Unsang MPA,2.14,4.36,1.93,16.93,1.0,55.4
Spring 2019,Basak Can-Unsang MPA,1.21,6.29,3.07,15.71,3.5,21.22
Summer 2019,Basak Can-Unsang MPA,1.42,2.63,1.42,12.89,2.95,26.5
Autumn 2019,Basak Can-Unsang MPA,0.94,2.5,2.62,9.25,3.06,76.0
Winter 19/20,Basak Can-Unsang MPA,0.67,1.57,1.14,7.57,0.67,44.32
Spring 2022,Basak Can-Unsang MPA,2.0,5.27,2.09,16.91,11.82,35.33
Summer 2022,Basak Can-Unsang MPA,1.26,1.26,2.84,15.89,9.05,40.39
Autumn 2022,Basak Can-Unsang MPA,1.09,4.0,3.18,25.09,3.27,29.33
Winter 22/23,Basak Can-Unsang MPA,0.73,3.27,3.27,19.0,4.36,24.0
Spring 2023,Basak Can-Unsang MPA,1.71,3.62,3.79,21.33,4.88,57.25
Summer 2023,Basak Can-Unsang MPA,1.39,3.11,4.17,24.06,4.61,14.0
Autumn 2023,Basak Can-Unsang MPA,0.83,2.67,3.17,22.0,4.83,44.11
Winter 23/24,Basak Can-Unsang MPA,0.85,3.69,3.31,22.54,3.77,65.08
Spring 2024,Basak Can-Unsang MPA,0.75,3.62,4.0,24.5,13.25,26.36
Summer 2024,Basak Can-Unsang MPA,1.89,3.44,5.0,22.22,6.78,13.31
Autumn 2024,Basak Can-Unsang MPA,2.1,2.8,5.1,14.3,4.1,26.69
Winter 24/25,Basak Can-Unsang MPA,1.0,1.92,5.67,16.33,1.83,19.67
Spring 2025,Basak Can-Unsang MPA,1.83,5.5,4.5,18.08,9.25,30.32
