Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Autumn 2017,DAUIN POBLACION MPA,0.89,2.22,2.26,6.19,24.56,23.41
Winter 17/18,DAUIN POBLACION MPA,0.38,3.06,2.0,6.19,22.56,52.19
Spring 2018,DAUIN POBLACION MPA,0.28,3.12,1.28,2.96,17.52,36.38
Summer 2018,DAUIN POBLACION MPA,0.12,5.0,2.31,8.31,18.88,36.75
Autumn 2018,DAUIN POBLACION MPA,0.17,3.11,3.78,4.61,15.67,54.56
Winter 18/19,DAUIN POBLACION MPA,0.1,2.0,1.9,7.25,13.35,27.27
Spring 2019,DAUIN POBLACION MPA,0.35,3.0,4.53,8.41,12.41,72.7
Summer 2019,DAUIN POBLACION MPA,0.83,2.17,2.33,9.94,23.22,57.6
Autumn 2019,DAUIN POBLACION MPA,0.37,2.79,2.32,7.79,18.05,38.09
Winter 19/20,DAUIN POBLACION MPA,0.24,5.18,1.82,6.29,31.0,57.58
Summer 2022,DAUIN POBLACION MPA,0.67,3.75,3.58,7.75,19.0,54.47
Autumn 2022,DAUIN POBLACION MPA,0.15,2.23,2.38,12.85,21.08,27.0
Winter 22/23,DAUIN POBLACION MPA,0.54,2.15,4.85,11.77,7.38,13.17
