Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Summer 2017,Kookoos,0.75,1.75,3.38,8.0,61.75,28.36
Autumn 2017,Kookoos,2.27,3.18,1.73,10.73,10.45,46.69
Winter 17/18,Kookoos,1.57,2.43,3.14,6.29,11.86,22.47
Spring 2018,Kookoos,1.08,3.46,1.92,8.54,33.08,32.84
Summer 2018,Kookoos,0.62,1.9,1.43,5.48,9.9,45.92
Autumn 2018,Kookoos,0.76,2.19,3.1,8.81,7.38,34.58
Winter 18/19,Kookoos,0.33,2.28,1.11,5.22,7.06,27.14
Spring 2019,Kookoos,0.33,4.47,2.6,11.0,29.67,15.8
Summer 2019,Kookoos,0.47,3.4,1.87,9.07,21.87,116.0
Autumn 2019,Kookoos,0.4,2.6,1.88,7.32,7.64,53.05
Winter 19/20,Kookoos,0.18,2.0,2.09,5.18,6.36,58.41
Spring 2022,Kookoos,0.53,2.12,2.24,6.82,9.12,19.9
Summer 2022,Kookoos,0.73,1.64,2.27,7.27,10.82,43.25
Autumn 2022,Kookoos,0.42,1.75,2.25,8.5,6.0,25.0
Winter 22/23,Kookoos,0.8,1.3,2.5,6.15,4.7,36.67
Spring 2023,Kookoos,1.33,2.89,2.78,9.11,10.78,43.77
Summer 2023,Kookoos,1.13,2.2,2.33,9.8,7.73,37.33
Autumn 2023,Kookoos,0.9,2.7,2.7,8.6,8.4,14.14
Winter 23/24,Kookoos,0.67,1.92,2.08,7.0,8.0,25.29
Spring 2024,Kookoos,1.11,3.0,2.89,8.44,14.22,45.88
Summer 2024,Kookoos,1.17,2.0,5.0,11.17,15.5,44.53
Autumn 2024,Kookoos,0.64,2.71,4.43,7.36,5.43,31.14
Winter 24/25,Kookoos,0.83,2.72,3.39,8.39,8.39,13.58
Spring 2025,Kookoos,1.11,3.61,3.11,9.44,7.94,34.26
