Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Spring 2022,Latason MPA,3.0,8.0,4.5,20.0,40.5,39.17
Summer 2022,Latason MPA,1.2,1.4,2.8,12.8,7.8,48.62
Autumn 2022,Latason MPA,2.83,1.83,4.83,29.33,10.67,17.15
Winter 22/23,Latason MPA,1.0,2.57,3.57,17.29,6.71,38.5
Spring 2023,Latason MPA,1.08,5.0,5.5,11.67,12.17,43.0
Summer 2023,Latason MPA,1.75,1.25,2.5,12.92,19.58,82.2
Autumn 2023,Latason MPA,2.17,1.17,2.67,17.5,11.67,38.8
Winter 23/24,Latason MPA,1.5,2.75,2.12,14.5,8.38,50.86
Spring 2024,Latason MPA,2.25,3.25,5.0,10.75,5.0,31.06
Summer 2024,Latason MPA,2.0,2.38,5.88,12.5,8.62,18.2
Autumn 2024,Latason MPA,1.43,1.29,5.29,10.57,8.57,29.38
Winter 24/25,Latason MPA,1.25,1.0,2.5,9.5,7.58,34.15
Spring 2025,Latason MPA,1.92,6.67,3.75,9.17,12.58,12.17
