Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Summer 2017,Lutoban Pier,0.0,1.0,2.0,10.0,14.0,27.71
Autumn 2017,Lutoban Pier,0.54,1.23,1.92,4.31,47.46,27.33
Winter 17/18,Lutoban Pier,0.36,1.73,0.64,2.36,11.27,33.85
Spring 2018,Lutoban Pier,0.42,1.32,0.47,1.63,3.11,38.69
Summer 2018,Lutoban Pier,1.21,2.21,1.5,4.57,36.07,32.7
Winter 18/19,Lutoban Pier,0.44,2.19,0.38,7.69,20.38,43.36
Spring 2019,Lutoban Pier,0.18,1.65,1.24,7.29,8.35,25.28
Summer 2019,Lutoban Pier,0.5,2.08,1.17,4.58,28.25,33.5
Autumn 2019,Lutoban Pier,0.37,1.74,1.63,10.05,19.05,35.33
Winter 19/20,Lutoban Pier,0.39,0.91,0.74,3.48,8.22,48.89
Spring 2022,Lutoban Pier,0.17,0.89,0.89,4.67,13.56,52.0
Summer 2022,Lutoban Pier,0.38,2.38,1.5,5.12,17.0,26.22
Autumn 2022,Lutoban Pier,0.5,1.5,1.0,9.0,20.7,19.33
Winter 22/23,Lutoban Pier,0.73,1.36,1.91,8.73,20.36,36.58
Spring 2023,Lutoban Pier,0.63,1.37,1.89,6.58,38.42,22.73
Summer 2023,Lutoban Pier,1.06,0.89,2.33,9.61,27.83,38.0
Autumn 2023,Lutoban Pier,0.17,1.17,1.17,8.17,15.5,56.1
Winter 23/24,Lutoban Pier,0.73,0.82,1.0,7.64,4.36,17.4
Spring 2024,Lutoban Pier,0.83,4.17,2.5,9.0,54.83,24.42
Summer 2024,Lutoban Pier,0.89,2.56,3.22,13.33,24.11,48.83
Autumn 2024,Lutoban Pier,1.36,1.45,3.82,9.91,10.73,75.6
Winter 24/25,Lutoban Pier,1.05,2.18,1.5,7.14,18.45,73.25
Spring 2025,Lutoban Pier,1.67,3.11,2.72,11.56,21.33,23.72
