Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Autumn 2017,MASAPLOD NORTE MPA,1.46,5.12,1.92,8.21,33.25,21.62
Winter 17/18,MASAPLOD NORTE MPA,1.5,5.5,3.0,4.5,3.0,39.46
Spring 2018,MASAPLOD NORTE MPA,1.0,4.83,1.0,4.28,14.17,44.67
Summer 2018,MASAPLOD NORTE MPA,0.91,6.41,1.64,2.27,3.86,47.42
Autumn 2018,MASAPLOD NORTE MPA,0.79,4.42,4.21,6.47,6.58,10.11
Winter 18/19,MASAPLOD NORTE MPA,1.25,5.25,2.58,12.0,3.33,47.4
Spring 2019,MASAPLOD NORTE MPA,1.12,5.0,4.25,10.25,15.0,48.08
Summer 2019,MASAPLOD NORTE MPA,1.69,6.12,4.31,8.19,13.62,28.71
Autumn 2019,MASAPLOD NORTE MPA,0.83,3.89,2.78,6.56,6.94,20.82
Winter 19/20,MASAPLOD NORTE MPA,0.95,2.95,1.85,6.15,6.3,29.67
Summer 2022,MASAPLOD NORTE MPA,0.5,6.4,3.2,8.8,17.6,41.5
Autumn 2022,MASAPLOD NORTE MPA,1.18,3.91,5.09,14.0,16.27,32.86
Winter 22/23,MASAPLOD NORTE MPA,1.33,4.17,4.33,15.08,33.17,61.37
