Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Summer 2017,Maluay Malatapay MPA,0.0,3.33,3.33,7.0,15.67,26.67
Autumn 2017,Maluay Malatapay MPA,0.96,2.88,1.71,8.46,7.62,44.0
Winter 17/18,Maluay Malatapay MPA,1.5,2.5,4.5,23.0,32.0,19.84
Spring 2018,Maluay Malatapay MPA,1.67,3.89,0.78,7.44,7.44,72.95
Summer 2018,Maluay Malatapay MPA,1.58,5.42,1.08,9.5,20.0,61.07
Autumn 2018,Maluay Malatapay MPA,0.77,4.31,1.0,11.31,16.46,49.62
Winter 18/19,Maluay Malatapay MPA,0.57,3.33,1.05,8.52,6.67,58.0
Spring 2019,Maluay Malatapay MPA,0.68,2.27,2.09,7.91,13.55,44.67
Summer 2019,Maluay Malatapay MPA,1.45,2.1,1.9,11.45,15.65,18.71
Autumn 2019,Maluay Malatapay MPA,0.76,1.76,3.0,10.19,12.95,105.5
Winter 19/20,Maluay Malatapay MPA,0.62,2.59,1.03,9.1,9.52,35.42
Spring 2022,Maluay Malatapay MPA,0.45,5.69,1.76,8.69,29.1,62.83
Summer 2022,Maluay Malatapay MPA,0.47,1.41,3.06,12.29,15.59,54.0
Autumn 2022,Maluay Malatapay MPA,1.17,3.0,2.17,17.25,23.83,35.31
Winter 22/23,Maluay Malatapay MPA,1.15,2.0,3.15,17.62,19.54,37.58
Spring 2023,Maluay Malatapay MPA,0.68,1.32,4.05,16.95,21.32,30.32
Summer 2023,Maluay Malatapay MPA,0.78,1.56,4.89,16.5,14.0,32.82
Autumn 2023,Maluay Malatapay MPA,0.75,1.58,3.25,12.5,16.5,34.83
Winter 23/24,Maluay Malatapay MPA,0.54,3.38,1.92,18.69,11.62,16.36
Spring 2024,Maluay Malatapay MPA,0.82,2.36,5.18,17.27,12.36,24.82
Summer 2024,Maluay Malatapay MPA,0.5,1.62,5.12,17.12,11.88,25.79
Autumn 2024,Maluay Malatapay MPA,0.6,1.2,4.07,11.8,12.4,7.82
Winter 24/25,Maluay Malatapay MPA,0.7,2.0,3.45,9.85,9.85,58.08
Spring 2025,Maluay Malatapay MPA,1.5,1.67,2.67,13.56,6.83,43.67
