Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Andulay MPA,26.8,22.67,14.0,93.93,6.67
Winter 17/18,Andulay MPA,21.0,11.5,8.5,50.0,2.75
Spring 2018,Andulay MPA,10.47,24.18,4.65,62.24,2.56
Summer 2018,Andulay MPA,10.36,22.36,8.73,55.09,1.18
Autumn 2018,Andulay MPA,12.13,26.33,7.4,63.73,4.63
Winter 18/19,Andulay MPA,12.85,24.54,5.23,57.38,3.81
Spring 2019,Andulay MPA,19.93,27.0,8.57,70.0,4.46
Summer 2019,Andulay MPA,21.8,14.35,6.35,40.6,0.7
Autumn 2019,Andulay MPA,9.25,16.75,10.5,46.0,1.67
Winter 19/20,Andulay MPA,15.89,32.44,14.89,45.78,3.89
Spring 2021,Andulay MPA,8.75,27.62,11.25,57.38,10.0
Spring 2022,Andulay MPA,14.47,23.07,15.47,41.67,6.8
Summer 2022,Andulay MPA,25.77,26.31,22.54,39.15,7.19
Autumn 2022,Andulay MPA,9.12,23.47,18.24,40.35,10.24
Winter 22/23,Andulay MPA,15.86,16.71,8.19,28.1,4.36
Spring 2023,Andulay MPA,20.86,16.55,14.23,35.32,5.84
Summer 2023,Andulay MPA,25.26,20.17,10.3,32.04,1.61
Autumn 2023,Andulay MPA,31.43,20.07,8.79,28.43,0.82
Winter 23/24,Andulay MPA,27.88,17.41,14.82,23.0,1.62
Spring 2024,Andulay MPA,19.17,18.72,16.0,32.56,2.22
Summer 2024,Andulay MPA,17.75,22.44,13.25,35.44,3.81
Autumn 2024,Andulay MPA,23.4,15.93,10.27,27.6,1.03
Winter 24/25,Andulay MPA,17.78,21.94,10.22,31.11,0.44
Spring 2025,Andulay MPA,16.65,27.8,9.8,28.3,2.12
