Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Antulang,12.43,29.71,25.14,116.43,3.79
Winter 17/18,Antulang,8.5,23.0,7.25,38.25,1.0
Spring 2018,Antulang,8.43,39.76,11.29,44.9,0.43
Summer 2018,Antulang,13.6,37.4,16.6,38.8,2.2
Autumn 2018,Antulang,8.18,29.64,14.18,47.64,1.64
Winter 18/19,Antulang,6.92,39.17,13.75,41.0,3.12
Spring 2019,Antulang,12.0,47.12,10.12,43.0,1.25
Summer 2019,Antulang,19.08,28.15,13.62,29.38,1.0
Autumn 2019,Antulang,12.6,32.67,8.6,29.2,1.2
Winter 19/20,Antulang,7.42,45.92,9.33,38.67,4.33
Summer 2022,Antulang,9.36,60.18,10.82,39.91,5.91
Autumn 2022,Antulang,9.45,36.36,7.55,23.64,9.23
Winter 22/23,Antulang,8.07,34.5,7.5,17.93,2.21
Spring 2023,Antulang,10.4,31.05,7.05,20.4,2.6
Summer 2023,Antulang,12.5,32.22,8.56,20.44,0.69
Autumn 2023,Antulang,16.9,33.3,6.8,23.0,0.65
Winter 23/24,Antulang,11.12,33.81,9.69,17.38,0.16
Spring 2024,Antulang,7.33,29.89,9.0,24.67,1.75
Summer 2024,Antulang,12.38,33.43,7.24,21.9,0.74
Autumn 2024,Antulang,12.88,25.24,6.71,22.12,0.94
Winter 24/25,Antulang,8.37,27.26,8.37,24.63,0.39
Spring 2025,Antulang,9.41,36.27,5.91,26.18,1.32
