Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Basak Can-Unsang MPA,9.38,19.25,5.62,58.25,1.62
Winter 17/18,Basak Can-Unsang MPA,21.67,9.83,13.17,79.33,3.42
Spring 2018,Basak Can-Unsang MPA,12.5,35.58,19.42,48.17,1.33
Summer 2018,Basak Can-Unsang MPA,8.0,18.0,6.14,39.0,1.71
Autumn 2018,Basak Can-Unsang MPA,15.6,26.6,4.6,26.2,0.95
Winter 18/19,Basak Can-Unsang MPA,15.69,31.54,2.54,26.23,0.81
Spring 2019,Basak Can-Unsang MPA,18.14,25.0,12.43,40.0,0.64
Summer 2019,Basak Can-Unsang MPA,18.83,18.0,2.67,21.33,0.54
Autumn 2019,Basak Can-Unsang MPA,14.0,37.0,8.29,62.43,2.93
Winter 19/20,Basak Can-Unsang MPA,15.86,23.71,1.93,26.07,0.96
Spring 2022,Basak Can-Unsang MPA,23.85,27.85,8.23,35.77,2.73
Summer 2022,Basak Can-Unsang MPA,10.88,23.35,2.71,26.06,5.35
Autumn 2022,Basak Can-Unsang MPA,13.23,13.46,4.62,26.23,5.42
Winter 22/23,Basak Can-Unsang MPA,18.67,27.42,1.0,20.5,2.08
Spring 2023,Basak Can-Unsang MPA,11.47,15.74,4.68,23.32,4.55
Summer 2023,Basak Can-Unsang MPA,22.5,23.25,4.31,22.62,2.06
Autumn 2023,Basak Can-Unsang MPA,23.3,15.7,4.4,18.4,0.45
Winter 23/24,Basak Can-Unsang MPA,20.72,14.78,2.56,13.44,0.25
Spring 2024,Basak Can-Unsang MPA,11.69,23.92,5.54,18.69,1.19
Summer 2024,Basak Can-Unsang MPA,16.82,21.91,3.91,19.0,1.09
Autumn 2024,Basak Can-Unsang MPA,17.08,24.15,1.92,16.69,0.15
Winter 24/25,Basak Can-Unsang MPA,19.67,11.25,1.83,13.33,0.17
Spring 2025,Basak Can-Unsang MPA,15.07,20.79,1.43,13.36,0.32
