Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2019,Dalakit MPA,1.5,64.0,0.5,103.5,1.25
Summer 2019,Dalakit MPA,1.5,19.5,0.5,64.0,0.75
Autumn 2019,Dalakit MPA,10.0,23.0,2.0,124.5,0.75
Winter 19/20,Dalakit MPA,0.33,111.67,3.0,75.0,11.0
Spring 2022,Dalakit MPA,20.0,148.0,2.0,139.0,3.0
Summer 2022,Dalakit MPA,7.5,97.0,0.0,66.5,18.5
Autumn 2022,Dalakit MPA,13.67,15.0,1.0,64.0,6.83
Winter 22/23,Dalakit MPA,6.75,37.25,2.0,30.0,7.0
Spring 2023,Dalakit MPA,6.0,38.67,0.17,43.33,9.92
Summer 2023,Dalakit MPA,3.8,52.0,0.2,35.8,2.1
Autumn 2023,Dalakit MPA,11.0,43.5,0.0,30.75,1.75
Winter 23/24,Dalakit MPA,5.67,35.0,2.33,29.0,2.42
Spring 2024,Dalakit MPA,4.25,26.0,1.5,35.25,5.0
Summer 2024,Dalakit MPA,10.5,28.5,2.75,37.75,4.25
Autumn 2024,Dalakit MPA,19.5,48.5,1.5,38.5,0.0
Winter 24/25,Dalakit MPA,6.0,47.25,0.75,25.5,0.0
Spring 2025,Dalakit MPA,12.25,52.0,0.5,25.5,0.88
